"pathway","description","functional_category","t","p","FDR","mcra_asv_contrib","mean_counts_per_million","shown_in_panel_c"
"P42-PWY","incomplete reductive TCA cycle","Aerobic respiration",2.72263640411626,0.00645187201068194,0.019893272032936,0.0781264945579281,3490.95887245122,FALSE
"PWY-5840","superpathway of menaquinol-7 biosynthesis","Aerobic respiration",0.802089524935145,0.418088106753206,0.499008385479633,0.0118532481461296,1771.88784880396,FALSE
"PWY-5861","superpathway of demethylmenaquinol-8 biosynthesis","Aerobic respiration",0.391888149765356,0.692291696938232,0.753376258432782,0.016096430633269,1418.82708076765,FALSE
"PWY-5897","superpathway of menaquinol-11 biosynthesis","Aerobic respiration",0.0959595378540238,0.92279988375314,0.936607363310543,0.0139144002717046,1759.39051010478,FALSE
"PWY-5898","superpathway of menaquinol-12 biosynthesis","Aerobic respiration",0.0959595378540238,0.92279988375314,0.936607363310543,0.0139144002717046,1759.39051010478,FALSE
"PWY-5899","superpathway of menaquinol-13 biosynthesis","Aerobic respiration",0.0959595378540238,0.92279988375314,0.936607363310543,0.0139144002717046,1759.39051010478,FALSE
"PWY-5838","superpathway of menaquinol-8 biosynthesis I","Aerobic respiration",0.0727448544845246,0.941442606988858,0.948433517436795,0.0153833338396871,1838.75800976812,FALSE
"PWY-5392","reductive TCA cycle II","Aerobic respiration",-0.523454223918742,0.597014591212718,0.66754104017466,0.0162947997820616,657.886327318041,FALSE
"PWY-5744","glyoxylate assimilation","Aerobic respiration",-0.620422343947887,0.534601705561146,0.611187904953333,0,11.9258521693025,FALSE
"P23-PWY","reductive TCA cycle I","Aerobic respiration",-0.650383664895565,0.511508768539903,0.588090589818477,0.0539864074608793,3443.76196704513,FALSE
"PWY-6263","superpathway of menaquinol-8 biosynthesis II","Aerobic respiration",-1.39795297197414,0.15894285306236,0.239591634060669,0.00676035501291825,1289.95701271013,FALSE
"PWY-5860","superpathway of demethylmenaquinol-6 biosynthesis I","Aerobic respiration",-1.65279362217792,0.0961674558438478,0.159106319221325,0.0120972009095481,977.913765028369,FALSE
"PWY-5850","superpathway of menaquinol-6 biosynthesis I","Aerobic respiration",-1.85470720195547,0.0622138149983392,0.110103710538912,0.0121656535572753,1351.82138640887,FALSE
