Species_Code,DBH,Latitude,Longitude
BELE,1.40,41.98900,-72.12926
PIST,2.70,41.98901,-72.12926
BELE,2.40,41.98901,-72.12927
BELE,1.50,41.98902,-72.12926
BELE,2.40,41.98902,-72.12938
BELE,1.90,41.98902,-72.12928
BELE,1.20,41.98902,-72.12927
BELE,3.90,41.98902,-72.12929
BELE,1.00,41.98902,-72.12927
PIST,1.60,41.98902,-72.12948
BELE,3.80,41.98902,-72.12937
BELE,1.40,41.98902,-72.12928
BELE,1.80,41.98903,-72.12931
PIST,2.10,41.98903,-72.12949
BELE,1.60,41.98903,-72.12931
BELE,2.00,41.98903,-72.12930
BELE,2.30,41.98903,-72.12929
PIST,2.00,41.98903,-72.12946
BELE,2.10,41.98903,-72.12946
BELE,1.90,41.98903,-72.12938
BELE,2.00,41.98903,-72.12929
PIST,4.40,41.98903,-72.12948
ACRU,16.20,41.98903,-72.12937
BELE,4.40,41.98903,-72.12945
BELE,2.50,41.98903,-72.12952
BELE,1.20,41.98903,-72.12930
ACRU,21.90,41.98904,-72.12955
BELE,8.00,41.98904,-72.12949
BELE,2.50,41.98904,-72.12930
BELE,1.40,41.98904,-72.12928
BELE,3.60,41.98904,-72.12936
BELE,1.20,41.98904,-72.12928
PIST,4.70,41.98904,-72.12941
PIST,2.40,41.98904,-72.12947
BELE,3.10,41.98904,-72.12944
BELE,1.30,41.98904,-72.12930
BELE,3.00,41.98904,-72.12929
BELE,1.10,41.98904,-72.12940
BELE,3.50,41.98904,-72.12962
BELE,2.10,41.98904,-72.12953
BELE,5.40,41.98904,-72.12945
BELE,3.90,41.98905,-72.12946
BELE,2.00,41.98905,-72.12930
BELE,1.30,41.98905,-72.12947
BELE,3.90,41.98905,-72.12949
BELE,3.20,41.98905,-72.12947
BELE,1.20,41.98905,-72.12966
PIST,2.70,41.98905,-72.12943
BELE,1.40,41.98905,-72.12928
PIST,2.10,41.98906,-72.12951
BELE,2.00,41.98906,-72.12942
BELE,5.20,41.98906,-72.12925
BELE,1.40,41.98906,-72.12965
BELE,2.60,41.98906,-72.12945
BELE,1.80,41.98906,-72.12925
BELE,1.30,41.98906,-72.12925
BELE,2.40,41.98906,-72.12945
BELE,1.50,41.98906,-72.12943
BELE,1.20,41.98906,-72.12943
BELE,2.50,41.98906,-72.12944
PIST,1.40,41.98906,-72.12942
PIST,2.80,41.98906,-72.12943
PIST,1.70,41.98906,-72.12942
BELE,2.60,41.98906,-72.12970
BELE,3.00,41.98906,-72.12962
BELE,5.20,41.98906,-72.12946
PIST,3.30,41.98906,-72.12946
QURU,22.50,41.98907,-72.12978
BELE,2.70,41.98907,-72.12963
BELE,1.80,41.98907,-72.12962
BELE,4.50,41.98907,-72.12947
BELE,1.60,41.98907,-72.12929
ACRU,11.50,41.98907,-72.12976
BELE,2.50,41.98907,-72.12962
BELE,1.80,41.98907,-72.12927
ACRU,24.50,41.98907,-72.12948
BELE,1.40,41.98907,-72.12926
BELE,1.50,41.98907,-72.12926
BELE,2.10,41.98908,-72.12962
PIST,2.10,41.98908,-72.12935
PIST,2.60,41.98908,-72.12925
PIST,3.50,41.98908,-72.12950
BELE,2.40,41.98908,-72.12953
BELE,1.10,41.98908,-72.12967
BELE,1.90,41.98908,-72.12930
BELE,1.70,41.98908,-72.12925
BELE,1.20,41.98908,-72.12968
BELE,2.10,41.98908,-72.12926
TSCA,21.20,41.98908,-72.12986
BELE,2.00,41.98908,-72.12923
PIST,3.70,41.98908,-72.12952
PIST,4.00,41.98908,-72.12950
BELE,1.10,41.98908,-72.12948
PIST,3.40,41.98908,-72.12924
BELE,1.40,41.98908,-72.12923
BELE,1.20,41.98908,-72.12955
PIST,1.20,41.98908,-72.12924
BELE,1.20,41.98909,-72.12954
ACRU,13.20,41.98909,-72.12949
BELE,4.90,41.98909,-72.12944
TSCA,41.60,41.98909,-72.12991
TSCA,44.00,41.98909,-72.12991
PIST,3.30,41.98909,-72.12949
PIST,2.40,41.98909,-72.12944
BELE,1.60,41.98909,-72.12925
PIST,2.00,41.98909,-72.12947
BELE,8.40,41.98909,-72.12940
BELE,1.30,41.98909,-72.12924
PIST,2.20,41.98909,-72.12944
PIST,2.00,41.98909,-72.12944
PIST,2.40,41.98909,-72.12942
ACRU,35.50,41.98909,-72.12980
PIST,7.90,41.98909,-72.12924
BELE,1.40,41.98909,-72.12956
PIST,2.60,41.98909,-72.12953
PIST,4.00,41.98909,-72.12949
PIST,2.60,41.98909,-72.12942
BELE,3.20,41.98909,-72.12928
BELE,1.20,41.98909,-72.12962
BELE,3.50,41.98909,-72.12928
BELE,1.20,41.98909,-72.12929
BELE,2.90,41.98909,-72.12932
BELE,1.10,41.98909,-72.12930
PIST,8.10,41.98909,-72.12926
PIST,3.00,41.98909,-72.12924
PIST,2.60,41.98910,-72.12950
PIST,2.70,41.98910,-72.12943
