Tree_ID,VWC_mean,ORP_mean,SoilTemp_mean,OrganicDepth_mean,MineralDepth_mean,n_measurements
AB1,10.441666666666666,297.5,17.025,7.875,13.5,4
AB10,6.022222222222222,107.66666666666667,16.7,3.2666666666666666,14.166666666666666,4
AB11,11.641666666666666,260.25,17.075,3.875,16.25,4
AB2/3,10.1,258.25,17.25,9,17.25,4
AB3/5,11.941666666666666,313,17.75,5.125,17.375,4
AB4,11.983333333333334,278,17.65,10,19,4
AB4/6,14.15,368,17.575,6.125,18.5,4
AB5,18.941666666666666,330.75,18.2,4.875,12.5,4
AB501,10.258333333333333,315.75,17.325,5.75,19.875,4
AB6,15.008333333333333,364.25,18.5,4.75,18.625,4
AB6',12.991666666666667,352,17.775,6.5,19.375,4
AB9,8.566666666666666,169.66666666666666,16.7,3.1666666666666665,18.166666666666668,4
ABT14P,10.25,322.25,17.7,4.5,17.875,4
BB1,7.458333333333334,295.25,17.55,11.25,20.25,4
BB10,20.75,430.25,17.5,9.75,0,4
BB10',46.475,395.5,13.925,10.75,14.75,4
BB11,17,372.75,14.8,8.5,7.166666666666667,4
BB12,12.3,423.25,17.925,5.875,4.625,4
BB13,18.4,360.25,18.225,6.5,9.0625,4
BB14,13.575,379.5,17.325,1.625,13.125,4
BB16,23.125,367.5,17.025,3.875,13,4
BB16',16.325,411.5,17.2,4.25,7.375,4
BB3,13.85,269.5,19,5.5,22.125,4
BB5,34.95,475.25,16,5,10.666666666666666,4
BB6,23.35,453,18.575,6,15.75,4
BB7,39.03333333333333,426.3333333333333,18.266666666666666,5.666666666666667,13.333333333333334,4
BB8,20.95,462.5,19.175,8.75,7.75,4
BB9,29.833333333333336,434.6666666666667,18.2,7.333333333333333,11,4
BBGT1,33.791666666666664,264.5,17.875,0.5,19.5,4
BBX1,31.108333333333334,194,18.5,0.5,20.625,4
BBX6,34.041666666666664,212,18.275,0.5,20.25,4
BBX7,32.541666666666664,255.75,17.875,0.5,22.625,4
BC1,11.75,331,15.6,9.375,18.25,4
BC2,16.908333333333335,410.5,15.625,13.25,13.25,4
BC4,13,375.25,18.05,9.5,12.875,4
BO1,9.6,284.25,17.675,11,17.75,4
H101,31.225,422.75,17.1,6.25,7.833333333333333,4
H102,33.05,430,17.35,2.5,18,4
H103,28.099999999999998,432.75,17.5,7,11.875,4
H104,27.625,403.5,17.55,3.875,16.5,4
H2,17.85,275.5,15.675,28.125,5,4
H3,33.858333333333334,292.5,17.6,45,0,4
H301,6.791666666666667,286.25,17.575,2.875,6.875,4
H4,33.233333333333334,254.75,16.6,45,0,4
H5,30.375,275.5,17.325,22.625,12.125,4
H8,10.6,296.5,18.375,11.375,10.5,4
H9,11.358333333333334,313.75,18.5,6.875,7.625,4
HX2,27.766666666666666,257.5,16.65,0.375,13,4
HX3,30.94166666666667,295,16.55,1.125,9.625,4
HX4,24.683333333333334,335.5,16.95,1.75,10.625,4
HX5,24.683333333333334,335.5,16.95,1.75,10.625,4
Hz1,18.833333333333336,293.25,19.45,0.625,21.5,4
