Tree_ID,Tree_sp,Plot,Cardinal.Direction,Distance.from.stem..cm,Total.Hole.depth..cm,Organic.Sample.Depth..cm,Mineral.Sample.Depth..cm,Soil.Temp,VWC1,VWC2,VWC3,ORP..mV,Time.Collected,Date.Collected,Personel,Notes
SM15,ACSA,,W,100,21,1,20,19,22.8,NA,,368,9:50,7/21/21,"Ben, Judith, Jon",
BB5,BELE,Ridge,N,100,20,5,15,15.7,37.1,NA,,360,11:38,7/21/21,"Ben, Judith, Jon",
BB5,BELE,,E,100,7,7,0,18,25.8,NA,,473,11:51,7/21/21,"Ben, Judith, Jon",
BB5,BELE,,S,100,20,3,17,16.6,31.3,NA,,611,11:30,7/21/21,"Ben, Judith, Jon",
BB5,BELE,,W,100,0,NA,,13.7,45.6,NA,,457,11:54,7/21/21,"Ben, Judith, Jon",
BB6,BELE,Ridge,N,100,24,5,19,18.2,20.9,NA,,482,12:00,7/21/21,"Ben, Judith, Jon",
BB6,BELE,,E,100,21,7,14,18.5,28.5,NA,,451,12:43,7/21/21,"Ben, Judith, Jon",
BB6,BELE,,S,100,24,5,19,18.7,22.7,NA,,402,12:48,7/21/21,"Ben, Judith, Jon",
BB6,BELE,,W,100,18,7,11,18.9,21.3,NA,,477,12:55,7/21/21,"Ben, Judith, Jon",
BB7,BELE,Ridge,N,100,0,NA,,NA,,NA,,NA,,7/21/21,"Ben, Judith, Jon",No N sample
BB7,BELE,,E,100,27,6,21,18,42.2,NA,,401,14:04,7/21/21,"Ben, Judith, Jon",
