Tree_ID,Tree_sp,Plot,Cardinal.Direction,Distance.from.stem..cm,Total.Hole.depth..cm,Organic.Sample.Depth..cm,Mineral.Sample.Depth..cm,Soil.Temp,VWC1,VWC2,VWC3,ORP..mV,Time.Collected,Date.Collected,Personel,Notes
H4,TSCA,,W,100,45,45,0,16.4,27.1,25.2,27.4,245,14:12,7/25/21,"Les, Wyatt, Jon",WTD 24 cm
H4,TSCA,,N,100,45,45,0,17.1,44.9,51,15.9,174,14:17,7/25/21,"Les, Wyatt, Jon",WTD 15cm
H4,TSCA,,E,100,45,45,0,18,25.5,26.5,24,327,14:21,7/25/21,"Les, Wyatt, Jon",WTD 24.5cm
H4,TSCA,,S,100,45,45,0,14.9,37.7,47.6,46,273,14:25,7/25/21,"Les, Wyatt, Jon",WTD 7.5cm
H5 ,TSCA,,S,140,28,2,26,17.8,35.9,25,24.6,318,15:13,7/25/21,"Les, Wyatt, Jon",
H5 ,TSCA,,E,140,48.5,41,7.5,17.8,21.5,21.2,12.2,303,15:19,7/25/21,"Les, Wyatt, Jon",
H5 ,TSCA,,W,140,17.5,2.5,15,17,32.4,22.2,41.1,297,15:20,7/25/21,"Les, Wyatt, Jon",
H5 ,TSCA,,N,140,45,45,0,16.7,48.2,44.8,35.4,184,15:26,7/25/21,"Les, Wyatt, Jon",WTD 13.5cm
WP5,PIST,,N,220,15,7.5,7.5,17.1,36.8,24.3,26.9,254,16:09,7/25/21,"Les, Wyatt, Jon",
WP5,PIST,,E,220,17.5,8.5,9,16.4,46.2,42.4,38.6,228,16:12,7/25/21,"Les, Wyatt, Jon",
WP5,PIST,,S,220,17.5,11,6.5,16,17.5,20.6,32.1,220,16:19,7/25/21,"Les, Wyatt, Jon",
WP5,PIST,,W,220,15,8,7,17,15.7,20.6,26.4,27.2,,7/25/21,"Les, Wyatt, Jon",
RO1,QURU,,W,110,11.5,7.5,4,18.2,19,21.4,24.6,257,15:00,,,
RO1,QURU,,N,110,14,8,6,17.8,10.6,11.9,7,263,15:00,,,
RO1,QURU,,E,110,20,5.5,14.5,17.8,8.4,10.3,18,274,15:00,,,
RO1,QURU,,S,110,26,11,15,18,18.1,17.7,23.3,301,15:00,,,
RM3,ACRU,,W,120,28.5,13,15.5,17.2,25.3,23.8,19.6,340,,,,
RM3,ACRU,,N,120,30.5,19.5,11,12.1,30.5,26.9,21.8,339,,,,
RM3,ACRU,,E,120,31.5,9.5,22,17.3,21.9,17.8,16.9,334,,,,
RM3,ACRU,,S,120,26.5,16.5,10,16.3,27.3,23.4,18.9,320,,,,
YB4,BEAL,,N,100,39,16.5,22.5,18,12.4,NA,,409,,7/26/21,"Judith, Wyatt, Jon",
YB4,BEAL,,W,100,42.5,19.5,23,18.3,17.7,NA,,452,,7/26/21,"Judith, Wyatt, Jon",
YB4,BEAL,,S,100,25,15,10,17.9,28.3,NA,,447,,7/26/21,"Judith, Wyatt, Jon",
YB4,BEAL,,E,100,18.5,9.5,9,17.8,13.1,NA,,384,,7/26/21,"Judith, Wyatt, Jon",
BC4,BEAL,,N,100,18.5,7,11.5,18.3,15.6,NA,,419,,7/26/21,"Judith, Wyatt, Jon",
BC4,BEAL,,W,100,18,5.5,12.5,18,17.4,NA,,421,,7/26/21,"Judith, Wyatt, Jon",
BC4,BEAL,,S,100,26,11.5,14.5,18,8.7,NA,,281,,7/26/21,"Judith, Wyatt, Jon",
BC4,BEAL,,E,100,27,14,13,17.9,10.3,NA,,380,,7/26/21,"Judith, Wyatt, Jon",
BC2,BEAL,,N,100,31.5,15.5,16,15.9,23,NA,,426,,7/26/21,"Judith, Wyatt, Jon","one w/ribbon, but has 2 stems"
BC2,BEAL,,W,100,23.5,11.5,12,16.2,16.2,11.2,21.9,405,,7/26/21,"Judith, Wyatt, Jon",
BC2,BEAL,,S,100,25.5,10.5,15,15.1,11.4,18.6,17.6,426,,7/26/21,"Judith, Wyatt, Jon",
BC2,BEAL,,E,100,25.5,15.5,10,15.3,7.9,14.6,14.5,385,,7/26/21,"Judith, Wyatt, Jon",
RMS1,ACRU,,N,100,54,24,30,15.5,20.2,35.4,17.7,289,12:02,7/26/21,"Judith, Wyatt, Jon",
RMS1,ACRU,,E,100,28.5,15,13.5,15.4,10.3,14.7,12.2,320,12:04,7/26/21,"Judith, Wyatt, Jon",
RMS1,ACRU,,S,100,14.5,14.5,water,18.1,27.1,31.2,25.2,361,12:08,7/26/21,"Judith, Wyatt, Jon",
RMS1,ACRU,,(W),*wet,0,NA,,18.2,,NA,,271,12:35,7/26/21,"Judith, Wyatt, Jon","aquatic, in stream"
YB5,BEAL,,W,100,25,6,19,16.5,50.7,46.3,50.1,330,13:04,7/26/21,"Judith, Wyatt, Jon",
YB5,BEAL,,E,100,20,3.5,16.5,15,37.9,40.7,38.2,348,13:06,7/26/21,"Judith, Wyatt, Jon",
YB5,BEAL,,S,*wet,14,14,,14.5,,NA,,325,13:07,7/26/21,"Judith, Wyatt, Jon",
YB5,BEAL,,N,*wet,0,NA,,13.6,,NA,,149,13:09,7/26/21,"Judith, Wyatt, Jon",
AB6,FAGR,,E,100,25.5,7.5,18,18.7,10.4,7.5,13.9,438,14:50,7/26/21,"Judith, Wyatt, Jon",beaverchewed base
AB6,FAGR,,N,100,21,3,18,18.1,14.5,16.5,17.4,353,14:52,7/26/21,"Judith, Wyatt, Jon",
AB6,FAGR,,W,100,28,3.5,24.5,18.5,16.7,16.5,18.9,366,14:55,7/26/21,"Judith, Wyatt, Jon",
AB6,FAGR,,S,100,19,5,14,18.7,14,19.3,14.5,300,14:57,7/26/21,"Judith, Wyatt, Jon",
AB5,FAGR,,N,100,9,4.5,4.5,18.5,22.3,20.5,24.5,270,15:56,7/26/21,"Judith, Wyatt, Jon",
AB5,FAGR,,E,100,25,4,21,18.7,21.8,29.1,14.1,319,15:54,7/26/21,"Judith, Wyatt, Jon",
AB5,FAGR,,W,100,13.5,5,8.5,17.7,22.1,13.2,12.5,361,15:58,7/26/21,"Judith, Wyatt, Jon",
AB5,FAGR,,S,100,22,6,16,17.9,14.7,17.9,14.6,373,16:00,7/26/21,"Judith, Wyatt, Jon",
PB4,BEPA,,E,100,5.5,2.5,3,18.9,19.1,16.5,14.6,377,16:30,7/26/21,"Judith, Wyatt, Jon",
PB4,BEPA,,N,100,16.5,6,10.5,17.7,11.2,9.3,11.4,336,16:36,7/26/21,"Judith, Wyatt, Jon",
PB4,BEPA,,W,100,12,5,7,18.1,12.3,14.9,10.1,293,16:43,7/26/21,"Judith, Wyatt, Jon",
PB4,BEPA,,S,100,18,2,16,18.8,20.1,21.5,9.1,297,16:32,7/26/21,"Judith, Wyatt, Jon",
