"base","d13CH4_Heartwood","d13CH4_Sapwood","d13CO2_Heartwood","d13CO2_Sapwood","ch4_ppm_Heartwood","ch4_ppm_Sapwood","co2_ppm_Heartwood","co2_ppm_Sapwood","enrich_CH4_SW_minus_HW","enrich_CO2_SW_minus_HW"
"SM7",-52.1323628986873,-55.3204382766007,-23.8209938891564,-23.4997499411575,43.2783128004,20.4472958936154,2210.15437468764,1933.84664883114,-3.18807537791348,0.32124394799887
"SM8",-119.655438157743,-119.094237129132,-21.7826833435139,-21.5706668584444,2.05681412891354,2.5915710765316,2094.15824148889,2701.03015737569,0.561201028611066,0.212016485069444
"SM1001",-75.1901734615928,-74.5220822062846,-22.0508138242254,-22.7161291169453,75.5838711948654,36.8174603834088,2134.98739472109,1841.87196727372,0.668091255308227,-0.665315292719832
"SM5",-70.9646661161315,-70.4481050880949,-21.7256204795,-22.1724216904489,263.047124530365,140.883779181387,1866.88472351971,1866.14027576934,0.516561028036591,-0.446801210948916
"SM6",-87.8137204626875,-113.395026034583,-23.6629324638819,-23.3561818045382,2.4954172586382,2.40044728805556,2641.44839837014,3189.16482508611,-25.5813055718958,0.306750659343713
"SM3",-71.9832380607592,-71.9588927807802,-20.6658528457883,-22.7192115087253,554.143288993503,52.7998416288352,1924.98056924526,1429.72896828864,0.0243452799789878,-2.05335866293698
"SM1",-67.0538038577129,-68.1366194878437,-20.8988702779491,-21.6133422407928,99.6997151554835,38.8361827298873,2276.27889825564,1924.21507726218,-1.08281563013084,-0.714471962843671
"BB6",-51.5679547443846,-46.4457063897222,-23.1072871459744,-22.3172717084826,43.9927118425459,6.38492061232082,2815.39618281282,1891.45112759306,5.12224835466237,0.790015437491729
"RM302",-10.8023508379348,-21.7795366875139,-20.4352668515366,-21.3029459141319,2.61604906908467,2.1467901959375,5953.35165469269,5365.81035062917,-10.9771858495791,-0.867679062595361
"RO105",-68.8177384190329,-99.697396123764,-17.9637902130147,-21.0980514879583,143.460563285092,2.86835176649896,13145.4666418571,2443.37639562778,-30.8796577047311,-3.13426127494368
"RO102",-63.8864319085055,-64.6300599324322,-16.7480222485678,-18.618652520359,892.269756011612,683.527108074798,7762.12319346262,8672.90088556043,-0.743628023926732,-1.87063027179122
