"base","d13CH4_Heartwood","d13CH4_Sapwood","d13CO2_Heartwood","d13CO2_Sapwood","ch4_Heartwood","ch4_Sapwood","enrich_CH4","enrich_CO2"
"BB0",-49.9705664026389,-47.473359956875,-23.8424695378021,-23.6491000278541,4.14013571644583,3.57359362672709,2.49720644576387,0.193369509947924
"BB10'",-100.952998201038,-124.838250596007,-22.1908657915695,-22.0083489981389,2.77994499230417,2.55987173763923,-23.8852523949688,0.182516793430533
"BB11/4?",-105.832722238236,-93.5054743770138,-22.7850256307639,-23.0534530880556,0.553983051220278,0.758401131320972,12.3272478612224,-0.26842745729169
"BB4",-178.757647048646,-205.147595872361,-22.8661681271875,-23.1530168667882,0.552021477763333,0.517301475858611,-26.3899488237153,-0.286848739600678
"BB5",-42.192977275823,-44.198528564141,-24.0893197780278,-24.3442273581389,1.0251998844568,0.908078260572951,-2.005551288318,-0.254907580111094
"BB6",-51.5679547443846,-46.4457063897222,-23.1072871459744,-22.3172717084826,43.9927118425459,6.38492061232082,5.12224835466237,0.790015437491729
"BB7",-66.3518521839513,-64.932300552,-22.800277942007,-22.9040648952708,5.06011309065833,3.5511589906875,1.41955163195129,-0.103786953263867
"BBGT1",-70.7228553007972,-129.97305593007,-23.040799818618,-23.4500708067431,0.673018970039236,0.714705336176111,-59.2502006292724,-0.409270988125041
"BBN0",-14.7986867769421,-26.4925634935592,-23.8008754865868,-23.5558181146736,0.390487965576944,0.432010568740903,-11.6938767166171,0.24505737191318
"BBX1",-72.739349535257,-21.0084802378114,-22.9627082530972,-11.3779654092646,0.634696527787083,0.450914074147361,51.7308692974456,11.5847428438326
"BBZ1",-58.3131150124167,-60.5967664063924,-23.1726272629062,-23.3957523249583,1.299154740725,1.16440882826701,-2.28365139397568,-0.223125062052087
"H101",-61.9966842549132,-37.8987678488687,-20.5128825018889,-21.5100815355451,1.1177166588941,0.675214865687846,24.0979164060444,-0.997199033656237
"H103",-19.6172974258485,1.34899197824333,-21.4157050226424,-21.9002175015,0.618241742139861,0.507359479053992,20.9662894040918,-0.48451247885761
