"species_id","n_trees","flux","balance","mcra","meth","porosity_num","gymnosperm","wood_density_gcm3","bark_density_gcm3","wood_sapwood_pH","wood_heartwood_pH","baad_heartwood_fraction_mean","flux_psl"
"ACRU",13,0.0459877203091623,-0.991168383468662,2.73242982973926,4.00831570557692,2,0,0.488077669902913,0.495285714285714,4.8,4.6,0.249629347473763,2.23055328871304
"ACSA",7,0.0863573634996634,-0.0621519001734134,3.21781991886584,3.28101358532511,2,0,0.63265625,0.57448275862069,4.7,4.7,NA,2.85239171880623
"BEAL",8,0.071804876845236,-0.458713009381826,2.89949701722927,3.38663639829821,2,0,0.565142857142857,0.600333333333333,5.3,5,NA,2.66932836927215
"BELE",16,0.0170025279289164,-0.812443153658417,2.75123483034785,3.67123005236842,2,0,0.603333333333333,NA,5.2,4.8,0.335830121324108,1.30094859084514
"BEPA",6,0.0262730139896435,-1.15007757057319,2.58125559107275,3.71936902979314,2,0,0.54,0.564827586206897,5.3,5,NA,1.69349920171764
"FAGR",13,0.0810473718519137,-0.428990042120806,2.66677674428881,3.19947477074511,2,0,0.59525,0.535945945945946,5.4,5.2,NA,2.78938030486543
"FRAM",8,0.013215996473184,-1.26394350109716,2.60412791384736,3.74603668909872,3,0,0.579333333333333,0.402923076923077,5.4,5,NA,1.09155219767411
"PIST",15,0.0159841175804181,-1.19814298596996,2.81727216250554,4.04791723500433,1,1,0.359571428571429,0.326315789473684,5,4.6,NA,1.24814126080201
"QURU",13,0.0212685423436328,-0.37415088012459,2.61758721273744,3.02712213564816,3,0,0.595318181818182,0.591923076923077,4.9,4,0.878870380687188,1.49896856699319
"TSCA",16,0.015071234437841,-0.75959122932408,2.68350689059881,3.61204288383962,1,1,0.46078125,0.405161290322581,4.8,4.4,NA,1.19870810845915
