"compartment","n_mmox","n_pmoa","pct_detect_mmox","pct_detect_pmoa","median_cg_mmox","median_cg_pmoa","pmoA_to_mmoX_ratio"
"Heartwood",148,149,93,95,778.071647074951,735.94903779529,0.95
"Sapwood",156,156,97,99,704.875815134738,1956.68277598595,2.78
"Soil_Mineral",129,129,100,100,952.797459531799,92538.5104158899,97.12
"Soil_Organic",135,136,100,100,691.447359551289,77282.2996467396,111.77
