"compartment","n","median_proxy","median_real","mass_median_mg"
"Heartwood",298,645.747162401676,631.713081405147,102.2
"Sapwood",312,211.916070431471,201.315727647214,101.7
"Soil_Mineral",128,48.035502375,18.7574471582083,253.55
"Soil_Organic",135,45.6598084419966,17.7865748431071,252.6
