"sample_id","height_cm","component","conc_uL","mass_mg","copies_per_g"
"QUVE50SAP",50,"Sapwood",0,101.5,0
"QUVE125SAP",125,"Sapwood",0,109.3,0
"QUVE200SAP",200,"Sapwood",0,104.3,0
"QUVE400SAP",400,"Sapwood",0.125010148,101.3,92.5544037512339
"QUVE600SAP",600,"Sapwood",0.194828287,97.2,150.330468364198
"QUVE800SAP",800,"Sapwood",0,102.7,0
"QUVE1000SAP",1000,"Sapwood",0.064051755,103.8,46.2801697976879
"QUVE50HEART1",50,"Heartwood",0.136260211,101.1,101.083242581602
"QUVE125HEART1",125,"Heartwood",0.061400831,103.8,44.364762283237
"QUVE200HEART1",200,"Heartwood",0.060999695,101.8,44.9408361984283
"QUVE400HEART1",400,"Heartwood",0.428441793,98,327.889127295918
"QUVE600HEART1",600,"Heartwood",0.442650676,97.4,340.850109856263
"QUVE800HEART1",800,"Heartwood",0,103.4,0
"QUVE1000HEART1",1000,"Heartwood",0,106.7,0
"QUVE50HEART2",50,"Heartwood",0,99.9,0
"QUVE125HEART2",125,"Heartwood",0,111.1,0
"QUVE200HEART2",200,"Heartwood",0,107.8,0
"QUVE400HEART2",400,"Heartwood",0,107.5,0
"QUVE600HEART2",600,"Heartwood",0,101.2,0
"QUVE800HEART2",800,"Heartwood",0,103.9,0
"QUVE1000HEART2",1000,"Heartwood",0,100.1,0
