,✴✴✴TARGET MASS FOR SOIL: 250 mg✴✴✴,,,,,,,,,,,,
Inner Core Sample ID,Sample Mass Added to Tube (mg),Date Weighed,Name of Weigher,Notes,Sample Archived,Sample Notes,Extraction Plate ID,Plate Well No.,Plate Position,Blank Well?,Sample Added to Extraction Plate,Name of Person Adding to Plate,Date Plate Extracted
"ACRU_RM1
Soil_Mineral
Lab ID: 1e",255.3,7/28/2022,Qespi ,,,,Plate 1,1,A1,,8/4/2022,Cade,8/4/2022
"ACRU_RM10
Soil_Mineral
Lab ID: 2e",,,,The Sample is missing ,,,Plate 1,2,B1,Yes,8/4/2022,Cade,8/4/2022
"ACRU_RM14
Soil_Mineral
Lab ID: 3e",251.5,7/28/2022,Qespi,,,,Plate 1,3,C1,,8/4/2022,Cade,8/4/2022
"ACRU_RM2
Soil_Mineral
Lab ID: 4e",251,7/28/2022,Qespi,,,,Plate 1,4,D1,,8/4/2022,Cade,8/4/2022
"ACRU_RM3
Soil_Mineral
Lab ID: 5e",259.9,7/28/2022,Qespi,,,,Plate 1,5,E1,,8/4/2022,Cade,8/4/2022
"ACRU_RM301A
Soil_Mineral
Lab ID: 6e",,,,"The sample ID is plain ""301 "" I don't know if is: A or B ",,,Plate 1,6,F1,Yes,8/4/2022,Cade,8/4/2022
"ACRU_RM301B
Soil_Mineral
Lab ID: 7e",,,," I don't have a clue if is A or B, because the mineral soil sample ID is only 301 ",,,Plate 1,7,G1,Yes,8/4/2022,Cade,8/4/2022
"ACRU_RM302
Soil_Mineral
Lab ID: 8e",252,7/28/2022,Qespi ,,,,Plate 1,8,H1,,8/4/2022,Cade,8/4/2022
"ACRU_RM303
Soil_Mineral
Lab ID: 9e",251,7/28/2022,Qespi ,,,,Plate 1,9,A2,,8/4/2022,Cade,8/4/2022
"ACRU_RM304
Soil_Mineral
Lab ID: 10e",250.4,7/28/2022,Qespi ,,,,Plate 1,10,B2,,8/4/2022,Cade,8/4/2022
"ACRU_RM4
Soil_Mineral
Lab ID: 11e",253.5,7/28/2022,Qespi ,,,,Plate 1,11,C2,,8/4/2022,Cade,8/4/2022
"ACRU_RM5
Soil_Mineral
Lab ID: 12e",257,7/28/2022,Qespi ,,,,Plate 1,12,D2,,8/4/2022,Cade,8/4/2022
"ACRU_RM501
Soil_Mineral
Lab ID: 13e",254.4,7/28/2022,Qespi ,,,,Plate 1,13,E2,,8/4/2022,Cade,8/4/2022
"ACRU_RM502
Soil_Mineral
Lab ID: 14e",251.3,7/28/2022,Qespi ,,,,Plate 1,14,F2,,8/4/2022,Cade,8/4/2022
"ACRU_RM503
Soil_Mineral
Lab ID: 15e",256.6,7/28/2022,Qespi ,,,,Plate 1,15,G2,,8/4/2022,Cade,8/4/2022
"ACRU_RMS1
Soil_Mineral
Lab ID: 16e",261.9,7/28/2022,Qespi ,,,,Plate 1,16,H2,,8/4/2022,Cade,8/4/2022
"ACSA_SM1
Soil_Mineral
Lab ID: 17e",280.1,7/28/2022,Qespi ,,,,Plate 1,17,A3,,8/4/2022,Cade,8/4/2022
"ACSA_SM10
Soil_Mineral
Lab ID: 18e",265.3,7/28/2022,Qespi ,,,,Plate 1,18,B3,,8/4/2022,Cade,8/4/2022
"ACSA_SM11
Soil_Mineral
Lab ID: 19e",289.2,7/28/2022,Qespi ,,,,Plate 1,19,C3,,8/4/2022,Cade,8/4/2022
"ACSA_SM12
Soil_Mineral
Lab ID: 20e",291.4,7/28/2022,Qespi ,,,,Plate 1,20,D3,,8/4/2022,Cade,8/4/2022
"ACSA_SM13
Soil_Mineral
Lab ID: 21e",297.6,7/28/2022,Qespi ,,,,Plate 1,21,E3,,8/4/2022,Cade,8/4/2022
"ACSA_SM14
Soil_Mineral
Lab ID: 22e",252.7,7/28/2022,Qespi ,,,,Plate 1,22,F3,,8/4/2022,Cade,8/4/2022
"ACSA_SM15
Soil_Mineral
Lab ID: 23e",,,,Sample is missing/absent,,,Plate 1,23,G3,Yes,8/4/2022,Cade,8/4/2022
"ACSA_SM2
Soil_Mineral
Lab ID: 24e",286.4,7/28/2022,Qespi,,,,Plate 1,24,H3,,8/4/2022,Cade,8/4/2022
"ACSA_SM3
Soil_Mineral
Lab ID: 25e",273.2,7/28/2022,Qespi,,,,Plate 1,25,A4,,8/4/2022,Cade,8/4/2022
"ACSA_SM5
Soil_Mineral
Lab ID: 26e",256.5,7/28/2022,Qespi,,,,Plate 1,26,B4,,8/4/2022,Cade,8/4/2022
"ACSA_SM6
Soil_Mineral
Lab ID: 27e",260.2,7/28/2022,Qespi,,,,Plate 1,27,C4,,8/4/2022,Cade,8/4/2022
"ACSA_SM7
Soil_Mineral
Lab ID: 28e",256.6,7/28/2022,Qespi,,,,Plate 1,28,D4,,8/4/2022,Cade,8/4/2022
"ACSA_SM8
Soil_Mineral
Lab ID: 29e",271.6,7/28/2022,Qespi,,,,Plate 1,29,E4,,8/4/2022,Cade,8/4/2022
"ACSA_SM9
Soil_Mineral
Lab ID: 30e",263.2,7/28/2022,Qespi,,,,Plate 1,30,F4,,8/4/2022,Cade,8/4/2022
"ACSA _SM4
Soil_Mineral
Lab ID: 31e",253.6,7/28/2022,Qespi,,,,Plate 1,31,G4,,8/4/2022,Cade,8/4/2022
"BEAL_CUL8R
Soil_Mineral
Lab ID: 32e",268.5,7/29/2022,Qespi,,,,Plate 1,32,H4,,8/4/2022,Cade,8/4/2022
"BEAL_YB10
Soil_Mineral
Lab ID: 33e",250.5,7/29/2022,Qespi,,,,Plate 1,33,A5,,8/4/2022,Cade,8/4/2022
"BEAL_YB11
Soil_Mineral
Lab ID: 34e",252.3,7/29/2022,Qespi,,,,Plate 1,34,B5,,8/4/2022,Cade,8/4/2022
"BEAL_YB11'
Soil_Mineral
Lab ID: 35e",,,,Samples is missing ,,,Plate 1,35,C5,Yes,8/4/2022,Cade,8/4/2022
"BEAL_YB12
Soil_Mineral
Lab ID: 36e",,,,The sample is missing ,,,Plate 1,36,D5,Yes,8/4/2022,Cade,8/4/2022
"BEAL_YB13
Soil_Mineral
Lab ID: 37e",260.6,7/29/2022,Qespi ,,,,Plate 1,37,E5,,8/4/2022,Cade,8/4/2022
"BEAL_YB14
Soil_Mineral
Lab ID: 38e",252.1,7/29/2022,Qespi ,,,,Plate 1,38,F5,,8/4/2022,Cade,8/4/2022
"BEAL_YB15
Soil_Mineral
Lab ID: 39e",251,7/29/2022,Qespi ,,,,Plate 1,39,G5,,8/4/2022,Cade,8/4/2022
"BEAL_YB2
Soil_Mineral
Lab ID: 40e",255.7,7/29/2022,Qespi ,,,,Plate 1,40,H5,,8/4/2022,Cade,8/4/2022
"BEAL_YB3
Soil_Mineral
Lab ID: 41e",265.4,7/29/2022,Qespi ,,,,Plate 1,41,A6,,8/4/2022,Cade,8/4/2022
"BEAL_YB4
Soil_Mineral
Lab ID: 42e",250,7/29/2022,Qespi ,,,,Plate 1,42,B6,,8/4/2022,Cade,8/4/2022
"BEAL_YB5
Soil_Mineral
Lab ID: 43e",259,7/29/2022,Qespi ,,,,Plate 1,43,C6,,8/4/2022,Cade,8/4/2022
"BEAL_YB9
Soil_Mineral
Lab ID: 44e",,,,Sample is missing ,,,Plate 1,44,D6,Yes,8/4/2022,Cade,8/4/2022
"BEAL_YB9
Soil_Mineral
Lab ID: 45e",,,,Missing Sample ,,,Plate 1,45,E6,Yes,8/4/2022,Cade,8/4/2022
"BEAL_YBYB
Soil_Mineral
Lab ID: 46e",256.9,7/29/2022,Qespi,,,,Plate 1,46,F6,,8/4/2022,Cade,8/4/2022
"BELE_BB1
Soil_Mineral
Lab ID: 47e",251,7/29/2022,Qespi,,,,Plate 1,47,G6,,8/4/2022,Cade,8/4/2022
"BELE_BB10
Soil_Mineral
Lab ID: 48e",,,, The sample bag indicates: N/A -- no sample available. ,,,Plate 1,48,H6,Yes,8/4/2022,Cade,8/4/2022
"BELE_BB10'
Soil_Mineral
Lab ID: 49e",258.2,7/29/2022,Qespi,,,,Plate 1,49,A7,,8/4/2022,Cade,8/4/2022
"BELE_BB11
Soil_Mineral
Lab ID: 50e",251.5,7/29/2022,Qespi,,,,Plate 1,50,B7,,8/4/2022,Cade,8/4/2022
"BELE_BB12
Soil_Mineral
Lab ID: 51e",254,7/29/2022,Qespi,,,,Plate 1,51,C7,,8/4/2022,Cade,8/4/2022
"BELE_BB13
Soil_Mineral
Lab ID: 52e",257.3,7/29/2022,Qespi,,,,Plate 1,52,D7,,8/4/2022,Cade,8/4/2022
"BELE_BB14
Soil_Mineral
Lab ID: 53e",252.3,7/29/2022,Qespi,,,,Plate 1,53,E7,,8/4/2022,Cade,8/4/2022
"BELE_BB16
Soil_Mineral
Lab ID: 54e",253.8,7/29/2022,Qespi,,,,Plate 1,54,F7,,8/4/2022,Cade,8/4/2022
"BELE_BB16'
Soil_Mineral
Lab ID: 55e",250.6,7/29/2022,Qespi,,,,Plate 1,55,G7,,8/4/2022,Cade,8/4/2022
"BELE_BB3
Soil_Mineral
Lab ID: 56e",258.3,7/29/2022,Qespi,,,,Plate 1,56,H7,,8/4/2022,Cade,8/4/2022
"BELE_BB5
Soil_Mineral
Lab ID: 57e",257.8,7/29/2022,Qespi,,,,Plate 1,57,A8,,8/4/2022,Cade,8/4/2022
"BELE_BB6
Soil_Mineral
Lab ID: 58e",255.1,7/29/2022,Qespi,,,,Plate 1,58,B8,,8/4/2022,Cade,8/4/2022
"BELE_BB7
Soil_Mineral
Lab ID: 59e",250.9,7/29/2022,Qespi,,,,Plate 1,59,C8,,8/4/2022,Cade,8/4/2022
"BELE_BB8
Soil_Mineral
Lab ID: 60e",258.3,7/29/2022,Qespi,,,,Plate 1,60,D8,,8/4/2022,Cade,8/4/2022
"BELE_BB9
Soil_Mineral
Lab ID: 61e",268.9,7/29/2022,Qespi,,,,Plate 1,61,E8,,8/4/2022,Cade,8/4/2022
"BELE_BBGT1
Soil_Mineral
Lab ID: 62e",250,7/29/2022,Qespi,,,,Plate 1,62,F8,,8/4/2022,Cade,8/4/2022
"BELE_BBX1
Soil_Mineral
Lab ID: 63e",258.4,7/29/2022,Qespi,,,,Plate 1,63,G8,,8/4/2022,Cade,8/4/2022
