Date,Name,species,tree_id,Pith Visible,Sapwood Depth (cm),Heartwood Depth (cm),Tree Core Notes,outer_length_cm,Outer Section Mass Empty Tube (g),Outer Section Mass Tube + Core Segment (g),outer_fresh_mass_g,Date Placed in Freeze Dryer...13,Date Removed from Freeze Dryer...14,outer_dry_mass_g,OUTER SECTION Ground Sample ID,Percent_Change_Outer,OUTER SECTION Processing Issues/Notes,inner_length_cm,Inner Section Mass Empty Tube (g),Inner Section Mass Tube + Core Segment (g),inner_fresh_mass_g,Date Placed in Freeze Dryer...23,Date Removed from Freeze Dryer...24,inner_dry_mass_g,INNER SECTION Ground Sample ID,Percent_Change_Inner,INNER SECTION Processing Issues/Notes,middle_length_mm,Middle Section Mass Empty Tube (g),Middle Section Mass Tube + Core Segment (g),middle_fresh_mass_g,Date Placed in Freeze Dryer...33,Date Removed from Freeze Dryer...34,middle_dry_mass_g,Ground Sample ID,MIDDLE SECTION Processing Issues/Notes,Bark Length (mm),Bark Fresh Mass (g),Bark Empty Tube Mass (g),Bark Mass + Tube (g),Post-Freeze Dry Sample Mass (g),SAMPLE FLAG,...44,...45,...46,...47,...48,...49,...50,...51,...52,...53,...54,...55,...56,...57,middle_length_cm,outer_volume_cm3,inner_volume_cm3,middle_volume_cm3,outer_moisture_fresh_percent,inner_moisture_fresh_percent,middle_moisture_fresh_percent,outer_moisture_dry_percent,inner_moisture_dry_percent,middle_moisture_dry_percent,outer_density_g_cm3,inner_density_g_cm3,middle_density_g_cm3
6/7/22,Jon,FRAM,WA102,Yes,NA,NA,NA,5,5.315,6.107,0.792,6/10/22,6/13/22,0.539,WA102 Outer,0.319444444,NA,5,5.341,6.316,0.975,6/10/22,6/13/22,0.619,WA102 Inner,0.365128205,NA,NA,5.273,5.551,0.278,6/10/22,6/13/22,0.184,WA102 Middle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0415361394354412,1.0415361394354412,NA,31.944444444444443,36.51282051282051,33.812949640287776,46.93877551020408,57.51211631663974,51.08695652173915,0.5175048465357736,0.5943144712535136,NA
6/8/22,Jon,TSCA,H301,Yes,NA,NA,NA,5,5.317,6.157,0.84,6/10/22,6/13/22,0.388,H301 Outer,0.538095238,NA,5,5.309,6.251,0.942,6/10/22,6/13/22,0.361,H301 Inner,0.616772824,NA,44,5.348,6.163,0.815,6/10/22,6/13/22,0.304,H301 Middle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,1.0415361394354412,1.0415361394354412,0.9165518027031883,53.80952380952381,61.67728237791932,62.69938650306748,116.49484536082473,160.94182825484765,168.09210526315786,0.3725266798810392,0.3466034315388019,0.3316779249175138
6/8/22,Jon,TSCA,HX4,Yes,NA,NA,NA,5,5.376,6.119,0.743,6/10/22,6/13/22,0.39,HX4 Outer,0.475100942,NA,4.015,5.346,6.138,0.792,6/10/22,6/13/22,0.391,HX4 Inner,0.506313131,NA,0,0,0,0,6/10/22,6/13/22,NA,HX4 Middle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.0415361394354412,0.8363535199666592,NA,47.51009421265141,50.63131313131313,NA,90.5128205128205,102.55754475703324,NA,0.3744469204989827,0.4675056548044265,NA
6/8/22,Jon,TSCA,H2,Yes,NA,NA,Uncertain pith location,5,5.345,6.239,0.894,6/10/22,6/13/22,0.523,H2 Outer,0.414988814,NA,5,5.338,6.33,0.992,6/10/22,6/13/22,0.428,H2 Inner,0.568548387,NA,50,5.338,6.108,0.77,6/10/22,6/13/22,0.432,H2 Middle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1.0415361394354412,1.0415361394354412,1.0415361394354412,41.49888143176734,56.85483870967742,43.8961038961039,70.93690248565964,131.77570093457948,78.24074074074075,0.5021429215922255,0.4109314922399092,0.4147719734757962
6/8/22,Jon,TSCA,HX3,Yes,NA,NA,NA,5,5.338,6.111,0.773,6/10/22,6/13/22,0.356,HX3 Outer,0.539456662,NA,5,5.366,6.227,0.861,6/10/22,6/13/22,0.362,HX3 Inner,0.579558653,NA,107.02,5.411,7.078,1.667,6/10/22,6/13/22,0.807,HX3 Middle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.702,1.0415361394354412,1.0415361394354412,2.229303952847618,53.945666235446325,57.955865272938446,51.58968206358728,117.13483146067418,137.84530386740332,106.56753407682776,0.3418028299939432,0.34756355184777366,0.36199639756129826
6/8/22,Jon,TSCA,H103,No,NA,NA,NA,5,5.34,6.105,0.765,6/10/22,6/13/22,0.368,H103 Outer,0.518954248,NA,5,5.341,6.164,0.823,6/10/22,6/13/22,0.344,H103 Inner,0.582017011,NA,98.3,5.362,6.554,1.192,6/10/22,6/13/22,0.74,H103 Middle,NA,14.96,NA,5.371,5.601,0.157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.83,1.0415361394354412,1.0415361394354412,2.047660050130077,51.895424836601315,58.201701093560146,37.919463087248324,107.88043478260869,139.24418604651163,61.08108108108108,0.3533242737016042,0.3302813862862821,0.3613881122274138
6/8/22,Jon,TSCA,H9,Yes,NA,NA,NA,5,5.359,6.211,0.852,6/10/22,6/13/22,0.395,H9 Outer,0.536384977,NA,5,5.392,6.447,1.055,6/10/22,6/13/22,0.401,H9 Inner,0.619905213,NA,57.15,5.393,6.527,1.134,6/10/22,6/13/22,0.417,H9 Middle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.715,1.0415361394354412,1.0415361394354412,1.190475807374709,53.63849765258215,61.990521327014214,63.22751322751322,115.69620253164557,163.09226932668327,171.94244604316543,0.37924752204384143,0.38500824389767196,0.3502801127219773
6/9/22,Cade,TSCA,H102,Yes,NA,NA,middle piece accidentally combined with another piece. 2 possible pieces that may have been the actual core: middle?x1 and middle?x2. middle?x1: length-35.35mm/empty weight-5.3943g/filled weight-6.0878g. middle?x2:length-41.02mm/empty weight-5.3707/filled weight-6.0782,5,5.3611,6.1904,0.8293,6/10/22,6/13/22,0.363,H102 Outer,0.562281442,NA,5,5.377,6.2828,0.9058,6/10/22,6/13/22,0.345,H102 Inner,0.619121219,NA,NA,NA,NA,0,6/10/22,6/13/22,NA,H102 Middle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0415361394354412,1.0415361394354412,NA,56.228144218015196,61.912121881209984,NA,128.4573002754821,162.55072463768118,NA,0.3485236721567454,0.33124150659525387,NA
6/9/22,Cade,TSCA,H104,Yes,NA,NA,Inner Section 12.54+3.23+4.08,5,5.3384,6.2791,0.9407,6/10/22,6/13/22,0.403,H104 Outer,0.57159562,NA,5,5.3281,6.7483,1.4202,6/10/22,6/13/22,0.168,H104 Inner,0.881706802,NA,0,0,0,0,6/10/22,6/13/22,NA,H104 Middle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.0415361394354412,1.0415361394354412,NA,57.15956202827681,88.17068018588931,NA,133.424317617866,745.3571428571428,NA,0.38692848451561546,0.16130021190725408,NA
6/9/22,Cade,TSCA,HX2,No,NA,NA,NA,5,5.4945,6.2507,0.7562,6/10/22,6/13/22,0.319,HX2 Outer,0.578153928,NA,5,5.4891,7.3733,1.8842,6/10/22,6/13/22,0.305,HX2 Inner,0.838127587,NA,43.14,5.3698,6.2503,0.8805,6/10/22,6/13/22,0.277,HX2 Middle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.314,1.0415361394354412,1.0415361394354412,0.8986373811048985,57.81539275323988,83.8127587304957,68.54060193072118,137.05329153605015,517.7704918032788,217.87003610108297,0.3062783785619884,0.29283669423638387,0.3082444663713201
