tree_id,species,outer_moisture_fresh_percent,outer_moisture_dry_percent,outer_density_g_cm3,inner_moisture_fresh_percent,inner_moisture_dry_percent,inner_density_g_cm3,middle_moisture_fresh_percent,middle_moisture_dry_percent,middle_density_g_cm3
HX4,TSCA,47.51009421265141,90.5128205128205,0.3744469204989827,50.63131313131313,102.55754475703324,0.4675056548044265,NA,NA,NA
H2,TSCA,41.49888143176734,70.93690248565964,0.5021429215922255,56.85483870967742,131.77570093457948,0.4109314922399092,43.8961038961039,78.24074074074075,0.4147719734757962
HX3,TSCA,53.945666235446325,117.13483146067418,0.3418028299939432,57.955865272938446,137.84530386740332,0.34756355184777366,51.58968206358728,106.56753407682776,0.36199639756129826
H103,TSCA,51.895424836601315,107.88043478260869,0.3533242737016042,58.201701093560146,139.24418604651163,0.3302813862862821,37.919463087248324,61.08108108108108,0.3613881122274138
H9,TSCA,53.63849765258215,115.69620253164557,0.37924752204384143,61.990521327014214,163.09226932668327,0.38500824389767196,63.22751322751322,171.94244604316543,0.3502801127219773
H102,TSCA,56.228144218015196,128.4573002754821,0.3485236721567454,61.912121881209984,162.55072463768118,0.33124150659525387,NA,NA,NA
H104,TSCA,57.15956202827681,133.424317617866,0.38692848451561546,88.17068018588931,745.3571428571428,0.16130021190725408,NA,NA,NA
HX2,TSCA,57.81539275323988,137.05329153605015,0.3062783785619884,83.8127587304957,517.7704918032788,0.29283669423638387,68.54060193072118,217.87003610108297,0.3082444663713201
H5,TSCA,42.14656204282485,72.85057471264368,0.41765233440271143,65.12661039537984,186.7515923566879,0.30147777701712963,59.428456429865165,146.47817460317464,0.40801065406556686
H101,TSCA,59.3362935265249,145.91954022988506,0.33412186752216916,47.66146993318486,91.06382978723406,0.40613089069505043,43.37078651685393,76.5873015873016,0.36220107464203766
H4,TSCA,48.91640866873065,95.75757575757576,0.43706665168599423,42.18386080284971,72.96208530805688,0.4051707703860787,NA,NA,NA
H8,TSCA,67.83176493182256,210.86567164179107,0.3216403035055364,63.361344537815114,172.9357798165137,0.31395934103376244,67.62665545511877,208.89610389610388,0.33167009327422514
HZ1,TSCA,59.104552276138065,144.52599388379204,0.31395934103376244,58.72988406298667,142.30607966457023,0.457977387379525,54.334877564526806,118.98550724637683,0.329356853489177
H3,TSCA,43.292171202493705,76.34249471458774,0.45413690614363794,60.78797497899357,155.02380952380955,0.4032505297681352,53.17139001349528,113.54466858789627,0.47730909342864963
HX5,TSCA,54.311535082214135,118.87362637362638,0.34948379246571715,45.659722222222214,84.02555910543128,0.3005176567081579,45.07326489427042,82.06070287539934,0.33941456596810243
RM303,ACRU,33.1103678929766,49.50000000000001,0.5568697792036152,31.670410213973287,46.349480968858146,0.5549495385856718,34.467776973207826,52.59668508287293,0.5534451462544168
RM2,ACRU,35.41620666813866,54.837606837606856,0.561670380748474,43.63341443633414,77.41007194244604,0.5338268917882933,39.5034569453174,65.29870129870129,0.5830383579718044
RM304,ACRU,36.50427153082428,57.49090909090907,0.5280661699344628,32.37631984814332,47.87719298245615,0.5472685761138977,36.53285490020185,57.561837455830414,0.5613926599979451
RM3,ACRU,37.51510756586899,60.03868471953579,0.49638219973839504,41.37812821391841,70.58479532163742,0.492541718502508,36.94946685210941,58.60294117647058,0.49088857902315064
RM10,ACRU,41.28698919680601,70.32000000000001,0.48006015448587525,38.97069986336723,63.855721393034806,0.3859683642066437,39.95689212768142,66.54700854700857,0.45738630354110266
RM301a,ACRU,35.65028509367364,55.40084388185655,0.4550970264526097,32.14650518021304,47.376344086021504,0.446455943671864,31.534434152235193,46.058823529411754,0.4846212960961925
RM301b,ACRU,40.337064829622335,67.6082474226804,0.46565834985129895,56.8019747668678,131.4920634920635,0.46201939707623196,NA,NA,NA
RM502,ACRU,34.06292749658002,51.65975103734441,0.4627779889243837,48.14917510051296,92.86096256684493,0.35908499555543466,49.53688917278824,98.1645569620253,0.367576953761901
RM5,ACRU,33.581836665537104,50.56122448979592,0.5645507416753892,43.306288032454354,76.38640429338102,0.5367072527152086,36.02326426753908,56.306818181818194,0.5270778988740739
RM1,ACRU,35.95063304606873,56.12956810631229,0.5779924260009938,47.17807176168268,89.31531531531529,0.5328667714793216,-18.758182158219576,-15.795275590551189,0.5755464893770053
RM501,ACRU,44.80286738351255,81.16883116883116,0.490061407704331,NA,NA,NA,NA,NA,NA
RM4,ACRU,34.73863515383797,53.23001631321371,0.5885537493996831,35.66050650239563,55.42553191489363,0.5619633190743746,NA,NA,NA
RM14,ACRU,33.223503569467326,49.75328947368421,0.5837531478548242,42.05035155364028,72.56360078277886,0.6373362923935627,NA,NA,NA
RM302,ACRU,36.66666666666666,57.89473684210525,0.5107840043729713,39.4726055472059,65.21444695259594,0.42533329687448546,35.51587301587301,55.076923076923066,0.5126600773534813
WPX7,PIST,59.12738781507857,144.6626106194691,0.34717950372418493,72.42219722534684,262.61046906866073,0.282467394899489,NA,NA,NA
WPX22,PIST,68.61829241798826,218.65697473174106,0.2773787572619387,70.24886877828055,236.1216730038023,0.2777628053855274,NA,NA,NA
wp7,PIST,61.230266739248776,157.9331648413367,0.3418988420248404,48.952600745606254,95.89636584941752,0.5521651896896537,NA,NA,NA
wp403,PIST,53.92402247066022,117.0328343795268,0.3976818319760991,NA,NA,NA,52.15660866345798,109.0152834203908,0.402046490365763
wp401,PIST,51.028861571352216,104.20190995907231,0.35188409323814657,NA,NA,NA,NA,NA,NA
WPBerenice,PIST,50.845105953582234,103.43854246856556,0.37415888440629114,50.64734027582325,102.62332477901339,0.3367141923563929,61.7593984962406,161.5021627998427,0.32667727397848034
wpx5,PIST,NA,NA,NA,9.90721340915894,10.996677740863795,0.5779924260009938,NA,NA,NA
wp103,PIST,52.406103286384976,110.11097410604191,0.3893287852880448,69.80592441266599,231.19079837618406,0.28381156333204943,NA,NA,NA
wp102,PIST,55.00828271673108,122.2631320569465,0.3911530138750911,61.830125619453725,161.98671497584542,0.3057613907033113,NA,NA,NA
wp4,PIST,56.809856809856804,131.5343099460293,0.3735828122209081,70.11525060305547,234.61883408071748,0.32116024335105053,64.77632969355408,183.9,0.3787191247050724
wp8,PIST,52.16608664346574,109.05669844455595,0.38270395515613975,70.96098953377735,244.36435124508512,0.2930287182981783,61.21670042062627,157.84294034946777,0.3528520090323551
