Plot,tree_count,mean_dbh,median_dbh,min_dbh,max_dbh,trees_with_variants
Lab,59,34.41,31.5,20.5,96,59
Lowland,119,33.99,33,4,72,119
Ridge,61,33.46,31,6.5,68.5,61
