consensus_tree_id,normalized_id,Plot,DBH,source,variant_1,variant_2,name_in_datasheets,name_in_trees_dbh,name_in_labels,name_in_flux_temp,name_in_flux_dimensions,name_in_soil_data,name_in_ddpcr_data,name_variants
SM4,sm4,Lab,29,trees_dbh,SM4,NA,SM4,SM4,SM4,NA,SM4,SM4,NA,5
SM5,sm5,Lab,27,trees_dbh,SM5,NA,SM5,SM5,SM5,NA,SM5,SM5,SM5,6
SM6,sm6,Lab,24,trees_dbh,SM6,NA,SM6,SM6,SM6,NA,SM6,SM6,SM6,6
SM7,sm7,Lab,43,trees_dbh,SM7,NA,SM7,SM7,SM7,NA,SM7,SM7,SM7,6
SM8,sm8,Lab,26.5,trees_dbh,SM8,NA,SM8,SM8,SM8,NA,SM8,SM8,SM8,6
SM9,sm9,Lab,26,trees_dbh,SM9,NA,SM9,SM9,SM9,NA,SM9,SM9,SM9,6
WA1,wa1,Lab,36,datasheets,WA1,NA,WA1,WA1,WA1,WA1,WA1,NA,WA1,6
WA10,wa10,Lab,30,datasheets,WA10,NA,WA10,WA10,WA10,WA10,WA10,WA10,WA10,7
WA101,wa101,Lab,41,datasheets,WA101,NA,WA101,NA,NA,WA101,WA101,WA101,WA101,5
WA102,wa102,Lab,29.5,datasheets,WA102,NA,WA102,NA,NA,WA102,WA102,WA102,WA102,5
WA103,wa103,Lab,36,datasheets,WA103,NA,WA103,NA,NA,WA103,WA103,WA103,WA103,5
WA104,wa104,Lab,35,datasheets,WA104,NA,WA104,NA,NA,WA104,WA104,WA104,WA104,5
WA105,wa105,Lab,23.5,datasheets,WA105,NA,WA105,NA,NA,WA105,WA105,WA105,NA,4
WA11,wa11,Lab,27,trees_dbh,WA11,NA,NA,WA11,WA11,NA,NA,NA,NA,2
WA12,wa12,Lab,56,datasheets,WA12,NA,WA12,WA12,WA12,WA12,WA12,WA12,WA12,7
WA13,wa13,Lab,23.5,trees_dbh,WA13,NA,NA,WA13,WA13,NA,NA,NA,NA,2
WA14,wa14,Lab,47,datasheets,WA14,NA,WA14,WA14,WA14,WA14,WA14,NA,WA14,6
WA15,wa15,Lab,22,datasheets,WA15,NA,WA15,WA15,WA15,WA15,WA15,WA15,WA15,7
WA2,wa2,Lab,34.5,trees_dbh,WA2,NA,NA,WA2,WA2,NA,NA,NA,NA,2
WA3,wa3,Lab,22.5,trees_dbh,WA3,NA,NA,WA3,WA3,NA,NA,NA,NA,2
WA4,wa4,Lab,34,trees_dbh,WA4,NA,NA,WA4,WA4,NA,NA,NA,NA,2
WA5,wa5,Lab,34.5,datasheets,WA5,NA,WA5,WA5,WA5,WA5,WA5,WA5,WA5,7
WA6,wa6,Lab,21,trees_dbh,WA6,NA,NA,WA6,WA6,NA,NA,NA,NA,2
WA7,wa7,Lab,40,trees_dbh,WA7,NA,NA,WA7,WA7,NA,NA,NA,NA,2
WA8,wa8,Lab,32,trees_dbh,WA8,NA,NA,WA8,WA8,NA,NA,NA,NA,2
WA9,wa9,Lab,30.5,trees_dbh,WA9,NA,NA,WA9,WA9,NA,NA,NA,NA,2
WAX1,wax1,Lab,37,datasheets,WAX1,NA,WAX1,NA,NA,WAX1,WAX1,NA,WAX1,4
WP Bernice?,wp bernice,Lab,58,datasheets,WP Bernice?,WPBERNICE,WP Bernice?,NA,NA,WP Bernice?,WP Bernice?,WPBERNICE,NA,4
WPX1,wpx1,Lab,47,trees_dbh,WPX1,NA,NA,WPX1,WPX1,NA,NA,NA,NA,2
WPX2,wpx2,Lab,27.5,trees_dbh,WPX2,NA,WPX2,WPX2,WPX2,WPX2,WPX2,WPX2,WPX2,7
WPX3,wpx3,Lab,38.5,trees_dbh,WPX3,NA,NA,WPX3,WPX3,NA,NA,NA,NA,2
WPX4,wpx4,Lab,40.5,trees_dbh,WPX4,NA,NA,WPX4,WPX4,NA,NA,NA,NA,2
WPX5,wpx5,Lab,66,trees_dbh,WPX5,NA,WPX5,WPX5,WPX5,WPX5,WPX5,WPX5,WPX5,7
WPX6,wpx6,Lab,96,trees_dbh,WPX6,NA,NA,WPX6,WPX6,NA,NA,NA,NA,2
YBX1,ybx1,Lab,31.5,trees_dbh,YBX1,NA,NA,YBX1,YBX1,NA,NA,NA,NA,2
AB 3/5,ab 3/5,Lowland,45,datasheets,AB 3/5,AB3/5,AB 3/5,AB3/5,AB3/5,AB 3/5,AB 3/5,AB3/5,AB3/5,7
AB 4/6,ab 4/6,Lowland,22,datasheets,AB 4/6,AB4/6,AB 4/6,AB4/6,AB4/6,AB 4/6,AB 4/6,AB4/6,AB4/6,7
AB1,ab1,Lowland,25.5,datasheets,AB1,NA,AB1,AB1,AB1,AB1,AB1,AB1,AB1,7
AB2,ab2,Lowland,24,datasheets,AB2,NA,AB2,AB2,AB2,AB2,AB2,NA,AB2,6
AB3,ab3,Lowland,26.5,datasheets,AB3,NA,AB3,AB3,AB3,AB3,AB3,NA,AB3,6
AB4,ab4,Lowland,36,datasheets,AB4,NA,AB4,AB4,AB4,AB4,AB4,AB4,AB4,7
AB5,ab5,Lowland,36.5,trees_dbh,AB5,NA,AB5,AB5,AB5,AB5,AB5,AB5,AB5,7
AB501,ab501,Lowland,26.5,datasheets,AB501,NA,AB501,NA,NA,AB501,AB501,AB501,AB501,5
AB6,ab6,Lowland,42.5,trees_dbh,AB6,NA,AB6,AB6,AB6,AB6,AB6,AB6,AB6,7
AB6',ab6',Lowland,31,trees_dbh,AB6',NA,NA,AB6',AB6',NA,NA,AB6',AB6',4
AB8,ab8,Lowland,26,trees_dbh,AB8,NA,NA,AB8,AB8,NA,NA,NA,NA,2
ABT 14P,abt 14p,Lowland,25,datasheets,ABT 14P,ABT14P,ABT 14P,NA,NA,ABT 14P,ABT 14P,ABT14P,ABT14P,5
BB1,bb1,Lowland,27,datasheets,BB1,NA,BB1,BB1,BB1,BB1,BB1,BB1,BB1,7
BB2,bb2,Lowland,30.5,trees_dbh,BB2,NA,NA,BB2,BB2,NA,NA,NA,NA,2
BB3,bb3,Lowland,31,datasheets,BB3,NA,BB3,NA,NA,BB3,BB3,BB3,BB3,5
BB4,bb4,Lowland,34,trees_dbh,BB4,NA,NA,BB4,BB4,NA,NA,NA,NA,2
BC1,bc1,Lowland,28.5,trees_dbh,BC1,NA,BC1,BC1,BC1,NA,BC1,BC1,BC1,6
BC4,bc4,Lowland,49,datasheets,BC4,NA,BC4,BC4,BC4,BC4,BC4,BC4,BC4,7
BC5,bc5,Lowland,34,trees_dbh,BC5,NA,NA,BC5,BC5,NA,NA,NA,NA,2
BO1,bo1,Lowland,25,datasheets,BO1,NA,BO1,BO1,BO1,BO1,BO1,BO1,BO1,7
BO2,bo2,Lowland,38,trees_dbh,BO2,NA,NA,BO2,BO2,NA,NA,NA,NA,2
H1,h1,Lowland,30,trees_dbh,H1,NA,NA,H1,H1,NA,NA,NA,NA,2
H10,h10,Lowland,44,trees_dbh,H10,NA,NA,H10,H10,NA,NA,NA,NA,2
H11,h11,Lowland,38,trees_dbh,H11,NA,NA,H11,H11,NA,NA,NA,NA,2
H12,h12,Lowland,49,trees_dbh,H12,NA,NA,H12,H12,NA,NA,NA,NA,2
H12',h12',Lowland,26,trees_dbh,H12',NA,NA,H12',H12',NA,NA,NA,NA,2
H14,h14,Lowland,30,trees_dbh,H14,NA,NA,H14,H14,NA,NA,NA,NA,2
H14,h14,Lowland,36,trees_dbh,H14,NA,NA,H14,H14,NA,NA,NA,NA,2
H15,h15,Lowland,47,trees_dbh,H15,NA,NA,H15,H15,NA,NA,NA,NA,2
H2,h2,Lowland,40,datasheets,H2,NA,H2,H2,H2,H2,H2,H2,H2,7
H3,h3,Lowland,30,datasheets,H3,NA,H3,H3,H3,H3,H3,H3,H3,7
