UniqueID,nb.obs,start.time,end.time
20210720_Lab_SM6_50_3_111630,489,2021-07-20T11:17:47.000000Z,2021-07-20T11:26:14.000000Z
20210720_Lab_SM7_125_3_132630,443,2021-07-20T13:26:35.000000Z,2021-07-20T13:30:38.000000Z
20210720_Lab_SM7_200_3_133300,482,2021-07-20T13:33:17.000000Z,2021-07-20T13:37:31.000000Z
20210720_Lab_SM7_50_3_131830,347,2021-07-20T13:18:32.000000Z,2021-07-20T13:24:50.000000Z
20210720_Lab_SM8_125_3_140645,503,2021-07-20T14:06:57.000000Z,2021-07-20T14:12:40.000000Z
20210720_Lab_SM8_200_3_141400,513,2021-07-20T14:14:15.000000Z,2021-07-20T14:18:13.000000Z
20210720_Lab_SM8_50_3_135800,503,2021-07-20T13:58:05.000000Z,2021-07-20T14:04:53.000000Z
20210720_Lab_SM9_125_3_145145,543,2021-07-20T14:51:42.000000Z,2021-07-20T14:55:36.000000Z
20210720_Lab_SM9_200_3_145645,543,2021-07-20T14:57:01.000000Z,2021-07-20T15:10:51.000000Z
20210720_Lab_SM9_50_3_143430,544,2021-07-20T14:34:53.000000Z,2021-07-20T14:46:59.000000Z
20210721_Lab_SM15_125_6_93315,543,2021-07-21T09:33:33.000000Z,2021-07-21T09:47:08.000000Z
20210721_Lab_SM15_200_6_94830,543,2021-07-21T09:48:58.000000Z,2021-07-21T09:59:19.000000Z
20210721_Lab_SM15_50_6_91300,383,2021-07-21T09:13:09.000000Z,2021-07-21T09:30:53.000000Z
20210721_Ridge_BB10_125_6_164100,543,2021-07-21T16:41:34.000000Z,2021-07-21T16:51:31.000000Z
20210721_Ridge_BB10_200_6_165700,543,2021-07-21T16:57:04.000000Z,2021-07-21T17:04:41.000000Z
20210721_Ridge_BB10_50_6_163000,543,2021-07-21T16:30:52.000000Z,2021-07-21T16:39:29.000000Z
20210721_Ridge_BB10prime_125_6_172045,543,2021-07-21T17:21:16.000000Z,2021-07-21T17:30:13.000000Z
20210721_Ridge_BB10prime_200_6_173300,472,2021-07-21T17:33:17.000000Z,2021-07-21T17:49:42.000000Z
20210721_Ridge_BB10prime_50_6_170930,543,2021-07-21T17:09:45.000000Z,2021-07-21T17:19:12.000000Z
20210721_Ridge_BB5_125_6_115130,543,2021-07-21T11:51:38.000000Z,2021-07-21T12:01:44.000000Z
20210721_Ridge_BB5_200_6_120400,544,2021-07-21T12:08:02.000000Z,2021-07-21T12:12:21.000000Z
20210721_Ridge_BB5_50_6_113400,418,2021-07-21T11:34:03.000000Z,2021-07-21T11:48:19.000000Z
20210721_Ridge_BB6_125_6_124700,543,2021-07-21T12:47:05.000000Z,2021-07-21T12:55:37.000000Z
20210721_Ridge_BB6_200_6_125745,478,2021-07-21T12:58:16.000000Z,2021-07-21T13:14:01.000000Z
20210721_Ridge_BB6_50_6_123330,543,2021-07-21T12:34:04.000000Z,2021-07-21T12:45:00.000000Z
20210721_Ridge_BB7_125_6_135600,490,2021-07-21T13:56:42.000000Z,2021-07-21T14:03:55.000000Z
20210721_Ridge_BB7_200_6_141000,543,2021-07-21T14:09:58.000000Z,2021-07-21T14:26:52.000000Z
20210721_Ridge_BB7_50_6_134200,321,2021-07-21T13:41:57.000000Z,2021-07-21T13:52:53.000000Z
20210721_Ridge_BB8_125_6_144800,543,2021-07-21T14:48:01.000000Z,2021-07-21T14:57:57.000000Z
20210721_Ridge_BB8_200_6_151015,544,2021-07-21T15:10:53.000000Z,2021-07-21T15:22:49.000000Z
20210721_Ridge_BB8_50_6_143200,543,2021-07-21T14:31:51.000000Z,2021-07-21T14:41:33.000000Z
20210721_Ridge_BB9_125_6_154900,543,2021-07-21T15:54:24.000000Z,2021-07-21T16:12:33.000000Z
20210721_Ridge_BB9_200_6_155600,544,2021-07-21T15:55:24.000000Z,2021-07-21T16:18:11.000000Z
20210721_Ridge_BB9_50_6_152600,544,2021-07-21T15:26:48.000000Z,2021-07-21T15:32:41.000000Z
20210722_Ridge_BB11_125_6_95300,543,2021-07-22T09:53:19.000000Z,2021-07-22T10:12:57.000000Z
20210722_Ridge_BB11_200_6_101700,543,2021-07-22T10:16:41.000000Z,2021-07-22T10:26:03.000000Z
20210722_Ridge_BB11_50_6_94000,544,2021-07-22T09:30:26.000000Z,2021-07-22T09:49:10.000000Z
20210722_Ridge_BB12_125_6_110800,543,2021-07-22T11:07:49.000000Z,2021-07-22T11:18:41.000000Z
20210722_Ridge_BB12_200_6_112200,543,2021-07-22T11:28:33.000000Z,2021-07-22T11:31:32.000000Z
20210722_Ridge_BB12_50_6_105000,543,2021-07-22T10:50:30.000000Z,2021-07-22T11:04:50.000000Z
20210722_Ridge_BB13_125_6_115100,543,2021-07-22T11:51:05.000000Z,2021-07-22T11:59:48.000000Z
20210722_Ridge_BB13_200_6_120500,543,2021-07-22T12:10:19.000000Z,2021-07-22T12:17:42.000000Z
20210722_Ridge_BB13_50_6_113800,543,2021-07-22T11:36:45.000000Z,2021-07-22T11:47:51.000000Z
20210722_Ridge_BB16prime_125_6_144500,543,2021-07-22T14:45:11.000000Z,2021-07-22T14:55:02.000000Z
