UniqueID,start.time,Area,Vtot,Tcham,Pcham,Date,Site,Plot Tag,Plot letter,Person sampling,File name,Notes,start.time_formatted
20200615_1-3-U_0,2020-06-15T13:20:00.000000Z,507.7,17.848958219333085,21.35,101.325,2020-06-15,YM,1-3,U,MT & DW,0,NA,2020-06-15 13:20:00 UTC
20200615_1-2-U_1,2020-06-15T13:31:00.000000Z,507.7,17.848958219333085,21.2,101.325,2020-06-15,YM,1-2,U,MT & DW,1,NA,2020-06-15 13:31:00 UTC
20200615_1-1-U_2,2020-06-15T13:43:00.000000Z,507.7,17.848958219333085,21.2,101.325,2020-06-15,YM,1-1,U,MT & DW,2,NA,2020-06-15 13:43:00 UTC
20200615_1-4-U_10,2020-06-15T16:04:00.000000Z,507.7,17.848958219333085,20.23,101.325,2020-06-15,YM,1-4,U,MT & DW,10,NA,2020-06-15 16:04:00 UTC
20200615_1-5-U_11,2020-06-15T16:14:00.000000Z,507.7,17.848958219333085,20.23,101.325,2020-06-15,YM,1-5,U,MT & DW,11,NA,2020-06-15 16:14:00 UTC
20200615_1-6-U_12,2020-06-15T16:23:00.000000Z,507.7,17.848958219333085,20.23,101.325,2020-06-15,YM,1-6,U,MT & DW,12,NA,2020-06-15 16:23:00 UTC
20200616_2-1-U_1,2020-06-16T10:47:00.000000Z,507.7,17.848958219333085,23.68,101.325,2020-06-16,YM,2-1,U,MT & DW,1,NA,2020-06-16 10:47:00 UTC
20200616_2-3-U_3,2020-06-16T11:03:00.000000Z,507.7,17.848958219333085,23.68,101.325,2020-06-16,YM,2-3,U,MT & DW,3,NA,2020-06-16 11:03:00 UTC
20200616_2-2-U_4,2020-06-16T11:12:00.000000Z,507.7,17.848958219333085,23.68,101.325,2020-06-16,YM,2-2,U,MT & DW,4,NA,2020-06-16 11:12:00 UTC
20200616_2-6-U_11,2020-06-16T12:39:00.000000Z,507.7,17.848958219333085,24.43,101.325,2020-06-16,YM,2-6,U,MT & DW,11,NA,2020-06-16 12:39:00 UTC
20200616_2-4-U_12,2020-06-16T12:50:00.000000Z,507.7,17.848958219333085,24.43,101.325,2020-06-16,YM,2-4,U,MT & DW,12,NA,2020-06-16 12:50:00 UTC
20200616_2-5-U_13,2020-06-16T12:57:00.000000Z,507.7,17.848958219333085,24.43,101.325,2020-06-16,YM,2-5,U,MT & DW,13,NA,2020-06-16 12:57:00 UTC
20200617_1-1-WS_2,2020-06-17T11:37:00.000000Z,507.7,17.848958219333085,26.91,101.325,2020-06-17,YM,1-1,WS,MT & DW,2,NA,2020-06-17 11:37:00 UTC
