UniqueID	start.time	Area	Vtot	Tcham	Pcham	Date	Site	Plot Tag	Plot letter	Person sampling	File name	Notes
20200615_1-3-U_0	2020-06-15 13:20:00	507.7	17.8489582193331	21.35	101.325	2020-06-15	YM	1-3	U	MT & DW	0	NA
20200615_1-2-U_1	2020-06-15 13:31:00	507.7	17.8489582193331	21.2	101.325	2020-06-15	YM	1-2	U	MT & DW	1	NA
20200615_1-1-U_2	2020-06-15 13:43:00	507.7	17.8489582193331	21.2	101.325	2020-06-15	YM	1-1	U	MT & DW	2	NA
20200615_1-4-U_10	2020-06-15 16:04:00	507.7	17.8489582193331	20.23	101.325	2020-06-15	YM	1-4	U	MT & DW	10	NA
20200615_1-5-U_11	2020-06-15 16:14:00	507.7	17.8489582193331	20.23	101.325	2020-06-15	YM	1-5	U	MT & DW	11	NA
20200615_1-6-U_12	2020-06-15 16:23:00	507.7	17.8489582193331	20.23	101.325	2020-06-15	YM	1-6	U	MT & DW	12	NA
20200616_2-1-U_1	2020-06-16 10:47:00	507.7	17.8489582193331	23.68	101.325	2020-06-16	YM	2-1	U	MT & DW	1	NA
20200616_2-3-U_3	2020-06-16 11:03:00	507.7	17.8489582193331	23.68	101.325	2020-06-16	YM	2-3	U	MT & DW	3	NA
20200616_2-2-U_4	2020-06-16 11:12:00	507.7	17.8489582193331	23.68	101.325	2020-06-16	YM	2-2	U	MT & DW	4	NA
20200616_2-6-U_11	2020-06-16 12:39:00	507.7	17.8489582193331	24.43	101.325	2020-06-16	YM	2-6	U	MT & DW	11	NA
20200616_2-4-U_12	2020-06-16 12:50:00	507.7	17.8489582193331	24.43	101.325	2020-06-16	YM	2-4	U	MT & DW	12	NA
20200616_2-5-U_13	2020-06-16 12:57:00	507.7	17.8489582193331	24.43	101.325	2020-06-16	YM	2-5	U	MT & DW	13	NA
20200617_1-1-WS_2	2020-06-17 11:37:00	507.7	17.8489582193331	26.91	101.325	2020-06-17	YM	1-1	WS	MT & DW	2	NA
20200617_1-2-WS_3	2020-06-17 11:46:00	507.7	17.8489582193331	26.91	101.325	2020-06-17	YM	1-2	WS	MT & DW	3	NA
20200617_1-3-WS_4	2020-06-17 11:57:00	507.7	17.8489582193331	26.91	101.325	2020-06-17	YM	1-3	WS	MT & DW	4	NA
20200617_2-1-WD_6	2020-06-17 12:28:00	507.7	17.8489582193331	26.91	101.325	2020-06-17	YM	2-1	WD	MT & DW	6	NA
20200617_2-2-WD_7	2020-06-17 12:36:00	507.7	17.8489582193331	26.83	101.325	2020-06-17	YM	2-2	WD	MT & DW	7	NA
20200617_2-3-WD_11	2020-06-17 13:55:00	507.7	17.8489582193331	27.54	101.325	2020-06-17	YM	2-3	WD	MT & DW	11	NA
20200617_1-2-WD_13	2020-06-17 14:26:00	507.7	17.8489582193331	27.54	101.325	2020-06-17	YM	1-2	WD	MT & DW	13	NA
