UniqueID,start.time,Area,Vtot,Tcham,Pcham,Date,Plot Tag,Plot Letter,Chamber_ID,File name,Notes,start.time_formatted
2020-06-15_8833_U_3,2020-06-15T13:57:00.000000Z,4666.254593140207,7.629208396988566,21.2,101.325,2020-06-15T00:00:00.000000Z,8833,U,3,3.0,NA,2020-06-15 13:57:00 UTC
2020-06-15_7447_U_1_1,2020-06-15T14:24:00.000000Z,4256.573285144937,6.998913903170991,21.2,101.325,2020-06-15T00:00:00.000000Z,7447,U,1,4.0,NA,2020-06-15 14:24:00 UTC
2020-06-15_8835_U_3,2020-06-15T15:04:00.000000Z,4463.069877356798,7.3583662125140785,20.84,101.325,2020-06-15T00:00:00.000000Z,8835,U,3,6.0,NA,2020-06-15 15:04:00 UTC
2020-06-15_7361_U_1,2020-06-15T15:33:00.000000Z,4047.8388054166257,6.830828772523364,20.23,101.325,2020-06-15T00:00:00.000000Z,7361,U,1,7.0,NA,2020-06-15 15:33:00 UTC
2020-06-15_7397_U_2,2020-06-15T15:53:00.000000Z,4225.430861889927,7.057489106145126,20.23,101.325,2020-06-15T00:00:00.000000Z,7397,U,2,9.0,NA,2020-06-15 15:53:00 UTC
2020-06-15_7447_U_1_2,2020-06-15T16:34:00.000000Z,4256.573285144937,6.998913903170991,17.73,101.325,2020-06-15T00:00:00.000000Z,7447,U,1,13.0,NA,2020-06-15 16:34:00 UTC
2020-06-15_4783_U_3,2020-06-15T17:04:00.000000Z,4470.366247229669,7.348516486591803,17.73,101.325,2020-06-15T00:00:00.000000Z,4783,U,3,15.0,NA,2020-06-15 17:04:00 UTC
2020-06-16_3589_U_3,2020-06-16T10:55:00.000000Z,4624.122833680484,7.593164439274487,23.68,101.325,2020-06-16T00:00:00.000000Z,3589,U,3,2.0,NA,2020-06-16 10:55:00 UTC
2020-06-16_3564_U_3,2020-06-16T11:24:00.000000Z,4676.96723518851,7.653477064336071,23.68,101.325,2020-06-16T00:00:00.000000Z,3564,U,3,5.0,NA,2020-06-16 11:24:00 UTC
2020-06-16_3533_U_2_1,2020-06-16T11:46:00.000000Z,4353.967026062131,7.035347012576577,24.21,101.325,2020-06-16T00:00:00.000000Z,3533,U,2,6.0,NA,2020-06-16 11:46:00 UTC
2020-06-16_3533_U_2_2,2020-06-16T11:56:00.000000Z,4353.967026062131,7.035347012576577,24.21,101.325,2020-06-16T00:00:00.000000Z,3533,U,2,10.0,rerun for leak,2020-06-16 11:56:00 UTC
2020-06-16_1133_U_1,2020-06-16T12:05:00.000000Z,3713.391702129728,6.321467987440662,24.21,101.325,2020-06-16T00:00:00.000000Z,1133,U,1,7.0,NA,2020-06-16 12:05:00 UTC
