"Model","N","N_Predictors","MSE","Var_Explained_Pct"
"v3_roughfix",130,13,0.0664401204247931,49.8839771835541
"v2_roughfix",122,9,0.0591361092521335,46.1691722018826
"v1_roughfix",122,9,0.0614929625291433,36.7285366056901
"v2_missforest",122,8,0.0661763712120808,23.092390007449
"v1_complete",74,9,0.0282538431838427,15.0081176926254
"v2_complete",74,9,0.0279727335284949,14.8984808775742
"v3_missforest",130,13,0.0650956871388879,13.176656790128
"v4_complete",74,13,0.0281884113883758,11.9601460312703
"v4_missforest",130,13,0.0640131244714335,11.326858905303
"v1_missforest",122,8,0.0673013980966297,10.995074122802
"v4_roughfix",130,13,0.0656960130546901,9.85574808721845
"v3_complete",74,13,0.0294939661253463,8.42009915415336
