"Species_Name","n_trees","total_basal_area","mean_dbh"
"Pinus strobus",3297,34.1181525343183,4.65444343342434
"Kalmia latifolia",1898,0.843081731508171,1.96443624868282
"Tsuga canadensis",1253,73.9286621418746,22.992675179569
"Betula lenta",860,8.3398831303254,6.06895348837209
"Acer rubrum",250,14.39707325758,24.7932
"Quercus rubra",120,19.8175214588143,44.385
"Betula alleghaniensis",90,4.00062523274795,21.1783333333333
"Acer saccharum",69,2.75922155773975,20.3768115942029
"Fagus grandifolia",19,0.562860306187762,14.2736842105263
"Quercus velutina",18,2.42186555762482,40.4833333333333
"Quercus alba",17,1.29205694780882,29.8117647058824
"Betula papyrifera",12,0.680902508553744,25.65
"Prunus serotina",11,0.706096510839208,28.2363636363636
"Hamamelis virginiana",10,0.0260524424780568,5.17
"Fraxinus americana",7,0.437257075702752,26.8428571428571
"Acer pensylvanicum",6,0.0201886597901314,4.55
"Vaccinium corymbosum",3,0.000459457925587507,1.36666666666667
"Liriodendron tulipifera",1,0.186272097014809,48.7
"Quercus coccinea",1,0.181710504481797,48.1
