"species","n_trees","month_2","month_4","month_5","month_6","month_7","month_8","month_9","month_10","month_11","month_12"
"",21,0.0174823528786223,0.0166980500123401,0.0326652934838608,0.0272692783910749,0.0598156428109185,0.0422174739654999,0.0278085126654444,0.0249272485054912,0.0278453701402648,0.0144731178791424
"ACPE",6,0.0179145749635998,0.0179827938620188,0.0310237259875699,0.028544073983717,0.0604539701668302,0.0425938210452103,0.0274466345964242,0.0246440844158216,0.0278453701402648,0.0163365047277277
"ACRU",250,0.0196089900873206,0.0191340540073109,0.0343217048264487,0.0292105388739586,0.0651912955000123,0.044268197451464,0.0277502865667035,0.0265960634837492,0.0278528563701034,0.017430915492333
"ACSA",69,0.019327310876955,0.0180037076128904,0.0328445366254443,0.0288473699412203,0.0631764917739974,0.0432296558505792,0.0275433447015138,0.025277099800559,0.0278490688704222,0.0162680504584331
"AMSP",2,0.021730489842597,0.0191307708725739,0.0325612662558957,0.0314059517716675,0.0752545093615216,0.048037416215599,0.0278475041746893,0.0263251298290624,0.0278879055370748,0.0218864455824555
"BEAL",90,0.0217877774814875,0.0225968651432943,0.0374584455266498,0.0317556003234058,0.0691742174866208,0.0451765963901432,0.0276226928975126,0.0288500253155631,0.0278529319885866,0.0211704631247408
"BELE",851,0.0159040452795158,0.0163868511168892,0.0313568734629429,0.0264042221202989,0.0610504509993151,0.044083949368118,0.0280287904767406,0.0244010426734717,0.027847969247943,0.0144447690907604
"BELE ",9,0.0192699918578106,0.0162053187111905,0.0315027002794912,0.0280330945256218,0.0605148185545124,0.0422072796074715,0.0274631085240747,0.0242765610543054,0.0278453701402648,0.0138663399434736
"BEPA",12,0.016696298310588,0.0181948746458351,0.0321585949127525,0.0263244499055591,0.0709471319272288,0.0468975065566596,0.0282156479652901,0.0259993695396374,0.0278808163042731,0.0165897652605425
"FAGR",19,0.0213178197089011,0.0220051137641525,0.0352470973994316,0.0321439696991274,0.0665921830634175,0.0443144703757666,0.0271755969190327,0.0267474651558846,0.0278453701402648,0.0211142055872752
"FRAM",7,0.0231912015149532,0.0208938737707228,0.0355926608268044,0.029848987119417,0.0655081742857359,0.0435315200010825,0.0275862183264332,0.0286543850872451,0.0278453701402648,0.0182588553763967
"HAVI",10,0.0215104993241559,0.0205057265443899,0.0362731454382324,0.0298408226287102,0.064875696022183,0.043175948546598,0.0277620665220282,0.0274927969520353,0.0278453701402648,0.0185048405722934
"KALA",1898,0.0219310739809663,0.0211874706744671,0.035470103111033,0.0309481763806109,0.0677137547925925,0.0443626332192073,0.0274422071825391,0.0274007943184602,0.0278532138646502,0.0195211415901256
"LITU",1,0.0266595712864776,0.0336972841405361,0.0392947322248119,0.036462583160879,0.077279972632004,0.0448802214098475,0.0265926657689102,0.0383589060483109,0.0278453701402648,0.0292148300812547
"PIST",3297,0.0166996452397674,0.016540640110413,0.0318178258822434,0.0269379863652709,0.0602766096670994,0.0429535129942619,0.0278998709679703,0.024630422548272,0.0278477955738712,0.0144229983539096
"PRSE",11,0.0217354125255116,0.0206766913138655,0.0364491753027967,0.029716477153526,0.0644485843330288,0.0431019056048826,0.0274274346520277,0.027311518764208,0.0278453701402648,0.0183220670444213
"QUAL",17,0.0190683786558572,0.0192651324808035,0.0337911390803822,0.0289606023082771,0.0667511718805111,0.0445121253621236,0.0277405398518192,0.0259872566817053,0.0278603826332566,0.0175946271738492
"QUCO",1,0.0198939024019354,0.0159020078730137,0.03226823990689,0.0279850141795287,0.0606217462164351,0.042013949602393,0.0275382071843126,0.0239800866902729,0.0278453701402648,0.0136046542481055
"QURU",120,0.018790515332693,0.0176657118299471,0.0330553689296521,0.0283125653917583,0.062606855647801,0.0432494086741702,0.0277519468450149,0.0255853541683877,0.0278496236799458,0.0158793535650108
"QUVE",18,0.018495070439175,0.0177007788708591,0.031884201785462,0.0283091298249395,0.0612922482681929,0.0441239633737295,0.0275440979993701,0.0243792159394435,0.0278453701402648,0.0158191830386115
"TSCA",1253,0.0199302167228549,0.0197224555263038,0.0347560215610618,0.0296356833930498,0.0649908977880267,0.0439567812273043,0.0276613090970687,0.0268474835388591,0.0278501226985676,0.0179127901618
"VACO",3,0.014035435642595,0.0160633737660027,0.0304281161214624,0.0261534503607073,0.0618391022468724,0.0440761175017004,0.0277823845232269,0.0241145157261435,0.0278453701402648,0.0143362035104757
