"term","estimate","std.error","statistic","p.value","conf.low","conf.high","model","gene","location","effect_magnitude","standardized","significant"
"log_mcra_heart",-0.0152140990809233,0.0215010867955404,-0.707596747345763,0.480841596002016,-0.0578716429005782,0.0274434447387316,"m_conc_all","mcra","Heartwood","Negligible (<0.1)",-0.0554309999834868,FALSE
"log_mcra_sap",-0.0234429582286506,0.0215052352444529,-1.09010470995418,0.278286864823318,-0.0661087324527939,0.0192228159954927,"m_conc_all","mcra","Sapwood","Negligible (<0.1)",-0.085411999111705,FALSE
"log_mmox_heart",-0.053753194289021,0.0429857611291456,-1.2504883681721,0.214039352578731,-0.139035720071303,0.0315293314932607,"m_conc_all","mmox","Heartwood","Negligible (<0.1)",-0.195844216335041,FALSE
"log_mmox_sap",-0.290326956731458,0.104645702516314,-2.77438012025574,0.00660055703978303,-0.497941050059714,-0.0827128634032021,"m_conc_all","mmox","Sapwood","Moderate (0.2-0.5)",-1.05777630658171,TRUE
"log_pmoa_heart",-0.0184892031003932,0.0311173719439407,-0.594176241287417,0.553736088709145,-0.0802251827684755,0.0432467765676891,"m_conc_all","pmoa","Heartwood","Negligible (<0.1)",-0.0673635035043025,FALSE
"log_pmoa_sap",-0.050364288768385,0.0449263564331973,-1.1210410272926,0.264955307736261,-0.139496900362886,0.0387683228261158,"m_conc_all","pmoa","Sapwood","Negligible (<0.1)",-0.183497088788465,FALSE
