"Scale","Model","R2","P_value","Significant"
"Individual","mmoX",0.355881482323692,0.0060596224085988,TRUE
"Individual","pmoA+mmoX",0.308498418996967,0.493004054372586,FALSE
"Individual","mcrA",0.306275705662145,0.716994238824973,FALSE
"Individual","pmoA",0.30598388990106,0.767999021321051,FALSE
"Individual","Ratio",0.305458852733045,0.932203406438064,FALSE
"Species","Ratio",0.513508430246519,0.0197124946651618,TRUE
"Species","mcrA",0.405108639692698,0.0478574472399813,TRUE
"Species","pmoA+mmoX",0.226038662445369,0.164902041732275,FALSE
"Species","mmoX",0.0679203554424883,0.467072617102639,FALSE
"Species","pmoA",0.0385599256459999,0.58663140881623,FALSE
