"family","p","t","FDR"
"Methanobacteriaceae",2.6212248424513e-46,18.9118584319422,6.31715187030762e-44
"Coriobacteriales Incertae Sedis",1.51083156395905e-15,8.59739054611379,1.82055203457065e-13
"Desulfotomaculales Incertae Sedis",7.57544184879005e-13,7.59845671913155,6.08560495186134e-11
"Methanomassiliicoccaceae",1.65084600688277e-12,7.47093582820393,9.9463471914687e-11
"Eggerthellaceae",3.58072576272167e-11,6.95453435115932,1.72590981763184e-09
"Saccharimonadaceae",1.62058151304003e-08,5.83064998859142,6.50933574404411e-07
"Anaerolineaceae",2.03521500164288e-07,5.33064203800202,7.0069545056562e-06
"Pelotomaculaceae",6.5009844017934e-07,5.08727820317054,1.95842155104026e-05
"Christensenellaceae",6.14134970058774e-06,4.59637444054098,0.000164451697537961
"Ethanoligenenaceae",7.31700129673337e-06,4.5564548563585,0.000176339731251274
"Iamiaceae",1.10974815863525e-05,4.4711380378424,0.000243135732937359
"Dysgonomonadaceae",3.21212025370889e-05,4.21079489393713,0.000645100817619868
"Mitochondria",0.000374097786729518,-3.59305806204874,0.00693519743090876
"Anaerofustaceae",0.00283700592468094,2.9882812168785,0.0488370305605791
"Thermacetogeniaceae",0.00318578981771345,2.95195666003061,0.0511850230712628
"[Eubacterium] coprostanoligenes group",0.00555015616373485,2.77190163078375,0.0817182874607432
"Lachnospiraceae",0.00596905441624597,2.75654032661028,0.0817182874607432
"Hungateiclostridiaceae",0.00610344055723393,2.74388887838448,0.0817182874607432
"Syntrophobotulaceae",0.0168081356063108,2.38374705513186,0.213197930585311
"Spirosomaceae",0.0273809057943322,-2.20575016960232,0.329939914821703
"M2PB4-65 termite group",0.0324246502241645,2.12941731762166,0.372111462096364
"JG30-KF-CM45",0.0615072391669081,-1.8587124177112,0.648928925004183
"Sphingomonadaceae",0.0619309762452125,-1.85978211444613,0.648928925004183
"Phaselicystidaceae",0.0682470322496878,1.81314703510076,0.685313948840614
"Gemmataceae",0.0761567756849347,-1.76192613361118,0.733436753772575
"Actinomycetaceae",0.079125956838535,1.74487883167954,0.733436753772575
"Methylacidiphilaceae",0.0953996593296733,-1.65654903380451,0.851530292535232
"Rhizobiaceae",0.102646950616695,-1.62342516938995,0.883496967807983
"Blastocatellaceae",0.108476836307936,-1.59358478044754,0.90147991552457
"Gemmatimonadaceae",0.11767588460617,-1.55912166642208,0.910937305153756
"Chitinophagaceae",0.121271966160778,-1.53911058822953,0.910937305153756
"Propionibacteriaceae",0.132571798363882,1.49620322163491,0.910937305153756
"Pseudonocardiaceae",0.132916621175605,-1.52817927527872,0.910937305153756
"Ilumatobacteraceae",0.133618776084672,-1.50308688765105,0.910937305153756
"Erysipelotrichaceae",0.140901063155844,1.46137499904298,0.910937305153756
"Microscillaceae",0.141201446878996,-1.46279235500788,0.910937305153756
"Pirellulaceae",0.142451175704613,-1.45770135013094,0.910937305153756
"Bryobacteraceae",0.143633268032542,-1.45272103824565,0.910937305153756
"Vicinamibacteraceae",0.153332355404082,-1.41711173244035,0.931516363737096
"WD2101 soil group",0.159682411217334,-1.39487668692923,0.931516363737096
"Xiphinematobacteraceae",0.164471075997647,-1.37962571051227,0.931516363737096
"Rubinisphaeraceae",0.165716698816932,-1.37583312703268,0.931516363737096
"BIrii41",0.174529664750421,-1.36521172741846,0.931516363737096
"Bdellovibrionaceae",0.177427627231379,-1.33939839834497,0.931516363737096
"LWQ8",0.177558939185575,-1.33861690161733,0.931516363737096
"Methanocellaceae",0.177799803866832,1.33655126803899,0.931516363737096
"SM2D12",0.183785264052489,-1.40385012036345,0.94238826886489
"Chthoniobacteraceae",0.193077240436335,-1.29064860255355,0.969408644690765
"Desulfitobacteriaceae",0.207375962526036,-1.25016633842995,0.99101074415572
