"species","species_full","n_trees","mean_flux","median_flux","sd_flux","cv_flux","min_flux","max_flux","q25_flux","q75_flux","iqr_flux"
"BEAL","Betula alleghaniensis",90,0.0334671088717524,0.0329370468631205,0.0043752338076179,13.0732350511184,0.0281763653304376,0.0403171963408921,0.0289687137371755,0.0370985288373963,0.00812981510022073
"TSCA","Tsuga canadensis",1253,0.0313680029263202,0.0291477115646588,0.00412014750567163,13.1348735058122,0.0280332323216484,0.0403543632965735,0.028258733175252,0.0330748240056435,0.00481609083039144
"ACRU","Acer rubrum",250,0.031070214440884,0.029124028531761,0.00374354883177338,12.0486739442886,0.0280395848368232,0.0402659466498861,0.0282822626672123,0.0329370468631205,0.00465478419590818
"ACSA","Acer saccharum",69,0.0300893619905094,0.0289060022712275,0.00293783940427192,9.76371451544422,0.0280332323216484,0.0400380156465146,0.0282862956789942,0.0300975783382022,0.00181128265920801
"QURU","Quercus rubra",120,0.0297411315823521,0.0285781033036368,0.00243557813499655,8.18925846265304,0.0280332323216484,0.0402097894719369,0.0282226019268261,0.0301806638890705,0.00195806196224442
"PIST","Pinus strobus",3297,0.0290068820697353,0.0282862956789942,0.00200146519801664,6.89996668102738,0.0280332323216484,0.0403543632965735,0.0282044763053168,0.0289628214557026,0.000758345150385847
"BELE","Betula lenta",851,0.028997304519586,0.0287046907574089,0.00156989021982405,5.41391776178257,0.0280346027048305,0.0402191618228837,0.0282425261992893,0.0289682994970043,0.00072577329771497
