"species","n_trees","mean_flux","median_flux","sd_flux","mean_dbh_cm","total_basal_area_m2"
"LITU",1,0.077279972632004,0.077279972632004,NA,48.7,0.186272097014809
"BEPA",12,0.0713714706989869,0.0731014852182326,0.0127110107948982,25.65,0.680902508553745
"BEAL",90,0.0704506563017099,0.0732400471745746,0.00947879304743454,21.1783333333333,4.00062523274795
"QUAL",17,0.0692272414488378,0.0680972813173292,0.0103517558006988,29.8117647058824,1.29205694780882
"BELE ",9,0.0686342995438807,0.0680911963288765,0.00942410417608812,2.07777777777778,0.00523467875904399
"HAVI",10,0.0677347417460204,0.0612059113180111,0.0107313573561461,5.17,0.0260524424780568
"KALA",1898,0.0677137547925925,0.0634054269899861,0.00907893897763198,1.96443624868282,0.843081731508171
"ACPE",6,0.0670371411368976,0.0677621386975978,0.00763969823043182,4.55,0.0201886597901314
"FAGR",19,0.0665597642749026,0.0635813308421952,0.00849381022334125,14.2736842105263,0.562860306187762
"ACRU",250,0.0652172654280453,0.060692573016415,0.00892842575270765,24.7932,14.39707325758
"FRAM",7,0.0650905195604369,0.0615848266157226,0.00748433503735667,26.8428571428571,0.437257075702752
"TSCA",1253,0.0650364659484375,0.0606217462164351,0.00840646345968776,22.992675179569,73.9286621418746
"PRSE",11,0.0644485843330288,0.0613800796011825,0.00802598988448111,28.2363636363636,0.706096510839208
"QURU",120,0.0625270539991229,0.0586550035841115,0.0074417641750713,44.385,19.8175214588143
"ACSA",69,0.0623172412865671,0.0603320947496295,0.00592271954763554,20.3768115942029,2.75922155773975
"VACO",3,0.0618391022468724,0.0628889992297945,0.00181847491713439,1.36666666666667,0.000459457925587507
"QUVE",18,0.0612897070834479,0.0585998259060739,0.00656012117896342,40.4833333333333,2.42186555762482
"AMSP",2,0.0612451784991276,0.0612451784991276,0.000781502168293782,3.35,0.00190459054623881
"BELE",851,0.0610930645168627,0.0592921614695241,0.00520421518056245,6.11116333725029,8.33464845156636
"PIST",3297,0.0601808087149934,0.0584173637101966,0.00500752351286235,4.65444343342434,34.1181525343183
"",21,0.0598156428109185,0.0584470569587594,0.00469461317583062,12.5571428571429,0.799360186548165
"QUCO",1,0.058239730886606,0.058239730886606,NA,48.1,0.181710504481797
