"species","n","dbh_mean","log_mcra_heart_mean","log_mcra_sap_mean","log_pmoa_heart_mean","log_pmoa_sap_mean","log_mmox_heart_mean","log_mmox_sap_mean","log_methanotroph_heart_mean","log_methanotroph_sap_mean","log_soil_mcra_mean","log_soil_pmoa_mean","log_soil_mmox_mean","n_mean","CH4_flux_mean"
"Acer rubrum",13,30.3692307692308,3.01632418704347,1.5760682905269,2.87491834886419,3.95767193590327,1.18911214721022,2.80291330806663,2.95838590710586,4.00865587479383,1.78543633230746,4.91964994222207,2.93154528389492,13,0.0853457092174737
"Acer saccharum",7,30.1428571428571,3.46967508148223,2.4075590414858,2.86798098598267,3.02373498607883,2.66380607323605,3.03289335259091,3.11192211984416,3.37419622774786,1.70367329007032,5.18659339353083,3.86000581972555,7,0.20008048635686
"Betula alleghaniensis",12,24.5416666666667,3.74390997193385,2.36229114969891,3.0878674325835,3.18875905350978,2.90239124995807,2.89072343137432,3.37145013380152,3.45259940135239,4.40167961846235,5.10550945511226,3.2872370727089,12,0.457849422097493
"Betula lenta",16,28.28125,3.1380678115215,2.24186613656892,3.93385463768949,3.41713780619072,2.91332988829495,2.98502041303727,3.99987423713355,3.65823236282416,1.51241416859233,5.05433358398709,2.99488689171637,16,0.0114469704019327
"Betula papyrifera",6,31.3,3.54140380127816,1.51596613509507,2.99306083662003,3.56819115661782,3.02776613573758,2.97441781584573,3.38184472420468,3.6982107128211,1.45986119048194,4.89895161004636,2.80948526746307,6,0.0369381809494987
"Fagus grandifolia",13,28.8076923076923,3.37350552116908,1.31427190656258,2.61851379684611,2.67725145265017,3.05657160325748,2.90730659767567,3.23338966891423,3.15715498917082,1.52688139768661,4.84496961473835,2.82165257856291,13,0.0730671942931152
"Fraxinus americana",10,36.8,2.70376037717817,1.86511189937062,2.23391314768806,3.55905152783767,3.13361970799605,2.91457940201201,3.24006821957814,3.70593775845576,1.82566742448489,5.31782606785248,3.88359802303961,10,0.29077791284874
"Pinus strobus",16,46.01875,2.65968756290647,0.913845091475062,2.25095349338207,3.815647941299,2.89190827139405,2.67898989495471,3.26318027705759,3.8830212975501,2.13600623212174,4.69728655970854,3.03569636562868,16,0.0443255981116324
"Quercus rubra",14,38.6,3.06071427151422,1.03204090630984,2.83214186503798,2.62182282226967,2.56239275945435,2.52227823739849,3.16207065305606,2.963918347375,1.48584898919926,4.79191828585957,2.83064591279427,14,0.126618966254021
"Tsuga canadensis",16,36.625,2.69480265946008,1.01322282074459,2.84510834017105,3.4638810281461,2.99416208078652,2.78092080780195,3.25640682755379,3.59323785140173,2.11855275677265,4.83074077420934,3.1818039259902,16,0.0830304265072172
