"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",1.04897275376059,0.350130452350737,2.99594835787033,0.00341374152830523,0.354728745018774,1.7432167625024
"speciesAcer saccharum",0.213782803515113,0.115923024893249,1.84417896023659,0.0679764604489698,-0.0160711408277453,0.443636747857972
"speciesBetula alleghaniensis",0.62331874678156,0.109401725092808,5.69752210262483,1.12029032691943e-07,0.406395335288013,0.840242158275107
"speciesBetula lenta",0.0228295395292955,0.0944670813777072,0.241666612288108,0.809509838061784,-0.164481232297262,0.210140311355853
"speciesBetula papyrifera",0.0599712906527406,0.122495494362982,0.48957956343302,0.625452708420306,-0.182914646541255,0.302857227846736
"speciesCarya ovata",0.396619656234075,0.246379622382384,1.60979082766235,0.110445981710264,-0.0919056221775729,0.885144934645722
"speciesFagus grandifolia",0.0817225042415443,0.0982730144763495,0.831586419496797,0.407529606804725,-0.113134729864043,0.276579738347132
"speciesFraxinus americana",0.280519098759807,0.111387208662994,2.51841393753323,0.0132972700653997,0.0596588401174256,0.501379357402188
"speciesPinus strobus",-0.0212129409397259,0.0895350576584599,-0.236923295684297,0.813177915264096,-0.19874442080504,0.156318538925589
"speciesPrunus serotina",-0.0897047878264579,0.179586814556761,-0.49950653697967,0.618467653944477,-0.445792266701803,0.266382691048887
"speciesQuercus alba",-0.396645869448681,0.278489606925105,-1.42427530358557,0.157332016959134,-0.948839315652957,0.155547576755596
"speciesQuercus rubra",0.0200127139637575,0.0928544197174255,0.215527855590075,0.829773901957543,-0.16410044769133,0.204125875618845
"speciesQuercus velutina",-0.0310154769132456,0.247920128429505,-0.12510269783143,0.900681454750484,-0.522595294244497,0.460564340418006
"speciesSassafras albidum",-0.0592350466240708,0.244938353641108,-0.241836550885224,0.809378500226661,-0.544902555361873,0.426432462113731
"speciesTsuga canadensis",0.0552731202344291,0.090301607510897,0.612094532511607,0.541798424828364,-0.123778286386423,0.234324526855281
"log_tree_mmox",-0.355952105896053,0.127063790100138,-2.80136540564019,0.0060596224085988,-0.607896129652894,-0.104008082139211
