"species","n_trees","cor_pmoa","cor_mmox","cor_mcra"
"Fraxinus americana",9,-0.35439294034064,-0.719261383574186,-0.256332010094006
"Betula alleghaniensis",8,-0.397305549143495,-0.450267144771487,-0.399041028487004
"Pinus strobus",15,-0.0624675775513364,-0.284301503503966,0.19686814536131
"Acer saccharum",7,-0.355017794698359,-0.23860539689898,-0.594186773845968
"Quercus rubra",13,0.701245332246225,-0.234673917903392,0.82749439014654
"Betula papyrifera",6,0.337355068833467,-0.195426253192428,-0.385322398806126
"Tsuga canadensis",16,0.089077332001243,0.139840684919635,0.375088216043358
"Fagus grandifolia",13,-0.0294142932811907,-0.130596964395211,-0.129629253348134
"Acer rubrum",13,0.356913240763394,-0.0902652217191782,0.496614392645613
"Betula lenta",16,0.0955175458094907,-0.0105428896475596,-0.0484862581702746
