"Model","Variable","%IncMSE","IncNodePurity"
"v1_roughfix","species",19.25879300869,2.39044704748334
"v1_roughfix","dbh",3.15271806783602,0.804922260487268
"v1_roughfix","log_tree_mcra",5.82942098559584,1.28164482599198
"v1_roughfix","log_tree_pmoa",3.73710217296659,0.66271693395865
"v1_roughfix","log_tree_mmox",4.23698838942574,0.769404732885316
"v1_roughfix","methanotroph_sum",8.67235923301797,0.968625097647496
"v1_roughfix","log_soil_mcra",2.06788425548041,0.221858710489852
"v1_roughfix","log_soil_pmoa",0.461190089892041,0.383350022648032
"v1_roughfix","log_soil_mmox",1.58587855099007,0.340893195374799
"v1_missforest","species",13.9087064382675,2.09720167618825
"v1_missforest","dbh",4.53500692461389,0.822337632186038
"v1_missforest","log_tree_mcra",4.95278843148522,1.30360204063787
"v1_missforest","log_tree_pmoa",3.8835907287624,0.742225899388251
"v1_missforest","log_tree_mmox",4.77291784955356,0.794670053197072
"v1_missforest","log_soil_mcra",4.81175741775184,0.798288604208344
"v1_missforest","log_soil_pmoa",3.70204620378874,0.683757820991048
"v1_missforest","log_soil_mmox",4.71113196324558,0.643875368823361
"v1_complete","species",16.4156828251329,0.569076209183108
"v1_complete","dbh",4.63050294196764,0.0996671191587727
"v1_complete","log_tree_mcra",2.45670638322473,0.177140089820239
"v1_complete","log_tree_pmoa",6.77542261500408,0.196527613088798
"v1_complete","log_tree_mmox",3.43199287486504,0.0895124937496034
"v1_complete","methanotroph_sum",6.21991720177621,0.426505765354865
"v1_complete","log_soil_mcra",4.85255863399756,0.251586581593162
"v1_complete","log_soil_pmoa",2.6264987347147,0.210312551450457
"v1_complete","log_soil_mmox",0.531245102035749,0.110461798240979
"v2_roughfix","species",20.9089911577487,2.80654262027109
"v2_roughfix","dbh_norm",0.401094774923314,0.54548688462547
"v2_roughfix","log_tree_mcra",3.49487271221014,1.31092241241897
"v2_roughfix","log_tree_pmoa",4.65640697856043,0.735177661460115
"v2_roughfix","log_tree_mmox",4.62783890652714,0.769738356929749
"v2_roughfix","methanotroph_sum",7.32403019273603,0.910204043858285
"v2_roughfix","log_soil_mcra",1.60367590611493,0.293750000954514
"v2_roughfix","log_soil_pmoa",0.449721190319319,0.407881297759473
"v2_roughfix","log_soil_mmox",1.06463865588676,0.292560583094912
"v2_missforest","species",15.6260399059753,2.40664819846539
"v2_missforest","dbh_norm",0.987254272573273,0.606536693244563
"v2_missforest","log_tree_mcra",2.80656064369426,1.15656288581694
"v2_missforest","log_tree_pmoa",1.70013142213233,0.721976461457075
"v2_missforest","log_tree_mmox",4.69188435654434,0.729179537878044
"v2_missforest","log_soil_mcra",4.69510491723599,0.742667149764262
"v2_missforest","log_soil_pmoa",4.10690759579384,0.741619105710496
"v2_missforest","log_soil_mmox",2.14431115159032,0.689840272078085
"v2_complete","species",16.2184923127558,0.493080604199086
"v2_complete","dbh_norm",4.59182389744349,0.220581673589514
"v2_complete","log_tree_mcra",3.58851909444465,0.169937922338969
"v2_complete","log_tree_pmoa",5.11308218208551,0.176675987488112
"v2_complete","log_tree_mmox",0.312837449029793,0.0736622897301681
"v2_complete","methanotroph_sum",4.70029505041896,0.422285845971462
"v2_complete","log_soil_mcra",5.05113583381568,0.270356428014042
"v2_complete","log_soil_pmoa",1.81656460804811,0.217742204330417
"v2_complete","log_soil_mmox",2.15871905220568,0.108080291093577
"v3_roughfix","species",14.5140076535641,1.66114456404653
"v3_roughfix","dbh",1.72679601993001,0.422591720914543
"v3_roughfix","log_mcra_heart",7.04010618784302,1.22214585797283
"v3_roughfix","log_mcra_sap",4.64753761968089,0.539251787040707
"v3_roughfix","log_pmoa_heart",2.77802578915511,0.442472345498976
"v3_roughfix","log_pmoa_sap",3.3523685470875,0.63231961739149
"v3_roughfix","log_mmox_heart",1.32468058883172,0.355934968392473
"v3_roughfix","log_mmox_sap",3.21919232058964,0.616054276429087
"v3_roughfix","log_methanotroph_heart",3.18593937527743,0.374647689940872
"v3_roughfix","log_methanotroph_sap",5.35128815508382,0.838077474021615
"v3_roughfix","log_soil_mcra",3.52803181646479,0.277600688749359
"v3_roughfix","log_soil_pmoa",0.474352596190326,0.28198905067293
"v3_roughfix","log_soil_mmox",-1.47542785252641,0.20459124891192
"v3_missforest","species",15.1033219167347,1.83111261955804
"v3_missforest","dbh",1.44682119298147,0.385642885413391
"v3_missforest","log_mcra_heart",7.08381126970568,1.27810980381314
"v3_missforest","log_mcra_sap",4.89094778713696,0.561950638721464
"v3_missforest","log_pmoa_heart",3.24115953035804,0.410639833174885
"v3_missforest","log_pmoa_sap",2.90377870120407,0.518374847280188
"v3_missforest","log_mmox_heart",1.30398416690707,0.304449667592567
"v3_missforest","log_mmox_sap",4.09708087323814,0.4908456626586
"v3_missforest","log_methanotroph_heart",3.51950591107888,0.342916323755145
"v3_missforest","log_methanotroph_sap",5.56134138463651,0.794013879675389
"v3_missforest","log_soil_mcra",4.98903279270806,0.618352074518419
"v3_missforest","log_soil_pmoa",0.655023804599981,0.343847678784561
"v3_missforest","log_soil_mmox",1.88185834015932,0.346451681475463
"v3_complete","species",13.5006675463091,0.486137873970314
"v3_complete","dbh",3.30148732094598,0.0678897227175537
"v3_complete","log_mcra_heart",-1.60494706260535,0.184341632673552
"v3_complete","log_mcra_sap",2.57921941647846,0.0570783363598854
"v3_complete","log_pmoa_heart",1.95235808995045,0.0672396470275347
"v3_complete","log_pmoa_sap",2.61829016740648,0.210015281541976
"v3_complete","log_mmox_heart",-0.37136561148876,0.0642088731807035
