"Scale","Model","R2","P_value","Significant"
"Individual","mmoX",0.355881482323692,0.0060596224085988,TRUE
"Individual","pmoA+mmoX",0.311928555621981,0.425835536251462,FALSE
"Individual","mcrA",0.308775995552183,0.692446327929924,FALSE
"Individual","pmoA",0.308564407808814,0.72424006162306,FALSE
"Individual","Ratio",0.307780075904068,0.938298147639962,FALSE
"Species","Ratio",0.513453228237967,0.0197221977695771,TRUE
"Species","mcrA",0.39383436411367,0.0520835739755784,FALSE
"Species","pmoA",0.253658810625441,0.137773515536989,FALSE
"Species","pmoA+mmoX",0.230044417254207,0.160681294936761,FALSE
"Species","mmoX",0.0391206661763218,0.583868104361351,FALSE
