"size_class","n","mean_dbh","cor_pmoa","cor_mmox","cor_mcra"
"Small",35,23.5314285714286,-0.223565525575802,-0.125531161617307,-0.163911446568031
"Medium",27,29.8037037037037,0.116535607735279,-0.0745705179772747,0.234108817404765
"Large",30,35.34,-0.110411190389753,-0.059539190196277,-0.05836382506111
"Very Large",30,49.06,0.113915644907595,-0.117056657000207,0.577856856200986
