Quadrat,Subquadrat,Quadrat (x),Quadrat (y),Subquad (x),Subquad (y),Tag ID,Species (4 char),Diam (mm),Codes 1,Codes 2,Date,Names,Entered by,X coord,Y coord,,PX2 (rotated 10 degrees),PY2 (rotated 10 degrees),,original bearing,second bearing,lat 1,lon 1,distance,,lat 2,lon 2,,Latitude,Longitude
0505,a,1,1,1,1,1,TSCA,370,,,7/16/18,Kitty Kan,,,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,0.73285,-1.25892,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!
0505,a,1,1,1,2,2,TSCA,82,,,7/16/18,Kitty Kan,,,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,0.73285,-1.25892,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!
0505,a,1,1,1,2,3,TSCA,102,,,7/16/18,Kitty Kan,,,,,,,,,,,,,,,,,,
0505,a,1,1,1,2,4,TSCA,276,,,7/16/18,Kitty Kan,,,,,,,,,,,,,,,,,,
0505,a,1,1,1,2,5,TSCA,89,,,7/16/18,Kitty Kan,,,,,,,,,,,,,,,,,,
0505,a,1,1,1,2,6,PIST,2720,,,7/16/18,Kitty Kan,,,,,,,,,,,,,,,,,,
0505,b,1,1,1,4,12,BELE,13,,,7/16/18,Kitty Kan,,,,,,,,,,,,,,,,,,
0505,a,1,1,2,1,9,TSCA,159,,,7/16/18,Kitty Kan,,,,,,,,,,,,,,,,,,
0505,a,1,1,2,1,10,TSCA,188,,,7/16/18,Kitty Kan,,,,,,,,,,,,,,,,,,
0505,a,1,1,2,1,11,BEAL,268,,,7/16/18,Kitty Kan,,,,,,,,,,,,,,,,,,
0505,a,1,1,2,2,7,TSCA,,M,,7/16/18,Kitty Kan,,,,,,,,,,,,,,,,,,
0505,a,1,1,2,2,8,TSCA,242,,,7/16/18,Kitty Kan,,,,,,,,,,,,,,,,,,
0505,b,1,1,2,4,13,BELE,34,,,7/16/18,Kitty Kan,,,,,,,,,,,,,,,,,,
0505,b,1,1,2,4,14,PIST,18,,,7/16/18,Kitty Kan,,,,,,,,,,,,,,,,,,
0505,b,1,1,2,4,15,PIST,18,,,7/16/18,Kitty Kan,,,,,,,,,,,,,,,,,,
0505,b,1,1,2,4,16,PIST,17,,,7/16/18,Kitty Kan,,,,,,,,,,,,,,,,,,
0505,b,1,1,2,4,17,PIST,12,,,7/16/18,Kitty Kan,,,,,,,,,,,,,,,,,,
0505,b,1,1,2,4,18,TSCA,16,,,7/16/18,Kitty Kan,,,,,,,,,,,,,,,,,,
0505,b,1,1,2,4,19,BELE,12,,,7/16/18,Kitty Kan,,,,,,,,,,,,,,,,,,
0505,b,1,1,2,4,20,TSCA,13,,,7/16/18,Kitty Kan,,,,,,,,,,,,,,,,,,
0505,b,1,1,2,4,21,PIST,12,,,7/16/18,Kitty Kan,,,,,,,,,,,,,,,,,,
0505,b,1,1,2,4,22,PIST,13,,,7/16/18,Kitty Kan,,,,,,,,,,,,,,,,,,
0505,b,1,1,2,4,23,PIST,11,,,7/16/18,Kitty Kan,,,,,,,,,,,,,,,,,,
0505,b,1,1,2,4,24,PIST,15,,,7/16/18,Kitty Kan,,,,,,,,,,,,,,,,,,
0505,c,1,1,3,4,25,BELE,10,,,7/16/18,Kitty Kan,,,,,,,,,,,,,,,,,,
0505,c,1,1,3,4,26,BELE,12,,,7/16/18,Kitty Kan,,,,,,,,,,,,,,,,,,
0505,c,1,1,3,4,27,PIST,17,,,7/16/18,Kitty Kan,,,,,,,,,,,,,,,,,,
0505,c,1,1,3,4,28,PIST,10,,,7/16/18,Kitty Kan,,,,,,,,,,,,,,,,,,
0505,d,1,1,4,2,32,TSCA,594,,,7/16/18,Kitty Kan,,,,,,,,,,,,,,,,,,
0505,d,1,1,4,2,33,TSCA,527,,,7/16/18,Kitty Kan,,,,,,,,,,,,,,,,,,
0505,c,1,1,4,3,30,TSCA,399,,,7/16/18,Kitty Kan,,,,,,,,,,,,,,,,,,
0505,c,1,1,4,3,31,TSCA,385,,,7/16/18,Kitty Kan,,,,,,,,,,,,,,,,,,
0505,c,1,1,4,4,29,TSCA,500,,,7/16/18,Kitty Kan,,,,,,,,,,,,,,,,,,
0605,a,1,2,1,1,34,TSCA,466,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,a,1,2,1,2,35,TSCA,170,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,a,1,2,1,2,36,PIST,574,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,b,1,2,1,3,43,PIST,474,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,b,1,2,1,4,44,TSCA,107,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,2,1,37,PIST,13,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,2,1,38,PIST,11,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,2,1,39,BELE ,13,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,2,1,40,PIST,14,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,2,1,41,PIST,16,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,2,1,42,PIST,25,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,2,3,48,ACRU,107,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,2,3,49,PIST,507,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,2,4,45,PIST,698,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,2,4,46,TSCA,10,P,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,2,4,47,TSCA,29,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,3,1,61,PIST,12,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,3,1,62,PIST,11,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,3,1,63,PIST,10,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,3,1,64,PIST,14,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,3,1,65,PIST,14,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,3,1,66,BELE ,13,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,3,1,67,BELE ,30,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,3,1,68,PIST,19,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,3,1,69,PIST,18,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,3,1,70,PIST,12,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,3,1,71,PIST,13,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,3,1,72,PIST,16,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,3,1,73,PIST,20,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,3,1,74,BELE ,13,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,3,1,75,PIST,11,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,3,1,76,PIST,13,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,3,1,77,PIST,16,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,3,1,78,BELE ,14,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,3,1,79,PIST,12,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,3,1,80,PIST,19,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,3,1,81,PIST,10,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,3,1,82,PIST,10,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,3,1,83,BELE ,11,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,3,1,84,PIST,10,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,3,1,85,PIST,12,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,3,1,86,BELE ,14,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,3,1,87,BELE ,11,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,3,2,54,TSCA,203,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,4,1,57,TSCA,266,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,4,1,58,TSCA,186,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,4,1,59,TSCA,381,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,4,1,60,QURU,311,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,4,2,55,TSCA,506,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
0605,,1,2,4,2,56,TSCA,147,,,7/17/18,Kitty K,Danielle L.,,,,,,,,,,,,,,,,,
