"compartment","taxon_subset","gene_metric","rho","p","sig","abundance_type"
"Sapwood","All methanotrophs","% pmoA",0.388152197273023,3.04013425224815e-05,"***","Estimated absolute abundance"
"Sapwood","Known only","pmoA",0.295112836227657,0.00183797058338059,"**","Estimated absolute abundance"
"Sapwood","Known only","mmoX",-0.0636591237057696,0.510778521982841,"","Estimated absolute abundance"
"Sapwood","Known only","pmoA + mmoX",0.27577977154962,0.0037015060712706,"**","Estimated absolute abundance"
"Sapwood","Known only","% pmoA",0.257955216912005,0.00676747888204883,"**","Estimated absolute abundance"
"Sapwood","Putative only","pmoA",0.202565761816917,0.0346505595522891,"*","Estimated absolute abundance"
"Sapwood","Putative only","mmoX",-0.00264137009563426,0.978253293533728,"","Estimated absolute abundance"
"Sapwood","Putative only","pmoA + mmoX",0.142293627130149,0.139948323184923,"","Estimated absolute abundance"
"Sapwood","Putative only","% pmoA",0.228902762371209,0.0166592917877826,"*","Estimated absolute abundance"
"Sapwood","Methylococcaceae","pmoA",NA,NA,"","Estimated absolute abundance"
"Sapwood","Methylococcaceae","mmoX",NA,NA,"","Estimated absolute abundance"
"Sapwood","Methylococcaceae","pmoA + mmoX",NA,NA,"","Estimated absolute abundance"
"Sapwood","Methylococcaceae","% pmoA",NA,NA,"","Estimated absolute abundance"
"Sapwood","Methylomonadaceae","pmoA",NA,NA,"","Estimated absolute abundance"
"Sapwood","Methylomonadaceae","mmoX",NA,NA,"","Estimated absolute abundance"
"Sapwood","Methylomonadaceae","pmoA + mmoX",NA,NA,"","Estimated absolute abundance"
"Sapwood","Methylomonadaceae","% pmoA",NA,NA,"","Estimated absolute abundance"
"Sapwood","Methylothermaceae","pmoA",NA,NA,"","Estimated absolute abundance"
"Sapwood","Methylothermaceae","mmoX",NA,NA,"","Estimated absolute abundance"
"Sapwood","Methylothermaceae","pmoA + mmoX",NA,NA,"","Estimated absolute abundance"
"Sapwood","Methylothermaceae","% pmoA",NA,NA,"","Estimated absolute abundance"
"Sapwood","Methylacidiphilaceae","pmoA",0.246402096971236,0.0098000121405097,"**","Estimated absolute abundance"
"Sapwood","Methylacidiphilaceae","mmoX",-0.0978612010390065,0.311368695763002,"","Estimated absolute abundance"
"Sapwood","Methylacidiphilaceae","pmoA + mmoX",0.221486939705294,0.0206371483301543,"*","Estimated absolute abundance"
"Sapwood","Methylacidiphilaceae","% pmoA",0.226790848183877,0.0177181480337835,"*","Estimated absolute abundance"
"Sapwood","Methylocystaceae","pmoA",NA,NA,"","Estimated absolute abundance"
"Sapwood","Methylocystaceae","mmoX",NA,NA,"","Estimated absolute abundance"
"Sapwood","Methylocystaceae","pmoA + mmoX",NA,NA,"","Estimated absolute abundance"
"Sapwood","Methylocystaceae","% pmoA",NA,NA,"","Estimated absolute abundance"
"Sapwood","Beijerinckiaceae","pmoA",0.205537902396397,0.0320259125691234,"*","Estimated absolute abundance"
"Sapwood","Beijerinckiaceae","mmoX",-0.00405073998332296,0.96665529099429,"","Estimated absolute abundance"
"Sapwood","Beijerinckiaceae","pmoA + mmoX",0.145620507069114,0.130823877441716,"","Estimated absolute abundance"
"Sapwood","Beijerinckiaceae","% pmoA",0.232191292109149,0.0151195836285517,"*","Estimated absolute abundance"
"Sapwood","Type I Gamma","pmoA",NA,NA,"","Estimated absolute abundance"
"Sapwood","Type I Gamma","mmoX",NA,NA,"","Estimated absolute abundance"
"Sapwood","Type I Gamma","pmoA + mmoX",NA,NA,"","Estimated absolute abundance"
"Sapwood","Type I Gamma","% pmoA",NA,NA,"","Estimated absolute abundance"
"Sapwood","Type II Alpha","pmoA",0.205537902396397,0.0320259125691234,"*","Estimated absolute abundance"
"Sapwood","Type II Alpha","mmoX",-0.00405073998332296,0.96665529099429,"","Estimated absolute abundance"
"Sapwood","Type II Alpha","pmoA + mmoX",0.145620507069114,0.130823877441716,"","Estimated absolute abundance"
"Sapwood","Type II Alpha","% pmoA",0.232191292109149,0.0151195836285517,"*","Estimated absolute abundance"
"Sapwood","pMMO expected","pmoA",0.246402096971236,0.0098000121405097,"**","Estimated absolute abundance"
"Sapwood","pMMO expected","mmoX",-0.0978612010390065,0.311368695763002,"","Estimated absolute abundance"
"Sapwood","pMMO expected","pmoA + mmoX",0.221486939705294,0.0206371483301543,"*","Estimated absolute abundance"
"Sapwood","pMMO expected","% pmoA",0.226790848183877,0.0177181480337835,"*","Estimated absolute abundance"
"Sapwood","sMMO only  Methylocella Methyloferula ","pmoA",0.181675065145775,0.0586721989356623,"","Estimated absolute abundance"
"Sapwood","sMMO only  Methylocella Methyloferula ","mmoX",0.228274463315017,0.01696842470605,"*","Estimated absolute abundance"
"Sapwood","sMMO only  Methylocella Methyloferula ","pmoA + mmoX",0.199853951244765,0.0372011076284765,"*","Estimated absolute abundance"
"Sapwood","sMMO only  Methylocella Methyloferula ","% pmoA",0.0955885090651117,0.32279324926043,"","Estimated absolute abundance"
"Mineral Soil","All methanotrophs","pmoA",-0.029510242011585,0.752121135153324,"","Estimated absolute abundance"
"Mineral Soil","All methanotrophs","mmoX",-0.221984351673598,0.0161529941745569,"*","Estimated absolute abundance"
"Mineral Soil","All methanotrophs","pmoA + mmoX",-0.0399105921373893,0.669208640962528,"","Estimated absolute abundance"
"Mineral Soil","All methanotrophs","% pmoA",0.636983871686275,1.16020090333443e-14,"***","Estimated absolute abundance"
"Mineral Soil","Known only","pmoA",-0.0557047177751861,0.550819301573424,"","Estimated absolute abundance"
"Mineral Soil","Known only","mmoX",-0.252702052807579,0.0059812873323173,"**","Estimated absolute abundance"
"Mineral Soil","Known only","pmoA + mmoX",-0.0660167847573331,0.479450976475267,"","Estimated absolute abundance"
"Mineral Soil","Known only","% pmoA",0.652428156162223,1.59717581164892e-15,"***","Estimated absolute abundance"
"Mineral Soil","Putative only","pmoA",-0.122239255356241,0.189198719119272,"","Estimated absolute abundance"
"Mineral Soil","Putative only","mmoX",-0.168475514386098,0.069404456684245,"","Estimated absolute abundance"
"Mineral Soil","Putative only","pmoA + mmoX",-0.128290212236166,0.168056606128004,"","Estimated absolute abundance"
"Mineral Soil","Putative only","% pmoA",0.351158162663203,0.00010362180550215,"***","Estimated absolute abundance"
"Mineral Soil","Methylococcaceae","pmoA",NA,NA,"","Estimated absolute abundance"
"Mineral Soil","Methylococcaceae","mmoX",NA,NA,"","Estimated absolute abundance"
"Mineral Soil","Methylococcaceae","pmoA + mmoX",NA,NA,"","Estimated absolute abundance"
"Mineral Soil","Methylococcaceae","% pmoA",NA,NA,"","Estimated absolute abundance"
"Mineral Soil","Methylomonadaceae","pmoA",0.099406302167962,0.286268705885698,"","Estimated absolute abundance"
"Mineral Soil","Methylomonadaceae","mmoX",0.165713658025628,0.0741657983963898,"","Estimated absolute abundance"
"Mineral Soil","Methylomonadaceae","pmoA + mmoX",0.100979836200903,0.278671530596448,"","Estimated absolute abundance"
"Mineral Soil","Methylomonadaceae","% pmoA",-0.12077899920669,0.194578822073679,"","Estimated absolute abundance"
"Mineral Soil","Methylothermaceae","pmoA",NA,NA,"","Estimated absolute abundance"
"Mineral Soil","Methylothermaceae","mmoX",NA,NA,"","Estimated absolute abundance"
"Mineral Soil","Methylothermaceae","pmoA + mmoX",NA,NA,"","Estimated absolute abundance"
"Mineral Soil","Methylothermaceae","% pmoA",NA,NA,"","Estimated absolute abundance"
"Mineral Soil","Methylacidiphilaceae","pmoA",-0.0307578770866064,0.742002130910547,"","Estimated absolute abundance"
"Mineral Soil","Methylacidiphilaceae","mmoX",-0.0779033076127342,0.403787731640682,"","Estimated absolute abundance"
"Mineral Soil","Methylacidiphilaceae","pmoA + mmoX",-0.0332667334822284,0.721788212946214,"","Estimated absolute abundance"
"Mineral Soil","Methylacidiphilaceae","% pmoA",0.239695281642066,0.00924321974133719,"**","Estimated absolute abundance"
"Mineral Soil","Methylocystaceae","pmoA",NA,NA,"","Estimated absolute abundance"
"Mineral Soil","Methylocystaceae","mmoX",NA,NA,"","Estimated absolute abundance"
"Mineral Soil","Methylocystaceae","pmoA + mmoX",NA,NA,"","Estimated absolute abundance"
"Mineral Soil","Methylocystaceae","% pmoA",NA,NA,"","Estimated absolute abundance"
"Mineral Soil","Beijerinckiaceae","pmoA",-0.0839018772060261,0.368449867278468,"","Estimated absolute abundance"
"Mineral Soil","Beijerinckiaceae","mmoX",-0.304058751187185,0.00085957375487903,"***","Estimated absolute abundance"
"Mineral Soil","Beijerinckiaceae","pmoA + mmoX",-0.0956671816841259,0.304870806874202,"","Estimated absolute abundance"
"Mineral Soil","Beijerinckiaceae","% pmoA",0.658757636436103,6.85240980905389e-16,"***","Estimated absolute abundance"
"Mineral Soil","Type I Gamma","pmoA",0.099406302167962,0.286268705885698,"","Estimated absolute abundance"
"Mineral Soil","Type I Gamma","mmoX",0.165713658025628,0.0741657983963898,"","Estimated absolute abundance"
"Mineral Soil","Type I Gamma","pmoA + mmoX",0.100979836200903,0.278671530596448,"","Estimated absolute abundance"
"Mineral Soil","Type I Gamma","% pmoA",-0.12077899920669,0.194578822073679,"","Estimated absolute abundance"
"Mineral Soil","Type II Alpha","pmoA",-0.0839018772060261,0.368449867278468,"","Estimated absolute abundance"
"Mineral Soil","Type II Alpha","mmoX",-0.304058751187185,0.00085957375487903,"***","Estimated absolute abundance"
