"compartment","taxon_subset","gene_metric","rho","p","sig"
"Organic Soil","Methylacidiphilaceae","% pmoA",0.492367087310513,1.289047668703e-08,"***"
"Organic Soil","Methylocystaceae","pmoA",NA,NA,""
"Organic Soil","Methylocystaceae","mmoX",NA,NA,""
"Organic Soil","Methylocystaceae","pmoA + mmoX",NA,NA,""
"Organic Soil","Methylocystaceae","% pmoA",NA,NA,""
"Organic Soil","Beijerinckiaceae","pmoA",0.007191346952364,0.938129311101271,""
"Organic Soil","Beijerinckiaceae","mmoX",-0.278891744476668,0.00213044155381544,"**"
"Organic Soil","Beijerinckiaceae","pmoA + mmoX",0.00228478060440477,0.980325392550299,""
"Organic Soil","Beijerinckiaceae","% pmoA",0.370248696943792,3.40427768837329e-05,"***"
"Organic Soil","Type I Gamma","pmoA",-3.19829490465325e-05,0.999724562212191,""
"Organic Soil","Type I Gamma","mmoX",0.114243093994214,0.21603309867001,""
"Organic Soil","Type I Gamma","pmoA + mmoX",-3.19829490465325e-05,0.999724562212191,""
"Organic Soil","Type I Gamma","% pmoA",-0.107494691745396,0.244575469096056,""
"Organic Soil","Type II Alpha","pmoA",0.007191346952364,0.938129311101271,""
"Organic Soil","Type II Alpha","mmoX",-0.278891744476668,0.00213044155381544,"**"
"Organic Soil","Type II Alpha","pmoA + mmoX",0.00228478060440477,0.980325392550299,""
"Organic Soil","Type II Alpha","% pmoA",0.370248696943792,3.40427768837329e-05,"***"
"Organic Soil","pMMO expected","pmoA",-0.33550522786827,0.000191470692327294,"***"
"Organic Soil","pMMO expected","mmoX",-0.490855453124464,1.44982934843741e-08,"***"
"Organic Soil","pMMO expected","pmoA + mmoX",-0.345407149351248,0.000119436051270171,"***"
"Organic Soil","pMMO expected","% pmoA",0.488506691647968,1.73838398785452e-08,"***"
"Organic Soil","sMMO only  Methylocella Methyloferula ","pmoA",NA,NA,""
"Organic Soil","sMMO only  Methylocella Methyloferula ","mmoX",NA,NA,""
"Organic Soil","sMMO only  Methylocella Methyloferula ","pmoA + mmoX",NA,NA,""
"Organic Soil","sMMO only  Methylocella Methyloferula ","% pmoA",NA,NA,""
