"family","p","t","FDR","mean_pct"
"Acidobacteriaceae (Subgroup 1)",0.000231539992374257,3.72168209422572,0.0203755193289346,0.0212887285449116
"WD2101 soil group",0.0125637797825164,2.48810991751327,0.355638430893624,0.006782576296153
"Solibacteraceae",0.0150094723287219,2.43317460077567,0.355638430893624,0.00479692678739756
"Bryobacteraceae",0.0195863053301054,2.32632037847914,0.355638430893624,0.0122493095791282
"A4b",0.0207083315179681,-2.45351752186354,0.355638430893624,0.00101833011500636
"Polyangiaceae",0.026447444819675,2.21409866007994,0.355638430893624,0.00421818284648353
"Tepidisphaeraceae",0.0331658177156971,2.1249962268782,0.355638430893624,0.000630541509255363
"Chthoniobacteraceae",0.0347569714849432,2.11368409532831,0.355638430893624,0.00746268944113979
"Caulobacteraceae",0.0400427313511002,2.04724449439867,0.355638430893624,0.0104965506712092
"Burkholderiaceae",0.0404134580560936,-2.03723346323567,0.355638430893624,0.147197574283618
"Pseudonocardiaceae",0.051119843564292,-1.94485918678943,0.408958748514336,0.0152316554796903
"Pectobacteriaceae",0.0562786290713354,1.89968762869667,0.412709946523126,0.0441669047642213
"Acetobacteraceae",0.0628284825718886,1.84960727035322,0.425300497409707,0.0822412381031224
"67-14",0.0734714443779436,-1.77492714278804,0.461820507518502,0.00889554263415721
"Isosphaeraceae",0.0897079086943608,1.68348026596015,0.479903109338188,0.0306974621450818
"Enterobacteriaceae",0.090955168261406,-1.72481493012139,0.479903109338188,0.00880989270382741
"Sphingobacteriaceae",0.0927085552130591,1.66884696096877,0.479903109338188,0.00531919917816059
"Beijerinckiaceae",0.104106784656889,1.61097485858652,0.508966502767014,0.0388494559678359
"Vicinamibacteraceae",0.129583033392827,-1.50179276733573,0.572837152299941,0.0011460530557066
"Methanomassiliicoccaceae",0.13019026188635,-1.51017326407781,0.572837152299941,0.00800245241837923
"Fimbriimonadaceae",0.165850913345814,1.38197422624694,0.662755746325005,0.00110697262005018
"JG30-KF-CM45",0.194724149399817,-1.28553506031582,0.662755746325005,0.00356691411893819
"Chitinophagaceae",0.203801074686675,1.26389241323262,0.662755746325005,0.00937269724384327
"Phaselicystidaceae",0.211943341649177,1.23582920557567,0.662755746325005,0.00070421524398039
"SM2D12",0.214937509476422,1.22632149884506,0.662755746325005,0.000412524582819528
"Chthonomonadaceae",0.235355375468984,1.17423501734163,0.662755746325005,0.00277609649862737
