"family","p","t","FDR","mean_pct"
"Methanobacteriaceae",8.23791816464545e-05,3.98905227435324,0.007249367984888,0.0247226374245105
"Eggerthellaceae",0.00322215775167242,2.94935232142744,0.141774941073587,0.00274574337110969
"Mycobacteriaceae",0.00795051535878867,-2.64988787289268,0.233215117191134,0.00751881106551107
"Syntrophomonadaceae",0.011430191003063,2.52283560860494,0.251464202067385,0.00221189134572096
"Sporomusaceae",0.0402756888692504,2.03835489792731,0.568383844716138,0.00889627551603922
"Dysgonomonadaceae",0.0445690642009003,1.99497123285764,0.568383844716138,0.00227430262704172
"Christensenellaceae",0.0531755503421961,1.91904194621993,0.568383844716138,0.00155758527140711
"Pedosphaeraceae",0.0535319947367252,-1.91733376040084,0.568383844716138,0.00042583202413507
"Chthonomonadaceae",0.075521068339552,1.81605436071393,0.568383844716138,0.00277609649862737
"WD2101 soil group",0.0788529733481152,-1.74359721002485,0.568383844716138,0.006782576296153
"Gemmataceae",0.0811254140920947,-1.73039463341662,0.568383844716138,0.00773704817290604
"Caulobacteraceae",0.0833251799443409,-1.71710088529247,0.568383844716138,0.0104965506712092
"Intrasporangiaceae",0.0891376511957633,1.73810805676285,0.568383844716138,0.00147607740090216
"Anaerovoracaceae",0.107753978477314,1.59460147545636,0.568383844716138,0.00501313864357696
"Sedimentibacteraceae",0.109255367010448,1.58778983004923,0.568383844716138,0.00786989785554785
"Beijerinckiaceae",0.11752775390742,-1.55154386687167,0.568383844716138,0.0388494559678359
"Propionibacteriaceae",0.121420109731406,1.53518697434048,0.568383844716138,0.0105966725185952
"Chitinophagaceae",0.124747181371837,1.55845083412032,0.568383844716138,0.00937269724384327
"Parachlamydiaceae",0.139950330556231,-1.4629627730934,0.568383844716138,0.000935100943647177
"Spirosomaceae",0.146601162309102,1.44542551393613,0.568383844716138,0.00434034279974896
"67-14",0.147387437448061,-1.43717833026916,0.568383844716138,0.00889554263415721
"Bryobacteraceae",0.162388246208287,-1.3839959138676,0.568383844716138,0.0122493095791282
"Reyranellaceae",0.17190557171141,1.37126681796319,0.568383844716138,0.000824539437305248
"Acetobacteraceae",0.173678666646314,-1.3475818236289,0.568383844716138,0.0822412381031224
"Abditibacteriaceae",0.176899891241063,1.35111468715824,0.568383844716138,0.000558858595309022
"Xanthomonadaceae",0.189560043809979,-1.30349442553445,0.568383844716138,0.00179200039467603
"Chthoniobacteraceae",0.194943318644413,-1.28358534051763,0.568383844716138,0.00746268944113979
"Xanthobacteraceae",0.209835541032894,1.26441668073123,0.568383844716138,0.014164008528989
"Polyangiaceae",0.213151696100737,-1.2327912199989,0.568383844716138,0.00421818284648353
"Sphingomonadaceae",0.213726476177915,-1.23054477854506,0.568383844716138,0.0172419158129215
"Tepidisphaeraceae",0.216977666732241,-1.22252640568579,0.568383844716138,0.000630541509255363
"A4b",0.220107961328966,-1.21298784202785,0.568383844716138,0.00101833011500636
"Solirubrobacteraceae",0.228049590749726,-1.19354391955996,0.568383844716138,0.0328106049677788
"Vicinamibacteraceae",0.228096657911218,-1.19757869606746,0.568383844716138,0.0011460530557066
"Bdellovibrionaceae",0.234846395335082,-1.17625234744535,0.568383844716138,0.000842580097041202
"Micrococcaceae",0.237797092785459,-1.16885727017269,0.568383844716138,0.00146847039664674
"Hungateiclostridiaceae",0.238979571073831,-1.16591215068912,0.568383844716138,0.00169370765971219
"BIrii41",0.247352312964096,-1.14528965098042,0.569255442949652,0.00139153473074482
"Unknown Family",0.252283662216323,1.14634276064251,0.569255442949652,0.0033832794682721
"JG30-KF-CM45",0.305039470003175,-1.01741032925312,0.663902352086836,0.00356691411893819
"SM2D12",0.319229498925332,-0.984344167319258,0.663902352086836,0.000412524582819528
"Pectobacteriaceae",0.330871712251214,-0.961601907513988,0.663902352086836,0.0441669047642213
"Pirellulaceae",0.333584157454185,-0.957262619294994,0.663902352086836,0.000932482660041098
"Micropepsaceae",0.343076475190565,0.981756516659461,0.663902352086836,0.00203727897059929
"Lachnospiraceae",0.345143765112886,0.932202540373829,0.663902352086836,0.0485829260475685
"Streptococcaceae",0.347039865863573,-0.92916353991947,0.663902352086836,0.00537561204965854
"Ilumatobacteraceae",0.368796691024388,-0.891578910319092,0.680919449458178,0.00235128583445776
"Oscillospiraceae",0.378429936450411,-0.869872626937421,0.680919449458178,0.00811140330293775
"Ruminococcaceae",0.37914832981194,0.870297645779548,0.680919449458178,0.0155637664225284
"Cellulomonadaceae",0.406737786416325,-0.85060147513373,0.69279000521607,0.0475204586306165
"Burkholderiaceae",0.407302131217637,0.820800940784451,0.69279000521607,0.147197574283618
"Phaselicystidaceae",0.41071958866972,-0.814859500031131,0.69279000521607,0.00070421524398039
"Comamonadaceae",0.422322809220478,-0.793792691077237,0.69279000521607,0.0146235763854175
"Rhizobiaceae",0.425121139564407,-0.78742530188277,0.69279000521607,0.00824008803220533
"Haliangiaceae",0.447875139797456,0.758372709373348,0.716600223675929,0.0025326264984603
"Acidothermaceae",0.456776220526614,-0.734498572173128,0.717791203684679,0.0231159589845936
"Pseudonocardiaceae",0.47471992059156,0.708385514097172,0.720853258478534,0.0152316554796903
"Rhodobacteraceae",0.475455923553021,0.704317041284895,0.720853258478534,0.000997528594921266
"Acidobacteriaceae (Subgroup 1)",0.483299343752654,-0.695008990172435,0.720853258478534,0.0212887285449116
"Staphylococcaceae",0.492739556395721,-0.676967284716944,0.721372733566087,0.00238760610236568
"Microbacteriaceae",0.500042463040129,-0.668918018203912,0.721372733566087,0.00736506129108373
