"pathway","p","t","FDR","description","gene","compartment"
"PWY-5654",NA,NA,NA,"2-amino-3-carboxymuconate semialdehyde degradation to 2-oxopentenoate","pmoA","Sapwood"
"PWY-5659",NA,NA,NA,"GDP-mannose biosynthesis","pmoA","Sapwood"
"PWY-5667",NA,NA,NA,"CDP-diacylglycerol biosynthesis I","pmoA","Sapwood"
"PWY-5676",NA,NA,NA,"acetyl-CoA fermentation to butanoate II","pmoA","Sapwood"
"PWY-5686",NA,NA,NA,"UMP biosynthesis","pmoA","Sapwood"
"PWY-5695",NA,NA,NA,"urate biosynthesis/inosine 5'-phosphate degradation","pmoA","Sapwood"
"PWY-5705",NA,NA,NA,"allantoin degradation to glyoxylate III","pmoA","Sapwood"
"PWY-5741",NA,NA,NA,"ethylmalonyl-CoA pathway","pmoA","Sapwood"
"PWY-5747",NA,NA,NA,"2-methylcitrate cycle II","pmoA","Sapwood"
"PWY-5837",NA,NA,NA,"1,4-dihydroxy-2-naphthoate biosynthesis I","pmoA","Sapwood"
"PWY-5838",NA,NA,NA,"superpathway of menaquinol-8 biosynthesis I","pmoA","Sapwood"
"PWY-5840",NA,NA,NA,"superpathway of menaquinol-7 biosynthesis","pmoA","Sapwood"
"PWY-5845",NA,NA,NA,"superpathway of menaquinol-9 biosynthesis","pmoA","Sapwood"
"PWY-5850",NA,NA,NA,"superpathway of menaquinol-6 biosynthesis I","pmoA","Sapwood"
"PWY-5855",NA,NA,NA,"ubiquinol-7 biosynthesis (prokaryotic)","pmoA","Sapwood"
"PWY-5856",NA,NA,NA,"ubiquinol-9 biosynthesis (prokaryotic)","pmoA","Sapwood"
"PWY-5857",NA,NA,NA,"ubiquinol-10 biosynthesis (prokaryotic)","pmoA","Sapwood"
"PWY-5860",NA,NA,NA,"superpathway of demethylmenaquinol-6 biosynthesis I","pmoA","Sapwood"
"PWY-5861",NA,NA,NA,"superpathway of demethylmenaquinol-8 biosynthesis","pmoA","Sapwood"
"PWY-5862",NA,NA,NA,"superpathway of demethylmenaquinol-9 biosynthesis","pmoA","Sapwood"
"PWY-5863",NA,NA,NA,"superpathway of phylloquinol biosynthesis","pmoA","Sapwood"
"PWY-5896",NA,NA,NA,"superpathway of menaquinol-10 biosynthesis","pmoA","Sapwood"
"PWY-5897",NA,NA,NA,"superpathway of menaquinol-11 biosynthesis","pmoA","Sapwood"
"PWY-5898",NA,NA,NA,"superpathway of menaquinol-12 biosynthesis","pmoA","Sapwood"
"PWY-5899",NA,NA,NA,"superpathway of menaquinol-13 biosynthesis","pmoA","Sapwood"
"PWY-5910",NA,NA,NA,"superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)","pmoA","Sapwood"
"PWY-5913",NA,NA,NA,"TCA cycle VI (obligate autotrophs)","pmoA","Sapwood"
"PWY-5918",NA,NA,NA,"superpathay of heme biosynthesis from glutamate","pmoA","Sapwood"
"PWY-5920",NA,NA,NA,"superpathway of heme biosynthesis from glycine","pmoA","Sapwood"
"PWY-5941",NA,NA,NA,"glycogen degradation II (eukaryotic)","pmoA","Sapwood"
"PWY-5971",NA,NA,NA,"palmitate biosynthesis II (bacteria and plants)","pmoA","Sapwood"
"PWY-5973",NA,NA,NA,"cis-vaccenate biosynthesis","pmoA","Sapwood"
"PWY-5989",NA,NA,NA,"stearate biosynthesis II (bacteria and plants)","pmoA","Sapwood"
"PWY-6071",NA,NA,NA,"superpathway of phenylethylamine degradation","pmoA","Sapwood"
"PWY-6121",NA,NA,NA,"5-aminoimidazole ribonucleotide biosynthesis I","pmoA","Sapwood"
"PWY-6122",NA,NA,NA,"5-aminoimidazole ribonucleotide biosynthesis II","pmoA","Sapwood"
"PWY-6123",NA,NA,NA,"inosine-5'-phosphate biosynthesis I","pmoA","Sapwood"
"PWY-6125",NA,NA,NA,"superpathway of guanosine nucleotides de novo biosynthesis II","pmoA","Sapwood"
"PWY-6126",NA,NA,NA,"superpathway of adenosine nucleotides de novo biosynthesis II","pmoA","Sapwood"
"PWY-6147",NA,NA,NA,"6-hydroxymethyl-dihydropterin diphosphate biosynthesis I","pmoA","Sapwood"
"PWY-6151",NA,NA,NA,"S-adenosyl-L-methionine cycle I","pmoA","Sapwood"
"PWY-6163",NA,NA,NA,"chorismate biosynthesis from 3-dehydroquinate","pmoA","Sapwood"
"PWY-6182",NA,NA,NA,"superpathway of salicylate degradation","pmoA","Sapwood"
"PWY-6185",NA,NA,NA,"4-methylcatechol degradation (ortho cleavage)","pmoA","Sapwood"
"PWY-621",NA,NA,NA,"sucrose degradation III (sucrose invertase)","pmoA","Sapwood"
"PWY-6263",NA,NA,NA,"superpathway of menaquinol-8 biosynthesis II","pmoA","Sapwood"
"PWY-6269",NA,NA,NA,"adenosylcobalamin salvage from cobinamide II","pmoA","Sapwood"
"PWY-6277",NA,NA,NA,"superpathway of 5-aminoimidazole ribonucleotide biosynthesis","pmoA","Sapwood"
"PWY-6282",NA,NA,NA,"palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)","pmoA","Sapwood"
"PWY-6317",NA,NA,NA,"galactose degradation I (Leloir pathway)","pmoA","Sapwood"
"PWY-6353",NA,NA,NA,"purine nucleotides degradation II (aerobic)","pmoA","Sapwood"
"PWY-6383",NA,NA,NA,"mono-trans, poly-cis decaprenyl phosphate biosynthesis","pmoA","Sapwood"
"PWY-6385",NA,NA,NA,"peptidoglycan biosynthesis III (mycobacteria)","pmoA","Sapwood"
"PWY-6386",NA,NA,NA,"UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)","pmoA","Sapwood"
"PWY-6387",NA,NA,NA,"UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)","pmoA","Sapwood"
"PWY-6396",NA,NA,NA,"superpathway of 2,3-butanediol biosynthesis","pmoA","Sapwood"
"PWY-6397",NA,NA,NA,"mycolyl-arabinogalactan-peptidoglycan complex biosynthesis","pmoA","Sapwood"
"PWY-6467",NA,NA,NA,"Kdo transfer to lipid IVA III (Chlamydia)","pmoA","Sapwood"
"PWY-6470",NA,NA,NA,"peptidoglycan biosynthesis V (&beta;-lactam resistance)","pmoA","Sapwood"
"PWY-6471",NA,NA,NA,"peptidoglycan biosynthesis IV (Enterococcus faecium)","pmoA","Sapwood"
"PWY-6478",NA,NA,NA,"GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis","pmoA","Sapwood"
"PWY-6507",NA,NA,NA,"4-deoxy-L-threo-hex-4-enopyranuronate degradation","pmoA","Sapwood"
"PWY-6519",NA,NA,NA,"8-amino-7-oxononanoate biosynthesis I","pmoA","Sapwood"
"PWY-6545",NA,NA,NA,"pyrimidine deoxyribonucleotides de novo biosynthesis III","pmoA","Sapwood"
"PWY-6562",NA,NA,NA,"norspermidine biosynthesis","pmoA","Sapwood"
"PWY-6588",NA,NA,NA,"pyruvate fermentation to acetone","pmoA","Sapwood"
"PWY-6608",NA,NA,NA,"guanosine nucleotides degradation III","pmoA","Sapwood"
"PWY-6609",NA,NA,NA,"adenine and adenosine salvage III","pmoA","Sapwood"
"PWY-6612",NA,NA,NA,"superpathway of tetrahydrofolate biosynthesis","pmoA","Sapwood"
"PWY-6628",NA,NA,NA,"superpathway of L-phenylalanine biosynthesis","pmoA","Sapwood"
"PWY-6629",NA,NA,NA,"superpathway of L-tryptophan biosynthesis","pmoA","Sapwood"
"PWY-6630",NA,NA,NA,"superpathway of L-tyrosine biosynthesis","pmoA","Sapwood"
"PWY-6641",NA,NA,NA,"superpathway of sulfolactate degradation","pmoA","Sapwood"
"PWY-6660",NA,NA,NA,"2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis","pmoA","Sapwood"
"PWY-6662",NA,NA,NA,"superpathway of quinolone and alkylquinolone biosynthesis","pmoA","Sapwood"
"PWY-6690",NA,NA,NA,"cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate","pmoA","Sapwood"
"PWY-6700",NA,NA,NA,"queuosine biosynthesis","pmoA","Sapwood"
"PWY-6703",NA,NA,NA,"preQ0 biosynthesis","pmoA","Sapwood"
"PWY-6708",NA,NA,NA,"ubiquinol-8 biosynthesis (prokaryotic)","pmoA","Sapwood"
"PWY-6713",NA,NA,NA,"L-rhamnose degradation II","pmoA","Sapwood"
"PWY-6728",NA,NA,NA,"methylaspartate cycle","pmoA","Sapwood"
"PWY-6737",NA,NA,NA,"starch degradation V","pmoA","Sapwood"
"PWY-6876",NA,NA,NA,"isopropanol biosynthesis","pmoA","Sapwood"
"PWY-6891",NA,NA,NA,"thiazole biosynthesis II (Bacillus)","pmoA","Sapwood"
"PWY-6892",NA,NA,NA,"thiazole biosynthesis I (E. coli)","pmoA","Sapwood"
"PWY-6895",NA,NA,NA,"superpathway of thiamin diphosphate biosynthesis II","pmoA","Sapwood"
"PWY-6897",NA,NA,NA,"thiamin salvage II","pmoA","Sapwood"
"PWY-6901",NA,NA,NA,"superpathway of glucose and xylose degradation","pmoA","Sapwood"
"PWY-6944",NA,NA,NA,"androstenedione degradation","pmoA","Sapwood"
"PWY-6969",NA,NA,NA,"TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)","pmoA","Sapwood"
"PWY-7003",NA,NA,NA,"glycerol degradation to butanol","pmoA","Sapwood"
"PWY-7007",NA,NA,NA,"methyl ketone biosynthesis","pmoA","Sapwood"
"PWY-7090",NA,NA,NA,"UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis","pmoA","Sapwood"
"PWY-7094",NA,NA,NA,"fatty acid salvage","pmoA","Sapwood"
"PWY-7111",NA,NA,NA,"pyruvate fermentation to isobutanol (engineered)","pmoA","Sapwood"
"PWY-7159",NA,NA,NA,"chlorophyllide a biosynthesis III (aerobic, light independent)","pmoA","Sapwood"
"PWY-7184",NA,NA,NA,"pyrimidine deoxyribonucleotides de novo biosynthesis I","pmoA","Sapwood"
"PWY-7187",NA,NA,NA,"pyrimidine deoxyribonucleotides de novo biosynthesis II","pmoA","Sapwood"
"PWY-7196",NA,NA,NA,"superpathway of pyrimidine ribonucleosides salvage","pmoA","Sapwood"
"PWY-7197",NA,NA,NA,"pyrimidine deoxyribonucleotide phosphorylation","pmoA","Sapwood"
"PWY-7199",NA,NA,NA,"pyrimidine deoxyribonucleosides salvage","pmoA","Sapwood"
"PWY-7200",NA,NA,NA,"superpathway of pyrimidine deoxyribonucleoside salvage","pmoA","Sapwood"
"PWY-7208",NA,NA,NA,"superpathway of pyrimidine nucleobases salvage","pmoA","Sapwood"
"PWY-7211",NA,NA,NA,"superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis","pmoA","Sapwood"
"PWY-7219",NA,NA,NA,"adenosine ribonucleotides de novo biosynthesis","pmoA","Sapwood"
"PWY-7220",NA,NA,NA,"adenosine deoxyribonucleotides de novo biosynthesis II","pmoA","Sapwood"
"PWY-7221",NA,NA,NA,"guanosine ribonucleotides de novo biosynthesis","pmoA","Sapwood"
"PWY-7222",NA,NA,NA,"guanosine deoxyribonucleotides de novo biosynthesis II","pmoA","Sapwood"
"PWY-7228",NA,NA,NA,"superpathway of guanosine nucleotides de novo biosynthesis I","pmoA","Sapwood"
"PWY-7229",NA,NA,NA,"superpathway of adenosine nucleotides de novo biosynthesis I","pmoA","Sapwood"
"PWY-7234",NA,NA,NA,"inosine-5'-phosphate biosynthesis III","pmoA","Sapwood"
"PWY-7237",NA,NA,NA,"myo-, chiro- and scillo-inositol degradation","pmoA","Sapwood"
"PWY-7242",NA,NA,NA,"D-fructuronate degradation","pmoA","Sapwood"
"PWY-7254",NA,NA,NA,"TCA cycle VII (acetate-producers)","pmoA","Sapwood"
"PWY-7255",NA,NA,NA,"ergothioneine biosynthesis I (bacteria)","pmoA","Sapwood"
"PWY-7295",NA,NA,NA,"L-arabinose degradation IV","pmoA","Sapwood"
"PWY-7315",NA,NA,NA,"dTDP-N-acetylthomosamine biosynthesis","pmoA","Sapwood"
"PWY-7323",NA,NA,NA,"superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis","pmoA","Sapwood"
"PWY-7328",NA,NA,NA,"superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis","pmoA","Sapwood"
"PWY-7332",NA,NA,NA,"superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis","pmoA","Sapwood"
"PWY-7347",NA,NA,NA,"sucrose biosynthesis III","pmoA","Sapwood"
"PWY-7371",NA,NA,NA,"1,4-dihydroxy-6-naphthoate biosynthesis II","pmoA","Sapwood"
"PWY-7374",NA,NA,NA,"1,4-dihydroxy-6-naphthoate biosynthesis I","pmoA","Sapwood"
"PWY-7376",NA,NA,NA,"cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)","pmoA","Sapwood"
"PWY-7392",NA,NA,NA,"taxadiene biosynthesis (engineered)","pmoA","Sapwood"
"PWY-7400",NA,NA,NA,"L-arginine biosynthesis IV (archaebacteria)","pmoA","Sapwood"
"PWY-7431",NA,NA,NA,"aromatic biogenic amine degradation (bacteria)","pmoA","Sapwood"
"PWY-7446",NA,NA,NA,"sulfoglycolysis","pmoA","Sapwood"
"PWY-7539",NA,NA,NA,"6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)","pmoA","Sapwood"
"PWY-7560",NA,NA,NA,"methylerythritol phosphate pathway II","pmoA","Sapwood"
"PWY-7616",NA,NA,NA,"methanol oxidation to carbon dioxide","pmoA","Sapwood"
"PWY-7663",NA,NA,NA,"gondoate biosynthesis (anaerobic)","pmoA","Sapwood"
"PWY-7664",NA,NA,NA,"oleate biosynthesis IV (anaerobic)","pmoA","Sapwood"
"PWY-841",NA,NA,NA,"superpathway of purine nucleotides de novo biosynthesis I","pmoA","Sapwood"
"PWY-922",NA,NA,NA,"mevalonate pathway I","pmoA","Sapwood"
"PWY0-1061",NA,NA,NA,"superpathway of L-alanine biosynthesis","pmoA","Sapwood"
"PWY0-1241",NA,NA,NA,"ADP-L-glycero-&beta;-D-manno-heptose biosynthesis","pmoA","Sapwood"
"PWY0-1261",NA,NA,NA,"anhydromuropeptides recycling","pmoA","Sapwood"
"PWY0-1277",NA,NA,NA,"3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation","pmoA","Sapwood"
"PWY0-1296",NA,NA,NA,"purine ribonucleosides degradation","pmoA","Sapwood"
"PWY0-1297",NA,NA,NA,"superpathway of purine deoxyribonucleosides degradation","pmoA","Sapwood"
"PWY0-1298",NA,NA,NA,"superpathway of pyrimidine deoxyribonucleosides degradation","pmoA","Sapwood"
"PWY0-1319",NA,NA,NA,"CDP-diacylglycerol biosynthesis II","pmoA","Sapwood"
"PWY0-1338",NA,NA,NA,"polymyxin resistance","pmoA","Sapwood"
"PWY0-1415",NA,NA,NA,"superpathway of heme biosynthesis from uroporphyrinogen-III","pmoA","Sapwood"
"PWY0-1479",NA,NA,NA,"tRNA processing","pmoA","Sapwood"
"PWY0-1533",NA,NA,NA,"methylphosphonate degradation I","pmoA","Sapwood"
"PWY0-1586",NA,NA,NA,"peptidoglycan maturation (meso-diaminopimelate containing)","pmoA","Sapwood"
"PWY0-162",NA,NA,NA,"superpathway of pyrimidine ribonucleotides de novo biosynthesis","pmoA","Sapwood"
"PWY0-166",NA,NA,NA,"superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)","pmoA","Sapwood"
"PWY0-321",NA,NA,NA,"phenylacetate degradation I (aerobic)","pmoA","Sapwood"
"PWY0-41",NA,NA,NA,"allantoin degradation IV (anaerobic)","pmoA","Sapwood"
"PWY0-42",NA,NA,NA,"2-methylcitrate cycle I","pmoA","Sapwood"
"PWY0-781",NA,NA,NA,"aspartate superpathway","pmoA","Sapwood"
"PWY0-845",NA,NA,NA,"superpathway of pyridoxal 5'-phosphate biosynthesis and salvage","pmoA","Sapwood"
"PWY0-862",NA,NA,NA,"(5Z)-dodec-5-enoate biosynthesis","pmoA","Sapwood"
"PWY1G-0",NA,NA,NA,"mycothiol biosynthesis","pmoA","Sapwood"
"PWY490-3",NA,NA,NA,"nitrate reduction VI (assimilatory)","pmoA","Sapwood"
"PWY4FS-7",NA,NA,NA,"phosphatidylglycerol biosynthesis I (plastidic)","pmoA","Sapwood"
"PWY4FS-8",NA,NA,NA,"phosphatidylglycerol biosynthesis II (non-plastidic)","pmoA","Sapwood"
"PWYG-321",NA,NA,NA,"mycolate biosynthesis","pmoA","Sapwood"
"PYRIDNUCSAL-PWY",NA,NA,NA,"NAD salvage pathway I","pmoA","Sapwood"
"PYRIDNUCSYN-PWY",NA,NA,NA,"NAD biosynthesis I (from aspartate)","pmoA","Sapwood"
"PYRIDOXSYN-PWY",NA,NA,NA,"pyridoxal 5'-phosphate biosynthesis I","pmoA","Sapwood"
"REDCITCYC",NA,NA,NA,"TCA cycle VIII (helicobacter)","pmoA","Sapwood"
"RHAMCAT-PWY",NA,NA,NA,"L-rhamnose degradation I","pmoA","Sapwood"
"RIBOSYN2-PWY",NA,NA,NA,"flavin biosynthesis I (bacteria and plants)","pmoA","Sapwood"
"RUMP-PWY",NA,NA,NA,"formaldehyde oxidation I","pmoA","Sapwood"
"SALVADEHYPOX-PWY",NA,NA,NA,"adenosine nucleotides degradation II","pmoA","Sapwood"
"SER-GLYSYN-PWY",NA,NA,NA,"superpathway of L-serine and glycine biosynthesis I","pmoA","Sapwood"
"SO4ASSIM-PWY",NA,NA,NA,"sulfate reduction I (assimilatory)","pmoA","Sapwood"
"SUCSYN-PWY",NA,NA,NA,"sucrose biosynthesis I (from photosynthesis)","pmoA","Sapwood"
"SULFATE-CYS-PWY",NA,NA,NA,"superpathway of sulfate assimilation and cysteine biosynthesis","pmoA","Sapwood"
"TCA",NA,NA,NA,"TCA cycle I (prokaryotic)","pmoA","Sapwood"
"TCA-GLYOX-BYPASS",NA,NA,NA,"superpathway of glyoxylate bypass and TCA","pmoA","Sapwood"
"TEICHOICACID-PWY",NA,NA,NA,"teichoic acid (poly-glycerol) biosynthesis","pmoA","Sapwood"
"THISYN-PWY",NA,NA,NA,"superpathway of thiamin diphosphate biosynthesis I","pmoA","Sapwood"
"THRESYN-PWY",NA,NA,NA,"superpathway of L-threonine biosynthesis","pmoA","Sapwood"
"TRNA-CHARGING-PWY",NA,NA,NA,"tRNA charging","pmoA","Sapwood"
"TRPSYN-PWY",NA,NA,NA,"L-tryptophan biosynthesis","pmoA","Sapwood"
"TYRFUMCAT-PWY",NA,NA,NA,"L-tyrosine degradation I","pmoA","Sapwood"
"UBISYN-PWY",NA,NA,NA,"superpathway of ubiquinol-8 biosynthesis (prokaryotic)","pmoA","Sapwood"
"UDPNAGSYN-PWY",NA,NA,NA,"UDP-N-acetyl-D-glucosamine biosynthesis I","pmoA","Sapwood"
"VALSYN-PWY",NA,NA,NA,"L-valine biosynthesis","pmoA","Sapwood"
"GALLATE-DEGRADATION-II-PWY",NA,NA,NA,"gallate degradation I","pmoA","Sapwood"
"PWY-1422",NA,NA,NA,"vitamin E biosynthesis (tocopherols)","pmoA","Sapwood"
"PWY-2941",NA,NA,NA,"L-lysine biosynthesis II","pmoA","Sapwood"
"PWY-5198",NA,NA,NA,"factor 420 biosynthesis","pmoA","Sapwood"
"PWY-6338",NA,NA,NA,"superpathway of vanillin and vanillate degradation","pmoA","Sapwood"
"PWY-6906",NA,NA,NA,"chitin derivatives degradation","pmoA","Sapwood"
"PWY-6992",NA,NA,NA,"1,5-anhydrofructose degradation","pmoA","Sapwood"
"PWY-7097",NA,NA,NA,"vanillin and vanillate degradation I","pmoA","Sapwood"
"PWY-7098",NA,NA,NA,"vanillin and vanillate degradation II","pmoA","Sapwood"
"PWY-722",NA,NA,NA,"nicotinate degradation I","pmoA","Sapwood"
"CENTFERM-PWY",NA,NA,NA,"pyruvate fermentation to butanoate","pmoA","Sapwood"
"CODH-PWY",NA,NA,NA,"reductive acetyl coenzyme A pathway","pmoA","Sapwood"
"METH-ACETATE-PWY",NA,NA,NA,"methanogenesis from acetate","pmoA","Sapwood"
"METHANOGENESIS-PWY",NA,NA,NA,"methanogenesis from H2 and CO2","pmoA","Sapwood"
"P162-PWY",NA,NA,NA,"L-glutamate degradation V (via hydroxyglutarate)","pmoA","Sapwood"
"P241-PWY",NA,NA,NA,"coenzyme B biosynthesis","pmoA","Sapwood"
"P381-PWY",NA,NA,NA,"adenosylcobalamin biosynthesis II (late cobalt incorporation)","pmoA","Sapwood"
"PWY-5177",NA,NA,NA,"glutaryl-CoA degradation","pmoA","Sapwood"
"PWY-5507",NA,NA,NA,"adenosylcobalamin biosynthesis I (early cobalt insertion)","pmoA","Sapwood"
"PWY-5647",NA,NA,NA,"2-nitrobenzoate degradation I","pmoA","Sapwood"
"PWY-5655",NA,NA,NA,"L-tryptophan degradation IX","pmoA","Sapwood"
"PWY-5677",NA,NA,NA,"succinate fermentation to butanoate","pmoA","Sapwood"
"PWY-6107",NA,NA,NA,"chlorosalicylate degradation","pmoA","Sapwood"
"PWY-6141",NA,NA,NA,"archaetidylserine and archaetidylethanolamine biosynthesis","pmoA","Sapwood"
"PWY-6148",NA,NA,NA,"tetrahydromethanopterin biosynthesis","pmoA","Sapwood"
"PWY-6165",NA,NA,NA,"chorismate biosynthesis II (archaea)","pmoA","Sapwood"
"PWY-6167",NA,NA,NA,"flavin biosynthesis II (archaea)","pmoA","Sapwood"
"PWY-6174",NA,NA,NA,"mevalonate pathway II (archaea)","pmoA","Sapwood"
"PWY-6210",NA,NA,NA,"2-aminophenol degradation","pmoA","Sapwood"
"PWY-6349",NA,NA,NA,"CDP-archaeol biosynthesis","pmoA","Sapwood"
"PWY-6350",NA,NA,NA,"archaetidylinositol biosynthesis","pmoA","Sapwood"
"PWY-6505",NA,NA,NA,"L-tryptophan degradation XII (Geobacillus)","pmoA","Sapwood"
"PWY-6590",NA,NA,NA,"superpathway of Clostridium acetobutylicum acidogenic fermentation","pmoA","Sapwood"
"PWY-6654",NA,NA,NA,"phosphopantothenate biosynthesis III","pmoA","Sapwood"
"PWY-6749",NA,NA,NA,"CMP-legionaminate biosynthesis I","pmoA","Sapwood"
"PWY-7013",NA,NA,NA,"L-1,2-propanediol degradation","pmoA","Sapwood"
"PWY-7198",NA,NA,NA,"pyrimidine deoxyribonucleotides de novo biosynthesis IV","pmoA","Sapwood"
"PWY-7210",NA,NA,NA,"pyrimidine deoxyribonucleotides biosynthesis from CTP","pmoA","Sapwood"
"PWY-7286",NA,NA,NA,"7-(3-amino-3-carboxypropyl)-wyosine biosynthesis","pmoA","Sapwood"
"PWY-7377",NA,NA,NA,"cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)","pmoA","Sapwood"
"PWY-7391",NA,NA,NA,"isoprene biosynthesis II (engineered)","pmoA","Sapwood"
"PWY-7456",NA,NA,NA,"mannan degradation","pmoA","Sapwood"
"THREOCAT-PWY",NA,NA,NA,"superpathway of L-threonine metabolism","pmoA","Sapwood"
"VALDEG-PWY",NA,NA,NA,"L-valine degradation I","pmoA","Sapwood"
"LIPASYN-PWY",NA,NA,NA,"phospholipases","pmoA","Sapwood"
"PWY-1361",NA,NA,NA,"benzoyl-CoA degradation I (aerobic)","pmoA","Sapwood"
"PWY-1541",NA,NA,NA,"superpathway of taurine degradation","pmoA","Sapwood"
"PWY-2221",NA,NA,NA,"Entner-Doudoroff pathway III (semi-phosphorylative)","pmoA","Sapwood"
"PWY-5183",NA,NA,NA,"superpathway of aerobic toluene degradation","pmoA","Sapwood"
"PWY-5656",NA,NA,NA,"mannosylglycerate biosynthesis I","pmoA","Sapwood"
"PWY-6339",NA,NA,NA,"syringate degradation","pmoA","Sapwood"
"PWY-6404",NA,NA,NA,"superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis","pmoA","Sapwood"
"PWY-6731",NA,NA,NA,"starch degradation III","pmoA","Sapwood"
"PWY-6948",NA,NA,NA,"sitosterol degradation to androstenedione","pmoA","Sapwood"
"PWY-6957",NA,NA,NA,"mandelate degradation to acetyl-CoA","pmoA","Sapwood"
"PWY-7084",NA,NA,NA,"nitrifier denitrification","pmoA","Sapwood"
"PWY-4361",NA,NA,NA,"S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation","pmoA","Sapwood"
"PWY-7527",NA,NA,NA,"L-methionine salvage cycle III","pmoA","Sapwood"
"PWY-622",NA,NA,NA,"starch biosynthesis","pmoA","Sapwood"
"PWY-5265",NA,NA,NA,"peptidoglycan biosynthesis II (staphylococci)","pmoA","Sapwood"
"PWY-5743",NA,NA,NA,"3-hydroxypropanoate cycle","pmoA","Sapwood"
"PWY-5744",NA,NA,NA,"glyoxylate assimilation","pmoA","Sapwood"
"PWY-7024",NA,NA,NA,"superpathway of the 3-hydroxypropanoate cycle","pmoA","Sapwood"
"PWY-3941",NA,NA,NA,"&beta;-alanine biosynthesis II","pmoA","Sapwood"
"PWY-6572",NA,NA,NA,"chondroitin sulfate degradation I (bacterial)","pmoA","Sapwood"
"1CMET2-PWY",NA,NA,NA,"N10-formyl-tetrahydrofolate biosynthesis","mmoX","Sapwood"
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY",NA,NA,NA,"4-hydroxyphenylacetate degradation","mmoX","Sapwood"
"AEROBACTINSYN-PWY",NA,NA,NA,"aerobactin biosynthesis","mmoX","Sapwood"
"ALL-CHORISMATE-PWY",NA,NA,NA,"superpathway of chorismate metabolism","mmoX","Sapwood"
"ANAEROFRUCAT-PWY",NA,NA,NA,"homolactic fermentation","mmoX","Sapwood"
"ANAGLYCOLYSIS-PWY",NA,NA,NA,"glycolysis III (from glucose)","mmoX","Sapwood"
"ARG+POLYAMINE-SYN",NA,NA,NA,"superpathway of arginine and polyamine biosynthesis","mmoX","Sapwood"
"ARGDEG-PWY",NA,NA,NA,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation","mmoX","Sapwood"
"ARGORNPROST-PWY",NA,NA,NA,"arginine, ornithine and proline interconversion","mmoX","Sapwood"
"ARGSYN-PWY",NA,NA,NA,"L-arginine biosynthesis I (via L-ornithine)","mmoX","Sapwood"
"ARGSYNBSUB-PWY",NA,NA,NA,"L-arginine biosynthesis II (acetyl cycle)","mmoX","Sapwood"
"ARO-PWY",NA,NA,NA,"chorismate biosynthesis I","mmoX","Sapwood"
"ASPASN-PWY",NA,NA,NA,"superpathway of L-aspartate and L-asparagine biosynthesis","mmoX","Sapwood"
"AST-PWY",NA,NA,NA,"L-arginine degradation II (AST pathway)","mmoX","Sapwood"
"BIOTIN-BIOSYNTHESIS-PWY",NA,NA,NA,"biotin biosynthesis I","mmoX","Sapwood"
"BRANCHED-CHAIN-AA-SYN-PWY",NA,NA,NA,"superpathway of branched amino acid biosynthesis","mmoX","Sapwood"
"CALVIN-PWY",NA,NA,NA,"Calvin-Benson-Bassham cycle","mmoX","Sapwood"
"CATECHOL-ORTHO-CLEAVAGE-PWY",NA,NA,NA,"catechol degradation to &beta;-ketoadipate","mmoX","Sapwood"
"CHLOROPHYLL-SYN",NA,NA,NA,"chlorophyllide a biosynthesis I (aerobic, light-dependent)","mmoX","Sapwood"
"COA-PWY",NA,NA,NA,"coenzyme A biosynthesis I","mmoX","Sapwood"
"COBALSYN-PWY",NA,NA,NA,"adenosylcobalamin salvage from cobinamide I","mmoX","Sapwood"
"COLANSYN-PWY",NA,NA,NA,"colanic acid building blocks biosynthesis","mmoX","Sapwood"
"COMPLETE-ARO-PWY",NA,NA,NA,"superpathway of aromatic amino acid biosynthesis","mmoX","Sapwood"
"CRNFORCAT-PWY",NA,NA,NA,"creatinine degradation I","mmoX","Sapwood"
"DAPLYSINESYN-PWY",NA,NA,NA,"L-lysine biosynthesis I","mmoX","Sapwood"
"DENITRIFICATION-PWY",NA,NA,NA,"nitrate reduction I (denitrification)","mmoX","Sapwood"
