"compartment","taxon_subset","gene_metric","rho","p","sig","abundance_type"
"Heartwood","sMMO only  Methylocella Methyloferula ","% pmoA",-0.0849852985075021,0.356062467331327,"","Relative abundance (%)"
"Sapwood","All methanotrophs","pmoA",0.296962553205716,0.00171450230445861,"**","Relative abundance (%)"
"Sapwood","All methanotrophs","mmoX",0.00230575602254549,0.981015891594667,"","Relative abundance (%)"
"Sapwood","All methanotrophs","pmoA + mmoX",0.238636337084386,0.0124569791307852,"*","Relative abundance (%)"
"Sapwood","All methanotrophs","% pmoA",0.305616196727065,0.00123087932449051,"**","Relative abundance (%)"
"Sapwood","Known only","pmoA",0.270329247732723,0.00447030878755949,"**","Relative abundance (%)"
"Sapwood","Known only","mmoX",-0.038859829361579,0.68828556485976,"","Relative abundance (%)"
"Sapwood","Known only","pmoA + mmoX",0.251496712416343,0.00834028770177054,"**","Relative abundance (%)"
"Sapwood","Known only","% pmoA",0.231415111156198,0.0154713965016002,"*","Relative abundance (%)"
"Sapwood","Putative only","pmoA",0.213450747759963,0.0258439420338453,"*","Relative abundance (%)"
"Sapwood","Putative only","mmoX",0.0508505992608464,0.599503149329119,"","Relative abundance (%)"
"Sapwood","Putative only","pmoA + mmoX",0.163381580353507,0.0895993800588987,"","Relative abundance (%)"
"Sapwood","Putative only","% pmoA",0.218268778518627,0.0226025783507742,"*","Relative abundance (%)"
"Sapwood","Methylococcaceae","pmoA",NA,NA,"","Relative abundance (%)"
"Sapwood","Methylococcaceae","mmoX",NA,NA,"","Relative abundance (%)"
"Sapwood","Methylococcaceae","pmoA + mmoX",NA,NA,"","Relative abundance (%)"
"Sapwood","Methylococcaceae","% pmoA",NA,NA,"","Relative abundance (%)"
"Sapwood","Methylomonadaceae","pmoA",NA,NA,"","Relative abundance (%)"
"Sapwood","Methylomonadaceae","mmoX",NA,NA,"","Relative abundance (%)"
"Sapwood","Methylomonadaceae","pmoA + mmoX",NA,NA,"","Relative abundance (%)"
"Sapwood","Methylomonadaceae","% pmoA",NA,NA,"","Relative abundance (%)"
"Sapwood","Methylothermaceae","pmoA",NA,NA,"","Relative abundance (%)"
"Sapwood","Methylothermaceae","mmoX",NA,NA,"","Relative abundance (%)"
"Sapwood","Methylothermaceae","pmoA + mmoX",NA,NA,"","Relative abundance (%)"
"Sapwood","Methylothermaceae","% pmoA",NA,NA,"","Relative abundance (%)"
"Sapwood","Methylacidiphilaceae","pmoA",0.21686809393201,0.0235068735485621,"*","Relative abundance (%)"
"Sapwood","Methylacidiphilaceae","mmoX",-0.0858336583909855,0.374843351464239,"","Relative abundance (%)"
"Sapwood","Methylacidiphilaceae","pmoA + mmoX",0.190089905241787,0.0477251573835071,"*","Relative abundance (%)"
"Sapwood","Methylacidiphilaceae","% pmoA",0.199867467559599,0.0371880146612273,"*","Relative abundance (%)"
"Sapwood","Methylocystaceae","pmoA",NA,NA,"","Relative abundance (%)"
"Sapwood","Methylocystaceae","mmoX",NA,NA,"","Relative abundance (%)"
"Sapwood","Methylocystaceae","pmoA + mmoX",NA,NA,"","Relative abundance (%)"
"Sapwood","Methylocystaceae","% pmoA",NA,NA,"","Relative abundance (%)"
"Sapwood","Beijerinckiaceae","pmoA",0.224102038507115,0.0191499948046767,"*","Relative abundance (%)"
"Sapwood","Beijerinckiaceae","mmoX",0.0505435286865297,0.60171206086024,"","Relative abundance (%)"
"Sapwood","Beijerinckiaceae","pmoA + mmoX",0.175581593298317,0.0678191802431334,"","Relative abundance (%)"
"Sapwood","Beijerinckiaceae","% pmoA",0.227596891244712,0.0173073506994656,"*","Relative abundance (%)"
"Sapwood","Type I Gamma","pmoA",NA,NA,"","Relative abundance (%)"
"Sapwood","Type I Gamma","mmoX",NA,NA,"","Relative abundance (%)"
"Sapwood","Type I Gamma","pmoA + mmoX",NA,NA,"","Relative abundance (%)"
"Sapwood","Type I Gamma","% pmoA",NA,NA,"","Relative abundance (%)"
"Sapwood","Type II Alpha","pmoA",0.224102038507115,0.0191499948046767,"*","Relative abundance (%)"
"Sapwood","Type II Alpha","mmoX",0.0505435286865297,0.60171206086024,"","Relative abundance (%)"
"Sapwood","Type II Alpha","pmoA + mmoX",0.175581593298317,0.0678191802431334,"","Relative abundance (%)"
"Sapwood","Type II Alpha","% pmoA",0.227596891244712,0.0173073506994656,"*","Relative abundance (%)"
"Sapwood","pMMO expected","pmoA",0.21686809393201,0.0235068735485621,"*","Relative abundance (%)"
"Sapwood","pMMO expected","mmoX",-0.0858336583909855,0.374843351464239,"","Relative abundance (%)"
"Sapwood","pMMO expected","pmoA + mmoX",0.190089905241787,0.0477251573835071,"*","Relative abundance (%)"
"Sapwood","pMMO expected","% pmoA",0.199867467559599,0.0371880146612273,"*","Relative abundance (%)"
"Sapwood","sMMO only  Methylocella Methyloferula ","pmoA",0.18184972947342,0.0584256939692659,"","Relative abundance (%)"
"Sapwood","sMMO only  Methylocella Methyloferula ","mmoX",0.228322122010159,0.0169448031684322,"*","Relative abundance (%)"
"Sapwood","sMMO only  Methylocella Methyloferula ","pmoA + mmoX",0.200114361250945,0.0369495337097671,"*","Relative abundance (%)"
"Sapwood","sMMO only  Methylocella Methyloferula ","% pmoA",0.0955763714277153,0.322854978222268,"","Relative abundance (%)"
"Mineral Soil","All methanotrophs","pmoA",-0.355824299476481,8.24506297558995e-05,"***","Relative abundance (%)"
"Mineral Soil","All methanotrophs","mmoX",-0.443574203017013,5.47410795746356e-07,"***","Relative abundance (%)"
