UniqueID,LM.flux,LM.C0,LM.Ct,LM.slope,LM.MAE,LM.RMSE,LM.AICc,LM.SE,LM.se.rel,LM.r2,LM.p.val,HM.flux,HM.C0,HM.Ci,HM.slope,HM.MAE,HM.RMSE,HM.AICc,HM.SE,HM.se.rel,HM.r2,HM.k,C0,Ct,MDF,prec,flux.term,nb.obs,k.max,k.mult,g.fact
20230612_1640_154545,0.9071678639572811,683.9120864452675,822.0346043068898,0.4384841836876901,1.8166905281070307,2.14729716453744,1394.558848412827,0.002737954737515904,0.3018134621273175,0.9971206903983131,0,0.9145582982601504,683.7214197458687,8608.787539179668,0.44205638755551113,1.8530153527638547,2.1987953224444796,1411.6832271219025,0.01126588739038128,1.2318391743657489,0.9969820131325017,5.5779520434725855e-5,687.299,824.803,0.002291472692159238,0.35,2.068872487778055,318,1.2528119533934006,1,1.00814671087513
20230612_1641_151500,0.9176005728886841,668.0770893387104,785.6053038810161,0.44350269638605927,1.0008259256723195,1.2255873598285452,875.6751935700332,0.002019881506219084,0.2201264434546206,0.9987078991176174,0,1.013648241246656,666.0948017530424,1309.2345621665509,0.48992529152923175,0.6760548713567254,0.841520239058097,676.2189100953401,0.005939623762067936,0.5859649847330636,0.9993908321035809,7.617711136600121e-4,665.836,784.655,0.00272234911916419,0.35,2.0689853305647845,268,1.2671505611030265,1,1.1046726333829606
20230612_1830_152445,1.230498530364831,518.755491978361,745.1567287456676,0.5942289678931931,5.932213329941132,6.680679796784597,2554.4087181336913,0.0064181539716959,0.5215897307730208,0.9896874333429025,0,1.731994052026087,504.4338457189203,954.7129378236274,0.8364098067044932,1.9798000094332606,2.7547659937900884,1876.089694601191,0.013666397954422036,0.7890557094255075,0.9982465439621911,0.0018575364065760262,511.707,726.827,0.0018972823277892765,0.35,2.070748140615725,384,1.697797051123409,1,1.4075547506038608
20230612_4190_160000,1.9663361697303843,670.7999176751464,1248.9211269194288,0.9461885585012808,3.275673336792825,3.899694480311178,3425.2384760836594,0.001853813597387775,0.0942775516173291,0.9994545580960248,0,2.129167779488304,662.962337413315,4564.084036939212,1.024542101749389,1.2453091913194922,1.7784444466819178,2461.5190329283323,0.0035876592519810363,0.16850054216221735,0.9998865595502462,2.62627567315806e-4,672.195,1241.54,0.001188493190977442,0.35,2.0781652367948418,615,2.703395881432231,1,1.0828096498780504
20230612_4783_140100,1.5014643641864822,681.5443776455885,977.600988239813,0.7256289475348638,4.953370610754396,6.089503127933904,2657.424097301814,0.005276756080788529,0.3514406473208281,0.9949615192621887,0,1.9316986289693614,668.1335924417683,1405.0706176455851,0.9335529210865016,1.759465076977547,2.24947267949067,1840.8579638537,0.009410615824057774,0.48716790926536585,0.9993124610087638,0.0012668014893515577,665.901,967.345,0.0017707007274986395,0.35,2.069190278705553,411,2.0732255643853255,1,1.2865431075455374
20230612_4797_161600,1.3672799703155722,497.4797075609132,876.9798963154881,0.6588544943655814,7.848783986839158,8.568492786403063,4143.796906827663,0.004442185674278308,0.32489217795335934,0.9939254303391979,0,1.8152588543269819,477.9839868501664,1340.5437523531664,0.8747231588086599,1.952090117890898,2.4149834092003846,2676.8014676689672,0.006194177125893967,0.34122831083451705,0.9995174581900109,0.0010141015078515363,479.478,866.328,0.0012588099589073342,0.35,2.0752381322558056,580,1.88244141247309,1,1.3276423949280955
20230612_7397_125300,1.5169825597718558,656.460477877797,1143.9830272986173,0.7353281288398498,2.7656521160212297,3.291121505674001,3487.9988744811662,0.0013747346702012205,0.09062297132855447,0.9994533445950636,0,1.6490464951774872,649.5085102544797,3797.5049726576267,0.7993435823356727,0.990395199744499,1.2215427634459906,2167.8773294210873,0.0021724309193056294,0.1317386092908078,0.9999246916444904,2.539213724927322e-4,650.965,1138.28,0.001087425150383053,0.35,2.063000856726706,667,2.1009375109709993,1,1.087056989913907
20230612_853_115445,1.184160616048629,639.9171307973704,991.7589386706675,0.5693233137108367,2.5759660532097532,3.2132072217117593,3228.4540723311097,0.0014990899783085593,0.12659515592663462,0.9990041531485173,0,1.3258068319803238,633.0866048915212,2355.65859903673,0.6374242891493928,0.9042024755953325,1.1369452117139114,1935.9800408097406,0.002304370904184067,0.17380894777424605,0.9998753207561278,3.700421760692224e-4,630.723,984.109,0.0011760588101205234,0.35,2.0799440098988686,623,1.6266380391738189,1,1.1196174015686717
20230612_8833_123800,1.603464215620025,643.3043330796546,1083.026641882352,0.7727984337481499,4.033003602786027,4.635534864097049,3395.7303657203674,0.002439173152473809,0.15211896397267796,0.998675820107855,0,1.8252317977335966,633.4670460250272,2540.2064154657783,0.879680544645282,1.2555781835350577,1.5637621287469254,2150.2762656170917,0.0036144826640122363,0.1980286924926667,0.9998493085306641,4.613533232406553e-4,635.503,1072.66,0.0012740492828352018,0.35,2.074880260617329,574,2.2079955249947143,1,1.1383052892314276
20230612_8835_133700,1.2285528764941804,555.2132130677697,876.6122887555332,0.5929872245161688,2.0705909922772303,2.651221765103268,2620.247628988827,0.0015016735590748702,0.12223108893449272,0.9991864071050336,0,1.3531916576954583,549.9145609474813,2360.6912993688884,0.6531467881342463,0.9357736563287488,1.2403373159290891,1792.7534571988601,0.00300979330042727,0.2224218042810782,0.9998219284028338,3.606997893642285e-4,545.645,871.449,0.0013354164785425358,0.35,2.07180327956742,546,1.6942492129033395,1,1.101451702719503
