Sample Name,Empty Tube Mass (g),Mass Empty Tube + Fresh Soil (g),Mass Fresh Soil (g),Name,Date Weighed,Date Placed in Freeze-Drier,Date Removed/Weighed,Mass Empty Tube + Dried Soil (g),Mass Dried Soil (g),GWC
Organic 1,6.914,12.787,5.873,Jon,221110,221111,221115,10.491,3.577,0.6418786693
Organic 2,6.926,11.113,4.187,Jon,221110,221111,221115,9.281,2.355,0.7779193206
Organic 3,6.885,11.532,4.647,Jon,221110,221111,221115,9.638,2.753,0.6879767526
Organic 4,6.89,14.459,7.569,Jon,221110,221111,221115,11.404,4.514,0.6767833407
Mineral 1,6.846,14.686,7.84,Jon,221110,221111,221115,12.259,5.413,0.4483650471
Mineral 2,6.998,15.265,8.267,Jon,221110,221111,221115,13.328,6.33,0.3060031596
Mineral 3,6.966,13.574,6.608,Jon,221110,221111,221115,11.973,5.007,0.3197523467
Mineral 4,6.935,15.005,8.07,Jon,221110,221111,221115,12.964,6.029,0.3385304362
