section_id,quadrat,sub_quadrat,tag,stem_tag,species_code,x_m,y_m,dbh_mm,status,pom,codes,notes,secondary,latitude,longitude
NA,4,a,3832,NA,KALA,85.3,9.8,4.6,LI,1.3,M,NA,FALSE,41.98916458,-72.129883
NA,6,c,3833,NA,PIST,137.1,19.9,1.5,NA,NA,NA,NA,FALSE,41.98917313,-72.12924455
NA,6,c,3834,NA,BELE,135.4,10.5,1.2,NA,NA,NA,NA,FALSE,41.98909253,-72.12928456
NA,5,a,3835,NA,BELE,108.6,2.4,3,LI,1.3,M,NA,FALSE,41.98906265,-72.12962092
NA,6,c,3836,NA,PIST,136.5,19.2,4.3,NA,NA,NA,NA,FALSE,41.98916787,-72.12925317
NA,6,c,3837,NA,BELE,132.7,14.4,1.6,NA,NA,NA,NA,FALSE,41.98913129,-72.12930853
NA,6,a,3838,NA,PIST,126,2.8,4.7,LI,NA,NA,NA,FALSE,41.98903902,-72.12941274
NA,6,c,3839,NA,BELE,134.3,12.5,2.4,NA,NA,NA,NA,FALSE,41.98911197,-72.12929346
NA,4,c,3840,NA,PIST,96.7,19.2,1.3,LI,1.3,M,NA,FALSE,41.98923003,-72.12972741
NA,5,d,3840,NA,BELE,111.3,7.7,1.1,LI,1.3,M,NA,FALSE,41.98910538,-72.12957761
NA,5,b,3842,NA,BELE,107.1,19.3,1.7,LI,NA,M,NA,FALSE,41.98921467,-72.12960328
NA,5,c,3843,NA,BELE,119.5,18.3,3.6,LI,NA,M,NA,TRUE,41.98918645,-72.12945763
NA,4,c,3845,NA,TSCA,96.8,17.8,3.2,LI,1.3,M,NA,FALSE,41.98921747,-72.12972916
NA,6,c,3846,NA,BELE,134.3,14.8,1.7,NA,NA,NA,NA,FALSE,41.98913234,-72.12928863
NA,6,a,3849,NA,NA,123,7.8,2.2,LI,NA,NA,NA,FALSE,41.98908799,-72.12943798
NA,4,a,3850,NA,KALA,82.4,0.4,5,LI,1.3,M,NA,TRUE,41.98908586,-72.12993731
NA,5,d,3850,NA,PIST,117.6,3.1,2.1,LI,NA,M,NA,FALSE,41.9890548,-72.1295122
NA,408,d,3851,NA,PIST,176.7,82.1,1.4,LI,1.3,M,NA,FALSE,41.98966216,-72.12864198
NA,6,c,3852,NA,BELE,136.7,12.3,1.5,NA,NA,NA,NA,FALSE,41.98910645,-72.12926528
NA,6,c,3854,NA,PIST,138.9,10.2,1.2,NA,NA,NA,NA,FALSE,41.98908441,-72.12924348
NA,6,c,3856,NA,BELE,135.7,10.3,3.2,NA,NA,M,NA,TRUE,41.98909029,-72.1292814
NA,6,b,3857,NA,BELE,125.3,13.6,1.2,NA,NA,NA,NA,FALSE,41.98913576,-72.12939839
NA,6,c,3858,NA,BELE,132.4,19.7,1,NA,NA,NA,NA,FALSE,41.9891787,-72.12930097
NA,6,c,3859,NA,BELE,139,10.5,1.3,NA,NA,NA,NA,FALSE,41.98908691,-72.12924166
NA,6,b,3860,NA,BELE,122.6,10.5,2.6,NA,NA,NA,NA,TRUE,41.98911253,-72.12943708
NA,4,a,3861,NA,KALA,82,1,1.5,LI,1.3,M,NA,FALSE,41.9890918,-72.12994081
NA,5,d,3863,NA,PIST,118.5,6.8,3.3,LI,NA,M,NA,FALSE,41.98908616,-72.12949371
NA,5,d,3865,NA,PIST,118.5,7.2,4,LI,1.3,M,NA,FALSE,41.9890897,-72.12949287
NA,5,b,3866,NA,BELE,103.5,11.1,1.2,LI,1.3,M,NA,FALSE,41.98914767,-72.1296634
NA,4,a,3867,NA,KALA,80.9,0.4,1.6,LI,1.3,M,NA,FALSE,41.9890882,-72.12995518
NA,6,c,3868,NA,BELE,134.9,11.4,2.2,NA,NA,NA,NA,FALSE,41.98910129,-72.12928862
NA,6,a,3869,NA,PIST,121.1,2.1,2.4,LI,NA,NA,NA,FALSE,41.98904047,-72.1294726
