Sample ID,Well,16S_per_ul,core_type,seq_id_raw,seq_id,Material
SM8Mineral,E04,440245,Mineral,SM8,SM8,Soil
None,E05,NA,NA,None,None,Soil
None,E06,NA,NA,None,None,Soil
BB14Mineral,E07,94829,Mineral,BB14,BB14,Soil
BB9Mineral,E08,120666,Mineral,BB9,BB9,Soil
PB4Mineral,E09,165205,Mineral,PB4,PB4,Soil
None,E10,NA,NA,None,None,Soil
AB9Mineral,E11,182360,Mineral,AB9,AB9,Soil
None,E12,NA,NA,None,None,Soil
None,F01,NA,NA,None,None,Soil
RM502Mineral,F02,81449,Mineral,RM502,RM502,Soil
SM14Mineral,F03,383812,Mineral,SM14,SM14,Soil
SM9Mineral,F04,393760,Mineral,SM9,SM9,Soil
YB14Mineral,F05,228283,Mineral,YB14,YB14,Soil
YBYBMineral,F06,56603,Mineral,YBYB,YBYB,Soil
BB16Mineral,F07,99031,Mineral,BB16,BB16,Soil
BBGT1Mineral,F08,557808,Mineral,BBGT1,BBGT1,Soil
PB5Mineral,F09,105274,Mineral,PB5,PB5,Soil
AB3slash5Mineral,F10,114240,Mineral,AB3slash5,AB3/5,Soil
ABT14PMineral,F11,152455,Mineral,ABT14P,ABT14P,Soil
WA104Mineral,F12,336282,Mineral,WA104,WA104,Soil
None,G01,NA,NA,None,None,Soil
RM503Mineral,G02,70056,Mineral,RM503,RM503,Soil
None,G03,NA,None,NA,NA,Soil
SM4Mineral,G04,432184,Mineral,SM4,SM4,Soil
YB15Mineral,G05,80585,Mineral,YB15,YB15,Soil
BB1Mineral,G06,50807,Mineral,BB1,BB1,Soil
BB16primeMineral,G07,152564,Mineral,BB16prime,BB16',Soil
BBX1Mineral,G08,427297,Mineral,BBX1,BBX1,Soil
PB501Mineral,G09,109470,Mineral,PB501,PB501,Soil
AB4Mineral,G10,136358,Mineral,AB4,AB4,Soil
WA1Mineral,G11,418579,Mineral,WA1,WA1,Soil
WA12Mineral,G12,319733,Mineral,WA12,WA12,Soil
RM302Mineral,H01,216125,Mineral,RM302,RM302,Soil
RMS1Mineral,H02,11961,Mineral,RMS1,RMS1,Soil
SM2Mineral,H03,322243,Mineral,SM2,SM2,Soil
CUL8RMineral,H04,211565,Mineral,CUL8R,CUL8R,Soil
YB2Mineral,H05,99102,Mineral,YB2,YB2,Soil
None,H06,NA,None,NA,NA,Soil
BB3Mineral,H07,99313,Mineral,BB3,BB3,Soil
BBX6Mineral,H08,313656,Mineral,BBX6,BBX6,Soil
