"SampleName","species","core_type","material","d13CH4","ch4_ppm","d13CO2","co2_ppm","tissue","alpha_C","eps_C"
"RO10","QURU","Inner","Wood",-77.878626176658,122.949872029155,-17.7039404771177,15819.7725401618,"Heartwood",1.06525679526334,65.2567952633407
"RO10","QURU","Organic","Soil",-77.878626176658,122.949872029155,-17.7039404771177,15819.7725401618,"Other",1.06525679526334,65.2567952633407
"RO10","QURU","Outer","Wood",-77.878626176658,122.949872029155,-17.7039404771177,15819.7725401618,"Sapwood",1.06525679526334,65.2567952633407
"RO10","QURU","Mineral","Soil",-77.878626176658,122.949872029155,-17.7039404771177,15819.7725401618,"Other",1.06525679526334,65.2567952633407
"RO101","QURU","Inner","Wood",-70.4534433641795,1111.02106304542,-10.9978045036117,3820.80652534908,"Heartwood",1.06396198064113,63.9619806411282
"RO101","QURU","Mineral","Soil",-70.4534433641795,1111.02106304542,-10.9978045036117,3820.80652534908,"Other",1.06396198064113,63.9619806411282
"RO101","QURU","Organic","Soil",-70.4534433641795,1111.02106304542,-10.9978045036117,3820.80652534908,"Other",1.06396198064113,63.9619806411282
"RO101","QURU","Outer","Wood",-70.4534433641795,1111.02106304542,-10.9978045036117,3820.80652534908,"Sapwood",1.06396198064113,63.9619806411282
"RO102","QURU","Organic","Soil",-67.5594093635402,1742.73581049708,-10.8075241615109,7907.75409978248,"Other",1.06086380813097,60.8638081309736
"RO102","QURU","Outer","Wood",-67.5594093635402,1742.73581049708,-10.8075241615109,7907.75409978248,"Sapwood",1.06086380813097,60.8638081309736
"RO102","QURU","Mineral","Soil",-67.5594093635402,1742.73581049708,-10.8075241615109,7907.75409978248,"Other",1.06086380813097,60.8638081309736
"RO102","QURU","Inner","Wood",-67.5594093635402,1742.73581049708,-10.8075241615109,7907.75409978248,"Heartwood",1.06086380813097,60.8638081309736
"RO103","QURU","Inner","Wood",-56.4592925098054,5527.82028029799,-32.1542508884161,33486.4625703356,"Heartwood",1.02575939906826,25.7593990682612
"RO103","QURU","Mineral","Soil",-56.4592925098054,5527.82028029799,-32.1542508884161,33486.4625703356,"Other",1.02575939906826,25.7593990682612
"RO103","QURU","Organic","Soil",-56.4592925098054,5527.82028029799,-32.1542508884161,33486.4625703356,"Other",1.02575939906826,25.7593990682612
"RO103","QURU","Outer","Wood",-56.4592925098054,5527.82028029799,-32.1542508884161,33486.4625703356,"Sapwood",1.02575939906826,25.7593990682612
"RO104","QURU","Organic","Soil",-59.9926735373285,144.270470954818,-19.3373885694963,10401.4431423613,"Other",1.04324996606231,43.2499660623087
"RO104","QURU","Mineral","Soil",-59.9926735373285,144.270470954818,-19.3373885694963,10401.4431423613,"Other",1.04324996606231,43.2499660623087
"RO104","QURU","Outer","Wood",-59.9926735373285,144.270470954818,-19.3373885694963,10401.4431423613,"Sapwood",1.04324996606231,43.2499660623087
"RO104","QURU","Inner","Wood",-59.9926735373285,144.270470954818,-19.3373885694963,10401.4431423613,"Heartwood",1.04324996606231,43.2499660623087
"RO105","QURU","Organic","Soil",-73.4939740217827,531.558191106891,-17.3204293893109,21993.2163145581,"Other",1.06062944336834,60.6294433683396
"RO105","QURU","Inner","Wood",-73.4939740217827,531.558191106891,-17.3204293893109,21993.2163145581,"Heartwood",1.06062944336834,60.6294433683396
"RO105","QURU","Outer","Wood",-73.4939740217827,531.558191106891,-17.3204293893109,21993.2163145581,"Sapwood",1.06062944336834,60.6294433683396
"RO105","QURU","Mineral","Soil",-73.4939740217827,531.558191106891,-17.3204293893109,21993.2163145581,"Other",1.06062944336834,60.6294433683396
"RO11","QURU","Inner","Wood",-63.667597518927,142.086685430292,-16.6737930239306,4095.92960671168,"Heartwood",1.05018923233936,50.1892323393627
"RO11","QURU","Organic","Soil",-63.667597518927,142.086685430292,-16.6737930239306,4095.92960671168,"Other",1.05018923233936,50.1892323393627
"RO11","QURU","Outer","Wood",-63.667597518927,142.086685430292,-16.6737930239306,4095.92960671168,"Sapwood",1.05018923233936,50.1892323393627
"RO13","QURU","Outer","Wood",-62.7681676979687,13.7769040495069,-14.3066855654236,250.749511307326,"Sapwood",1.05170703817594,51.7070381759375
"RO13","QURU","Organic","Soil",-62.7681676979687,13.7769040495069,-14.3066855654236,250.749511307326,"Other",1.05170703817594,51.7070381759375
