"species","group","n","vwc_median","vwc_mean","vwc_q25","vwc_q75"
"Betula alleghaniensis","Angiosperm",14,42.0083333333333,35.8563492063492,25.7833333333333,44.9166666666667
"Acer saccharum","Angiosperm",15,36.4,35.3761111111111,33.2125,39.275
"Tsuga canadensis","Gymnosperm",16,27.6958333333333,24.4359375,18.5875,31.0125
"Betula lenta","Angiosperm",19,23.125,24.6767543859649,16.6625,33.1666666666667
"Fraxinus americana","Angiosperm",10,22.1583333333333,22.6438888888889,20.1833333333333,23.7229166666667
"Carya ovata","Angiosperm",1,20.4333333333333,20.4333333333333,20.4333333333333,20.4333333333333
"Quercus alba","Angiosperm",1,17.975,17.975,17.975,17.975
"Pinus strobus","Gymnosperm",19,17.3,19.8361842105263,12.3791666666667,27.8708333333333
"Quercus rubra","Angiosperm",14,14.9166666666667,15.2059523809524,12.1875,18.1625
"Acer rubrum","Angiosperm",15,14.6916666666667,18.132037037037,11.8416666666667,22.3041666666667
"Betula papyrifera","Angiosperm",6,13.6208333333333,14.025,12.0770833333333,14.1145833333333
"Prunus serotina","Angiosperm",3,13,13.8861111111111,12.375,14.9541666666667
"Kalmia latifolia","Angiosperm",4,12.5583333333333,11.6083333333333,11.0583333333333,13.1083333333333
"Fagus grandifolia","Angiosperm",13,11.6416666666667,11.7151709401709,10.25,12.9916666666667
"Quercus velutina","Angiosperm",1,9.6,9.6,9.6,9.6
