"species","procrustes_residual"
"TSCA",0.519
"PIST",0.34
"FRAM",0.261
"FAGR",0.246
"BEPA",0.237
"QURU",0.218
"BEAL",0.169
"BELE",0.124
"ACSA",0.124
"ACRU",0.093
