"SampleName","d13CH4","ch4_ppm","d13CO2","co2_ppm","alpha_C","eps_C","invCH4"
"RO10",-77.878626176658,122.949872029155,-17.7039404771177,15819.7725401618,1.06525679526334,65.2567952633407,0.00813339602145234
"RO101",-70.4534433641795,1111.02106304542,-10.9978045036117,3820.80652534908,1.06396198064113,63.9619806411282,0.000900072944844898
"RO102",-67.5594093635402,1742.73581049708,-10.8075241615109,7907.75409978248,1.06086380813097,60.8638081309736,0.000573810438723222
"RO103",-56.4592925098054,5527.82028029799,-32.1542508884161,33486.4625703356,1.02575939906826,25.7593990682612,0.000180903131667315
"RO104",-59.9926735373285,144.270470954818,-19.3373885694963,10401.4431423613,1.04324996606231,43.2499660623087,0.00693142535254618
"RO105",-73.4939740217827,531.558191106891,-17.3204293893109,21993.2163145581,1.06062944336834,60.6294433683396,0.00188126157536515
"RO11",-63.667597518927,142.086685430292,-16.6737930239306,4095.92960671168,1.05018923233936,50.1892323393627,0.00703795712435421
"RO13",-62.7681676979687,13.7769040495069,-14.3066855654236,250.749511307326,1.05170703817594,51.7070381759375,0.0725852482100859
"RO2",-68.7284943672316,188.313777487868,-20.2071988935368,13953.1743751066,1.05210220132391,52.1022013239052,0.00531028591396838
"RO3",-55.6607299639167,8.80134573291806,-22.7599438068264,1611.38080712917,1.03484000634204,34.8400063420353,0.113618988543977
"RO7",-70.6911717495295,2413.87927609559,-14.1094591823603,11490.0964731103,1.06088580119667,60.8858011966709,0.000414270924773622
"RO8",-75.9544160654872,2353.54643168754,-9.03468040156373,4102.4322236293,1.07242038361245,72.4203836124453,0.000424890703891054
"RO9",-57.9498150472546,399.959522672182,-15.91615498704,2737.29330927346,1.04461934271827,44.6193427182682,0.00250025300890167
"BO1",-69.4617420224,67.8895342241018,-9.81602417363491,250.854921971309,1.06409808230604,64.0980823060375,0.0147298108821755
"H101",-248.841443244745,20.9589677559964,-25.080922390292,3188.98349862592,1.29788720216544,297.88720216544,0.0477122734116474
"H102",-186.608967516875,10.4975325528785,-19.5324532436736,4575.99260604028,1.20540737185551,205.407371855514,0.0952604809713873
"H103",-81.2928612564201,2.0892520611007,-14.7696671809375,760.302896538821,1.07240957566353,72.4095756635346,0.478640188332834
"H104",77.3638221062638,2.62582665235555,-16.0898189490799,1243.38592882361,0.913257119704799,-86.7428802952007,0.380832451031346
