"species","src","lo","hi","r2","plausible"
"BELE",-218.296975419373,-221.990119134479,-214.603831704267,0.999350508796249,FALSE
"ACRU",-89.308459831524,-91.7518450073243,-86.8650746557236,0.998111490719587,TRUE
"FRAM",-87.1818500103948,-90.053829437419,-84.3098705833707,0.998370059092341,TRUE
"BEAL",-72.743886528542,-76.2110446431324,-69.2767284139515,0.99486809917065,TRUE
"ACSA",-71.5324737876893,-72.1754037555698,-70.8895438198088,0.999816599865732,TRUE
"FAGR",-70.1217014406955,-73.687935618733,-66.5554672626581,0.99481709128107,TRUE
"TSCA",-69.5852640552572,-70.6421456211207,-68.5283824893936,0.999476460910305,TRUE
"PIST",-65.3562430840881,-79.7883368175133,-50.9241493506629,0.921014402856154,TRUE
"QURU",-59.8087115654789,-65.3141218074941,-54.3033013234636,0.979030498850173,TRUE
